資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
92208,106年南投縣政府財產量值總目錄,南投縣政府,公共資訊,106年南投縣政府財產量值總目錄,,每日,政府資料開放授權條款-第1版,,2018/10/04 00:00,2018/10/04 09:48,
92244,南投縣最近5年地價稅稅源統計表,南投縣政府,公共資訊,資料所屬期間：每年 1月1日至 12月31日,主要欄位：總計戶數;總計面積;總計地價;總計查定稅額;一般用地戶數;一般用地面積;一般用地地價;一般用地查定稅額;自用住宅用地戶數;自用住宅用地面積;自用住宅用地地價;自用住宅用地查定稅額;勞工宿舍用地戶數;勞工宿舍用地面積;勞工宿舍用地地價;勞工宿舍用地查定稅額;事業直接使用土地戶數;事業直接使用土地面積;事業直接使用土地地價;事業直接使用土地查定稅額;公共設施保留地戶數;公共設施保留地面積;公共設施保留地地價;公共設施保留地查定稅額;空地戶數;空地面積;空地地價;空地查定稅額,每日,政府資料開放授權條款-第1版,,2018/10/05 00:00,2018/10/09 23:00,
92245,南投縣最近5年契稅綜合統計表,南投縣政府,公共資訊,資料所屬期間：每年1月1日至12月31日,主要欄位：應稅件數;免稅件數;應稅契價;免稅契價;應稅稅額;免稅稅額,每日,政府資料開放授權條款-第1版,,2018/10/05 00:00,2018/10/09 23:00,
92246,南投縣最近5年土地增值稅稅源統計表,南投縣政府,公共資訊,資料所屬期間：每年 1月1日至12月31日,主要欄位：稅種筆數;面積;移轉現值;調整後原地價;改良土地費用;漲價總數額;長期持有減徵;查定稅額;增繳地價抵繳;重劃減徵;徵收減徵;其他減徵;應納稅額,每日,政府資料開放授權條款-第1版,,2018/10/05 00:00,2018/10/09 23:00,
92247,南投縣最近5年房屋稅綜合統計表,南投縣政府,公共資訊,資料所屬期間：自前一年7月1日至當年6月30日,主要欄位：戶數合計;戶數應稅;戶數免稅;面積應稅;面積免稅;現值應稅;現值免稅;稅額合計;稅額本稅,每日,政府資料開放授權條款-第1版,,2018/10/05 00:00,2018/10/09 23:00,
92210,屏東縣政府縣政信箱1999資訊,研考處,公共資訊,屏東縣政府縣政信箱1999資訊,縣市名稱;縣市內1999電話;縣市外1999電話;縣市市政信箱網頁;縣市市政電子郵件信箱地址,每日,政府資料開放授權條款-第1版,,2018/10/02 00:00,2018/10/04 14:04,
92211,屏東縣107年度第2季房地交易課稅情形季報表,屏東縣政府財稅局,公共資訊,屏東縣107年度第2季房地交易課稅情形季報表,土地增值稅;買賣契稅,每日,政府資料開放授權條款-第1版,,2018/10/03 00:00,2018/10/08 17:11,
92212,房屋用途分類表,用途|,公共資訊,房屋用途分類表,|構造-分類,屏東縣政府財稅局,每日,政府資料開放授權條款-第1版,08-7338086#212,2018/10/03 00:00,2018/10/08 17:12
92225,房屋標準單價表,屏東縣政府財稅局,公共資訊,房屋標準單價表,總層數;鋼骨造-第一類;鋼骨混凝土造-第一類;鋼骨鋼筋混凝土造-第一類;鋼骨造-第二類;鋼骨混凝土造-第二類;鋼骨鋼筋混凝土造-第二類;鋼骨造-第三類;鋼骨混凝土造-第三類;鋼骨鋼筋混凝土造-第三類;鋼骨造-第四類;鋼骨混凝土造-第四類;鋼骨鋼筋混凝土造-第四類;鋼筋混凝土造-第一類;預鑄混凝土造-第一類;鋼筋混凝土造-第二類;預鑄混凝土造-第二類;鋼筋混凝土造-第三類;預鑄混凝土造-第三類;鋼筋混凝土造-第四類;預鑄混凝土造-第四類;加強磚造-第一類;加強磚造-第二類;加強磚造-第三類;加強磚造-第四類;鋼鐵造200m*m以上-各種用途;鋼鐵造未達200m*m-各種用途;木造-各種用途;石造-各種用途;磚造-各種用途;土造-各種用途;竹造-各種用途,每日,政府資料開放授權條款-第1版,,2018/10/03 00:00,2018/10/08 17:12,
92294,屏東縣地價稅歷年課稅級距表,屏東縣政府財稅局,公共資訊,屏東縣102至107年地價稅課稅級距及適用稅率表,|課稅地價稅率累進差額|,每日,政府資料開放授權條款-第1版,,2018/10/05 00:00,2018/10/08 17:13,
