資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
93694,107年9月會計月報,臺灣橋頭地方法院,公共資訊,107年9月會計月報,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;應收數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,每月,政府資料開放授權條款-第1版,http://ctd.judicial.gov.tw/UserFiles/10709月報XML.zip,2018/10/16 00:00,2018/10/23 10:24,
93966,台灣觀巴資訊,交通部觀光局,休閒旅遊,提供台灣觀巴路線行程及承辦旅行社資訊,項次;縣市別;經營旅行社及聯絡方式;套裝旅遊行程及景點,每日,政府資料開放授權條款-第1版,,2018/10/23 00:00,2018/10/23 15:09,
93967,台灣好行站點,交通部觀光局,休閒旅遊,提供台灣好行各站點定位資料,路線名稱;站牌名稱;站序;座標;及座標,每日,政府資料開放授權條款-第1版,,2018/10/23 00:00,2018/10/23 15:05,
93968,國際旅展參展資訊,交通部觀光局,休閒旅遊,國際旅展參展資訊,名稱;月份;臺灣參展業者人數,每日,政府資料開放授權條款-第1版,,2018/10/23 00:00,2018/10/23 15:21,
93960,就業保險實計保險給付,勞動部勞工保險局,求職及就業,前一年度之統計,核付年;核付月;地區別;類別;業別;性別;年齡;給付種類;傷病分類;核付件數;核付金額,每年,政府資料開放授權條款-第1版,,2018/10/23 11:36,2018/10/23 11:37,
92500,基隆市不動產買賣實價登錄Open Data(107年3月買賣登記案件),基隆市政府地政處,購屋及遷徙,不動產賣賣案件實價登錄資訊，包含標的位置(去識別化)、面積、總價等資訊。,鄉鎮市區;交易標的;土地區段位置/建物區段門牌;土地移轉總面積(平方公尺);都市土地使用分區;非都市土地使用分區;非都市土地使用編定;交易年月日;交易筆棟數;移轉層次;總樓層數;建物型態;主要用途;主要建材;建築完成年月;建物移轉總面積(平方公尺);建物現況格局-房;建物現況格局-廳;建物現況格局-衛;建物現況格局-隔間;有無管理組織;總價(元);單價(元/平方公尺);車位類別;車位移轉總面積(平方公尺);車位總價(元);備註;編號,每月,政府資料開放授權條款-第1版,http://plvr.land.moi.gov.tw/DownloadOpenData;http://plvr.land.moi.gov.tw/DownloadOpenData;http://plvr.land.moi.gov.tw/DownloadOpenData,2018/10/12 00:00,2018/10/15 17:38,
93955,107.9月屏東縣各項稅捐實徵淨額與預算數及上年同期比較－本月數,屏東縣政府財稅局,公共資訊,107.9月屏東縣各項稅捐實徵淨額與預算數及上年同期比較－本月數,"本月實徵數,本月退還以前年度歲入款,本月實徵淨額,本月實徵淨額占預算數百分比,本月實徵淨額與上年同月比較",每月,政府資料開放授權條款-第1版,,2018/10/16 00:00,2018/10/23 11:34,
93956,107.9月屏東縣各項稅捐實徵淨額與預算數及上年同期比較－累計數,屏東縣政府財稅局,公共資訊,107.9月屏東縣各項稅捐實徵淨額與預算數及上年同期比較－累計數,"截至本月底止累計實徵數,截至本月底止累計退還以前年度歲入款,截 至 本 月 底 止 累 計 實 徵 淨 額,累計實徵淨額與全年預算數比較,累計實徵淨額與同期分配預算數比較,累計實徵淨額與上年同期比較",每月,政府資料開放授權條款-第1版,,2018/10/16 00:00,2018/10/23 11:35,
93957,各年度地方稅實徵淨額-地價稅,屏東縣政府財稅局,公共資訊,各年度地方稅實徵淨額-地價稅,實徵淨額-地價稅,每年,政府資料開放授權條款-第1版,,2018/10/16 00:00,2018/10/23 11:35,
93958,各年度地方稅實徵淨額-土地增值稅,屏東縣政府財稅局,公共資訊,各年度地方稅實徵淨額-土地增值稅,地方稅實徵淨額-土地增值稅,每年,政府資料開放授權條款-第1版,,2018/10/16 00:00,2018/10/23 11:36,
93959,各年度地方稅實徵淨額-印花稅,屏東縣政府財稅局,公共資訊,各年度地方稅實徵淨額-印花稅,地方稅實徵淨額-印花稅,每年,政府資料開放授權條款-第1版,,2018/10/16 00:00,2018/10/23 11:36,
93961,各年度地方稅實徵淨額-使用牌照稅,屏東縣政府財稅局,公共資訊,各年度地方稅實徵淨額-使用牌照稅,地方稅實徵淨額-使用牌照稅,每年,政府資料開放授權條款-第1版,,2018/10/16 00:00,2018/10/23 11:37,
93962,各年度地方稅實徵淨額-房屋稅,屏東縣政府財稅局,公共資訊,各年度地方稅實徵淨額-房屋稅,地方稅實徵淨額-房屋稅,每年,政府資料開放授權條款-第1版,,2018/10/16 00:00,2018/10/23 11:37,
93963,各年度地方稅實徵淨額-契稅,屏東縣政府財稅局,公共資訊,各年度地方稅實徵淨額-契稅,地方稅實徵淨額-契稅,每年,政府資料開放授權條款-第1版,,2018/10/16 00:00,2018/10/23 11:38,
93964,各年度地方稅實徵淨額-娛樂稅,屏東縣政府財稅局,公共資訊,各年度地方稅實徵淨額-娛樂稅,地方稅實徵淨額-娛樂稅,每日,政府資料開放授權條款-第1版,,2018/10/16 00:00,2018/10/23 11:38,
93965,各年度地方稅實徵淨額-特別稅,屏東縣政府財稅局,公共資訊,各年度地方稅實徵淨額-特別稅,地方稅實徵淨額-特別稅,每年,政府資料開放授權條款-第1版,,2018/10/16 00:00,2018/10/23 11:39,
