資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
93213,臺灣基隆地方法院107年9月份會計月報,臺灣基隆地方法院,公共資訊,107年9月份會計月報,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;應收數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,不更新,政府資料開放授權條款-第1版,,2018/10/16 00:00,2018/10/16 09:44,
93694,107年9月會計月報,臺灣橋頭地方法院,公共資訊,107年9月會計月報,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;應收數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,每月,政府資料開放授權條款-第1版,http://ctd.judicial.gov.tw/UserFiles/10709月報XML.zip,2018/10/16 00:00,2018/10/23 10:24,
94045,107年度行政院農業委員會高雄區農業改良場會計月報,行政院農業委員會,公共資訊,提供107年度行政院農業委員會高雄區農業改良場會計月報下載檔案,檔案名稱;下載檔案,每月,政府資料開放授權條款-第1版,https://www.kdais.gov.tw/view.php?catid=6185,2018/10/26 00:00,2018/10/26 15:15,
94046,106年度行政院農業委員會高雄區農業改良場單位決算,行政院農業委員會,公共資訊,提供106年度行政院農業委員會高雄區農業改良場單位決算下載檔案,檔案名稱;下載連結,不更新,政府資料開放授權條款-第1版,https://www.kdais.gov.tw/view.php?catid=5822,2018/10/26 00:00,2018/10/26 15:15,
94047,107年度行政院農業委員會高雄區農業改良場單位預算,行政院農業委員會,公共資訊,提供107年度行政院農業委員會高雄區農業改良場單位預算下載檔案,檔案名稱;下載連結,每日,政府資料開放授權條款-第1版,https://www.kdais.gov.tw/view.php?catid=5822,2018/10/26 00:00,2018/10/26 15:30,
94048,108年度行政院農業委員會高雄區農業改良場單位預算,行政院農業委員會,公共資訊,提供108年度行政院農業委員會高雄區農業改良場單位預算下載檔案,檔案名稱;下載連結,不更新,政府資料開放授權條款-第1版,https://www.kdais.gov.tw/view.php?catid=5822,2018/10/26 00:00,2018/10/26 15:30,
92448,107年度臺東縣兒童及少年安置教養機構,臺東縣政府,公共資訊,性質、主管機關、辦理單位、地址、連絡電話、成立日期、立案文號、負責人、..、最後更新時間,性質;資源彙整機關;辦理單位;成立日期;立案文號;負責人;連絡電話;傳真;電子郵件;地址;相關網址;X坐標;Y坐標;備註;最後更新時間;;govOrprivate;localGov;welfareOrganizer;welOrgestablishDate;welOrgappDocumentNo;welOrgprincipal;welOrgtelephoneNo;welOrgfaxNo;welOrgemailAccount;welOrgaddress;welOrgURL;welOrgaddressTwd97x;welOrgaddressTwd97y,不更新,政府資料開放授權條款-第1版,http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=78FD432702C6EE54&n=4A2DB40EB35F337E;http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=78FD432702C6EE54&n=4A2DB40EB35F337E,2018/10/17 00:00,2018/10/26 16:24,
92449,107年度臺東縣早期療育服務通報轉介中心,臺東縣政府,公共資訊,性質、主管機關、辦理單位、地址、連絡電話、成立日期、立案文號、負責人、..、最後更新時間,性質;資源彙整機關;辦理單位;成立日期;立案文號;負責人;連絡電話;傳真;電子郵件;地址;相關網址;X坐標;Y坐標;備註;最後更新時間;govOrprivate;localGov;welfareOrganizer;welOrgestablishDate;welOrgappDocumentNo;welOrgprincipal;welOrgtelephoneNo;welOrgfaxNo;welOrgemailAccount;welOrgaddress;welOrgURL;welOrgaddressTwd97x;welOrgaddressTwd97y;welfareLastupdate,不更新,政府資料開放授權條款-第1版,http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=764FB25D44734B79&n=4A2DB40EB35F337E;http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=764FB25D44734B79&n=4A2DB40EB35F337E,2018/10/17 00:00,2018/10/26 16:26,
92450,107年度臺東縣兒童及少年福利服務中心,臺東縣政府,公共資訊,性質、主管機關、辦理單位、地址、連絡電話、成立日期、立案文號、負責人、..、最後更新時間,性質;資源彙整機關;辦理單位;成立日期;立案文號;負責人;連絡電話;傳真;電子郵件;地址;相關網址;X坐標;Y坐標;備註;最後更新時間;;govOrprivate;localGov;welfareOrganizer;welOrgestablishDate;welOrgappDocumentNo;welOrgprincipal;welOrgtelephoneNo;welOrgfaxNo;welOrgemailAccount;welOrgaddress;welOrgURL;welOrgaddressTwd97x;welOrgaddressTwd97y,不更新,政府資料開放授權條款-第1版,http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=78FD432702C6EE54&n=4A2DB40EB35F337E;http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=78FD432702C6EE54&n=4A2DB40EB35F337E,2018/10/17 00:00,2018/10/26 16:28,
92451,107年度臺東縣早期療育服務個案管理中心,臺東縣政府,公共資訊,性質、主管機關、辦理單位、地址、連絡電話、成立日期、立案文號、負責人、..、最後更新時間,性質;資源彙整機關;辦理單位;成立日期;立案文號;負責人;連絡電話;傳真;電子郵件;地址;相關網址;X坐標;Y坐標;備註;最後更新時間;govOrprivate;localGov;welfareOrganizer;welOrgestablishDate;welOrgappDocumentNo;welOrgprincipal;welOrgtelephoneNo;welOrgfaxNo;welOrgemailAccount;welOrgaddress;welOrgURL;welOrgaddressTwd97x;welOrgaddressTwd97y;welfareLastupdate,不更新,政府資料開放授權條款-第1版,http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=D0623F9510AC3F66&n=4A2DB40EB35F337E;http://www.taitung.gov.tw/opendata/OD_OpenData_DealData.aspx?s=D0623F9510AC3F66&n=4A2DB40EB35F337E,2018/10/17 00:00,2018/10/26 16:30,
