資料集識別碼,資料集名稱,服務分類,資料集描述,主要欄位說明,提供機關,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
92127,行政院即時新聞澄清,公共資訊,提供行政院及所屬機關即時新聞澄清,標題;內容;網址;發布日期;資料來源;來源網址;,行政院,每日,政府資料開放授權條款-第1版,,2018/10/02 00:00,2018/10/02 15:28,
92142,高速公路國道視窗,交通及通訊,高速公路國道視窗(101年-107年1月),出版年;期別;連結網址,交通部高速公路局,每半年,政府資料開放授權條款-第1版,,2018/10/01 00:00,2018/10/02 14:39,
92145,高速公路局人民申請閱覽政府資訊要點,交通及通訊,高速公路局人民申請閱覽政府資訊要點,資料名稱;機關;連結路徑,交通部高速公路局,每半年,政府資料開放授權條款-第1版,,2018/10/01 00:00,2018/10/02 16:35,
92146,每月國道百萬車公里統計表,交通及通訊,每月國道百萬車公里統計表,時間/年月;資料網址,交通部高速公路局,每日,政府資料開放授權條款-第1版,,2018/10/02 00:00,2018/10/02 17:10,
92148,中部科學工業園區從業員工年齡統計,公共資訊,從業員工數 亦即就業人數，包括園區事業、核准入區工商服務業、事業主管機關分支單位、育成中心、研究機構等之員工數，不包括營造廠或承攬商所僱用之員工數,,科技部中部科學工業園區管理局,每月,政府資料開放授權條款-第1版,,2018/10/02 00:00,2018/10/02 17:26,
92151,中部科學工業園區從業員工居住地統計,公共資訊,園區從業員工居住地統計,,科技部中部科學工業園區管理局,每月,政府資料開放授權條款-第1版,,2018/10/02 00:00,2018/10/02 17:26,
92153,中部科學工業園區從業員工職務統計,公共資訊,園區從業員工職務統計,,科技部中部科學工業園區管理局,每月,政府資料開放授權條款-第1版,,2018/10/02 00:00,2018/10/02 17:26,
92144,警戒水位值影響範圍,公共資訊,水利署災害緊急應變系統為平時或汛期值班應變的核心系統，更是許多相關防災系統的資料供應重要來源，透過系統與資通訊技術達成整備、監控、預警、通報、應變、決策六大任務，可作為防災應變人員之最佳資訊輔助工具，供水利署作為災害應變決策之參考。水利防災中心為統計透過分析水位變化，推估可能受影響的範圍，以利評估相對應防汛作為，產製周期需俟降雨預報進行分析，週期隨情況變動。資料庫提供流域編號、縣市編號、縣市名稱、警戒發布時間、測站編號、測站英文名、測站名稱、河川水位、堤頂高程、鄉鎮市編號、警戒資訊、一級警戒水位、二級警戒水位、三級警戒水位等資料欄位，其產製周期試實際災情變動。,CityCode;StationNo;Time;TownCode;WarningLevel;WaterLevel,經濟部水利署,每日,政府資料開放授權條款-第1版,https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=84;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=84;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=84,2018/06/15 15:20,2018/10/02 16:34,
92147,警戒水庫水位值,公共資訊,防災資訊服務網主要服務對象為一般民眾，提供氣象局即時雨量、河川水位、水庫洩洪、即時影像等各類防災資訊，提供民眾查詢進而達到防範災害的功效。防災資訊服務網建立警戒水庫水位值資料庫，資料庫提供水庫縣市編號、縣市名稱、警戒發布時間、洩洪資訊、預計洩洪時間、出流量、水庫編號、洩洪警戒值、水庫水位等資料欄位，提供各縣市、鄉鎮市區之民眾即時資訊，所在位置是否為上游水庫洩洪影響範圍，同時也利用降雨預報資料來分析未來的水庫水位值可能變化情形，以評估相對應防汛作為，其產製周期需俟降雨預報進行分析，週期隨情況變動。,CityCode;Discharge;DischargeOfProtectionFlood;NextSpillTime;StationNo;Status;Time;TownCode;WaterHeight,經濟部水利署,每日,政府資料開放授權條款-第1版,https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=85;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=85;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=85,2018/10/02 17:03,2018/10/02 17:12,
92149,警戒雨量值,公共資訊,水利署災害緊急應變系統為汛期值班時使用的系統，更是許多相關防災系統的資料供應來源，主要藉由系統與資通訊技術達成整備、監控、預警、通報、應變、決策六大任務，可作為防災應變人員執行防汛業務作業的工具，系統所提供的資訊可作為水利署決策參考。水利防災中心藉由降雨預報資料，評估當降雨量達到可能致災之降雨量，用以評估因應之防汛作為，產製周期需俟降雨預報進行分析，週期隨情況變動。資料內容主要包括：二級警戒1小時值、二級警戒3小時值、二級警戒6小時值、二級警戒12小時值、二級警戒24小時值、一級警戒1小時值、一級警戒3小時值、一級警戒6小時值、一級警戒12小時值、一級警戒24小時值等。,AffectedArea;CityCode;H1;H12;H24;H3;M10;StationNo;Time;TownCode;WarningLevel,經濟部水利署,每日,政府資料開放授權條款-第1版,https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=87;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=87;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=87,2018/10/02 17:03,2018/10/02 17:18,
92150,警戒雨量值影響範圍,公共資訊,水利署災害緊急應變系統為汛期值班時使用的系統，更是許多相關防災系統的資料供應來源，主要藉由系統與資通訊技術達成整備、監控、預警、通報、應變、決策六大任務，可作為防災應變人員執行防汛業務作業的工具，系統所提供的資訊可作為水利署決策參考。水利防災中心藉由降雨預報資料來建立警戒雨量值資料庫，評估當降雨量達到可能致災之降雨量，用以評估因應之防汛作為，產製周期需俟降雨預報進行分析，週期隨情況變動。資料內容主要包括：流域、縣市、鄉鎮、雨量站、10分鐘雨量、1小時雨量、3小時雨量、6小時雨量、12小時雨量、24小時雨量、淹水警戒區域等。,AffectedArea;AlertLevel1_H1;AlertLevel1_H3;AlertLevel1_H6;AlertLevel2_H1;AlertLevel2_H3;AlertLevel2_H6;CityCode;StationNo;TownCode,經濟部水利署,每日,政府資料開放授權條款-第1版,https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=88;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=88;https://data.wra.gov.tw/WraStandardWrisp/Query/StandardDetail.aspx?DictID=88,2018/10/02 17:03,2018/10/02 17:18,
