91911,法務部組織架構-資訊處簡介,CSV;CSV;CSV,https://www.moj.gov.tw/dl-33050-6fbf44689e4145339ffa6742510e276e.html;https://www.moj.gov.tw/dl-33051-8f9b08f485dd464c865b1ea0bf87b5bb.html;https://www.moj.gov.tw/dl-33052-5677ff8f5b06400eaf9b5aa0f326d7af.html,原始資料,法務部組織架構-資訊處簡介,說明、組織架構圖,法務部資訊處,即時,政府資料開放授權條款-第1版,免費,UTF-8;UTF-8;UTF-8,顏小姐,02-21910189#7453,,
92267,經濟部研究發展委員會_106年度國際經濟整合趨勢下，南部產業的衝擊、商機及升級轉型研究-國際經濟整合及新南向政策下，南部產業轉型升級與競爭力之研究,CSV,https://www.moea.gov.tw/MNS/populace/content/wHandMenuFile.ashx?file_id=19211,原始資料,本研究以高雄市區域創新系統的治理、內涵與案例為主軸，涵蓋整體創新環境建構及個別案例，進行分析與評估，探討區域創新系統對高雄市產業發展的影響，並研擬相關對於政府之因應建議。,檔案名稱、下載網址,經濟部,不更新,政府資料開放授權條款-第1版,免費,BIG5,蔡先生,0223212200#8245,,
92275,經濟部研究發展委員會_106年度國際經濟整合趨勢下，南部產業的衝擊、商機及升級轉型研究-網路新經濟及創新創業發展，對南部產業之影響及商機研究,CSV,https://www.moea.gov.tw/MNS/populace/content/wHandMenuFile.ashx?file_id=19222,原始資料,隨著網路快速發展及行動通訊科技崛起，加上大數據、雲端運算、物聯網等科技日趨成熟，全球經濟發展進入嶄新紀元；同時，創新創業也蔚為風潮。上述發展對我國南部產業影響為何，又可為南部經濟帶來多大商機，為本計畫探討重點。,檔案名稱、下載網址,經濟部,不更新,政府資料開放授權條款-第1版,免費,BIG5,蔡先生,02-23212200#8245,,
92277,經濟部研究發展委員會_106年度國際經濟整合趨勢下，南部產業的衝擊、商機及升級轉型研究-優化南部區域創新系統策略研究(以高雄市為例),CSV,https://www.moea.gov.tw/MNS/populace/content/wHandMenuFile.ashx?file_id=19224,原始資料,本研究以高雄市區域創新系統的治理、內涵與案例為主軸，涵蓋整體創新環境建構及個別案例，進行分析與評估，探討區域創新系統對高雄市產業發展的影響，並研擬相關對於政府之因應建議。,檔案名稱、下載網址,經濟部,不更新,政府資料開放授權條款-第1版,免費,BIG5,蔡先生,02-23212200#8245,,
92278,經濟部提升服務效能實施計畫,CSV,https://www.moea.gov.tw/MNS/populace/content/wHandMenuFile.ashx?file_id=19226,原始資料,為提升經濟部為民服務效能，促使民眾在開放政府透明治理下，享有專業、便捷及高效率之服務所訂之計畫。,檔案名稱、下載網址,經濟部,不更新,政府資料開放授權條款-第1版,免費,BIG5,邱小姐,02-23212200#8265,,
92279,經濟部研究發展委員會_106年度國內外與中國大陸經濟情勢發展與我經貿策略規劃－「川普新政」對亞太經貿情勢的可能影響分析,CSV,https://www.moea.gov.tw/MNS/populace/content/wHandMenuFile.ashx?file_id=19228,原始資料,探討川普對內政策和對外經貿政策出發，在對內政策方面，聚焦減稅、移民、能源、基礎建設等政策；對外政策則包括川普可採用之經貿工具、多邊及雙邊貿易策略、製造業回流及相關政策等。其次，觀察美國與中俄日韓等國的互動和經貿情勢，挑選重要議題進行分析。第三，綜合上述章節內容，研判TPP和AEC等區域經濟整合的現況與未來發展趨勢。最後，由川普新政對亞太經貿情勢總體面、以及美國與亞太各國的互動觀察，評估對我國的可能影響。,檔案名稱、下載網址,經濟部,不更新,政府資料開放授權條款-第1版,免費,BIG5,朱先生,02-23212200#8238,,
92280,經濟部研究發展委員會_106年度國內外與中國大陸經濟情勢發展與我經貿策略規劃-中國大陸經濟結構轉型與政策趨勢觀察,CSV,https://www.moea.gov.tw/MNS/populace/content/wHandMenuFile.ashx?file_id=19230,原始資料,中國大陸經濟結構轉型與發展政策趨勢觀察，省思我國兩岸戰略作為有待調整的意見，內容有五：首先探討中國大陸金融風險與防範，接著歸納中國大陸「一帶一路」政策推動現況，再分析雙創政策推動策略與成效，以及研析第三波自貿試驗區政策推動狀況。最後，根據以上研究發現，提出我國經濟政策之因應建議。,檔案名稱、下載網址,經濟部,不更新,政府資料開放授權條款-第1版,免費,BIG5,朱先生,02-23212200#8238,,
92281,臺鐵局廉政會報紀錄,JSON,https://www.railway.gov.tw/Upload/UserFiles/臺鐵局廉政會報紀錄(1).json,系統介接程式,"臺鐵局廉政會報紀錄 會議名稱、日期、時間、地點、主席、下載連結",會議名稱、日期、時間、地點、主席、下載連結,交通部臺灣鐵路管理局,每日,政府資料開放授權條款-第1版,免費,其他,"李俞瑩 小姐",02-23815226#2638,,
92282,9月化粧品衛生管理,PDF,https://www.mlshb.gov.tw/tc/includes/GetFile.ashx?mID=34&id=3012&chk=8b3c35fc-6adb-4c74-bb58-22135fe61024,原始資料,9月化粧品衛生管理,,苗栗縣政府衛生局,不更新,政府資料開放授權條款-第1版,免費,,秦孟萱,037-558149,,
92290,基隆市106年度合法設立私立就業服務機構,CSV,https://klsws.klcg.gov.tw/opendata/api/getResource?oid=9c8b83e0-7e0f-461b-a980-cc743e1379c3&rid=5d0fb53f-849e-4baf-a9d1-85ddf0af7d10,系統介接程式,基隆市106年度合法設立私立就業服務機構,編號、許可證、機構名稱、郵遞區號、機構地址、電話、傳真,基隆市政府社會處,不更新,政府資料開放授權條款-第1版,免費,BIG5,陳先生,02-24201122,,
92292,9月藥物檢查暨查獲違法統計,PDF,https://www.mlshb.gov.tw/tc/includes/GetFile.ashx?mID=34&id=3011&chk=c2ca01b9-8dc2-4509-aec9-aeeaa5ac0842,原始資料,9月藥物檢查暨查獲違法統計,,苗栗縣政府衛生局,不更新,政府資料開放授權條款-第1版,免費,,秦孟萱,037-558149,,
