資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
98163,高速公路局工務段轄區範圍,交通部高速公路局,公共資訊,高速公路局工務段轄區範圍,養護工程分局名稱;工務段名稱;轄區範圍,每年,政府資料開放授權條款-第1版,,2019/01/29 00:00,2019/01/29 10:31,
98177,臺灣銅金屬年腐蝕速率資料,交通部運輸研究所,公共資訊,於臺灣各地共佈放90個試驗站，建置臺灣銅金屬大氣腐蝕環境分類資料，提供產官學各界參考應用,項次;年;試驗地點;銅腐蝕速率,每年,政府資料開放授權條款-第1版,https://www.ihmt.gov.tw/opendata/upload/act/corrosion_Cu.xlsx,2019/01/10 00:00,2019/01/29 16:34,
98178,臺灣碳鋼年腐蝕速率資料,交通部運輸研究所,公共資訊,於臺灣各地共佈放90個試驗站，建置臺灣碳鋼大氣腐蝕環境分類資料，提供產官學各界參考應用,項次;年;試驗地點;碳鋼年腐蝕速率,每年,政府資料開放授權條款-第1版,https://www.ihmt.gov.tw/opendata/upload/act/corrosion_fe.xlsx,2019/01/10 00:00,2019/01/29 16:34,
98150,內政部空中勤務總隊執行海洋(岸)空偵巡護任務成效統計表,內政部空中勤務總隊,公共資訊,勤務項目_月份、01月、02月、03月、04月、05月、06月、07月、08月、09月、10月、11月、12月、合計,Duty_performed_month;January;February;March;April;May;June;July;August;September;October;November;December;total,每年,政府資料開放授權條款-第1版,,2019/01/28 16:54,2019/01/29 09:43,
98151,內政部空中勤務總隊執行國土安全空巡任務成效統計表,內政部空中勤務總隊,公共資訊,勤務項目_月份、01月、02月、03月、04月、05月、06月、07月、08月、09月、10月、11月、12月、合計,Duty_performed_month;January;February;March;April;May;June;July;August;September;October;November;December;total,每年,政府資料開放授權條款-第1版,,2019/01/29 08:32,2019/01/29 09:55,
98166,內政部空中勤務總隊執行環境汙染調查任務成效統計表,內政部空中勤務總隊,公共資訊,勤務項目_月份、01月、02月、03月、04月、05月、06月、07月、08月、09月、10月、11月、12月、合計,Duty_performed_month;January;February;March;April;May;June;July;August;September;October;November;December;total,每年,政府資料開放授權條款-第1版,,2019/01/29 13:33,2019/01/29 14:14,
98168,內政部空中勤務總隊執行國土綜合規劃空勘航攝任務成效統計表,內政部空中勤務總隊,公共資訊,勤務項目_月份、01月、02月、03月、04月、05月、06月、07月、08月、09月、10月、11月、12月、合計,Duty_performed_month;January;February;March;April;May;June;July;August;September;October;November;December;total,每年,政府資料開放授權條款-第1版,,2019/01/29 13:58,2019/01/29 14:35,
98176,電信詐欺犯罪資料,警政署,生活安全及品質,提供電信詐欺案類犯罪發生資料 (本資料為每季初步統計，僅供參考，正確統計數字仍以本署年度刑案統計資料為準。,type;oc_dt;oc_p1,每年,政府資料開放授權條款-第1版,,2019/01/29 15:40,2019/01/29 16:13,
98152,傳藝中心性別平等專區,國立傳統藝術中心,公共資訊,本中心性別平等檔案下載與相關連結,原始網頁資料,每年,政府資料開放授權條款-第1版,,2019/01/29 00:00,2019/01/29 09:13,
98153,傳藝中心創意傳藝教案競賽徵選計畫,國立傳統藝術中心,公共資訊,本中心年度創意傳藝教案競賽徵選計畫之相關資料，主題包含：京劇、歌仔戲、布袋戲、皮影戲、北管樂,,每年,政府資料開放授權條款-第1版,,2019/01/29 00:00,2019/01/29 09:16,
98154,傳藝中心內部控制聲明書,國立傳統藝術中心,公共資訊,本中心年度內部控制聲明書,,每年,政府資料開放授權條款-第1版,,2019/01/29 00:00,2019/01/29 09:19,
98155,傳藝中心-補捐助預算執行情形,國立傳統藝術中心,公共資訊,本中心補捐助預算執行-公款補助國內團體情形季報表,,每年,政府資料開放授權條款-第1版,,2019/01/29 00:00,2019/01/29 09:21,
98156,傳藝中心-資訊圖表,國立傳統藝術中心,公共資訊,本中心各項分析資訊圖，包含：預算執行與重要績效、表演藝術消費參與概況調查計畫－研究主要發現、表演藝術團體基礎概況調查計畫－成果資訊圖表、傳藝中心園區委外經營績效、傳藝中心性別統計等。,Id;SiteId;UnitId;TypeId;FileName;ImageName;Url;BaseCategoryName;Content;PublishTime;Subject;PageUrl; Mutilimage; Mutilattach,每年,政府資料開放授權條款-第1版,,2019/01/29 00:00,2019/01/29 09:21,
