新增日期,資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,相關網址
2019-02-26,99336,新北市107年土地徵收統計表,新北市政府地政局,購屋及遷徙,107年度新北市土地徵收筆數、面積及補償費統計表資料,field1;field2;field3;field4;field5;field6;field7;field8;field9;field10;field11;field12;field13;field14;field15;field16;field17;field18;field19,每年,""
2019-02-26,99355,新竹市歷年溺水案件,新竹市政府,公共資訊,提供執行救溺勤務案件統計,年度;溺水案件發生數;年度溺斃人數;年度獲救人數;防溺期間發生件數;防溺期間溺斃人數,每年,""
2019-02-26,99356,新竹市創新創業空間,新竹市政府,公共資訊,新竹市創新創業空間資料提供，包含基地名稱、位置、電話及經緯度。,基地名稱;地址;電話;緯度;經度,每年,""
2019-02-26,99357,新竹市政府第3屆勞資爭議調解委員名冊,新竹市政府,公共資訊,新竹市政府第3屆勞資爭議調解委員名冊,"",每日,""
2019-02-26,99358,新竹市政府第3屆勞資爭議調解人名冊,新竹市政府,公共資訊,新竹市政府第3屆勞資爭議調解人名冊,"",每日,""
2019-02-26,99359,中低收入老人生活津貼,新竹市政府,公共資訊,新竹市中低收入老人生活津貼補助相關資料,年度;通過案件數;補助金額,每日,""
2019-02-26,99360,重陽敬老禮金,新竹市政府,公共資訊,新竹市重陽敬老禮金相關資料,重陽敬老禮金,每日,""
2019-02-26,99361,百歲人瑞祝賀,新竹市政府,公共資訊,新竹市百歲人瑞祝賀相關資料,新竹市百歲人瑞祝賀相關資料,每日,""
2019-02-26,99362,安老津貼,新竹市政府,公共資訊,安老津貼,107安老津貼數量金額,每日,""
2019-02-26,99363,低收喪葬費補助,新竹市政府,公共資訊,低收喪葬費補助,低收喪葬補助,每日,""
2019-02-26,99364,低收住院看護補助,新竹市政府,公共資訊,低收住院看護補助津貼,低收看護補助,每日,""
2019-02-26,99365,住宅修繕補助,新竹市政府,公共資訊,新竹市住宅修繕補助相關資料,住宅修繕補助,每日,""
2019-02-26,99366,租賃房屋租金補助,新竹市政府,公共資訊,租賃房屋租金補助,租賃房屋租金補助,每日,""
2019-02-26,99367,中低收入老人重病住院看護補助,新竹市政府,公共資訊,中低收入老人重病住院看護補助,重病住院看護補助,每日,""
2019-02-26,99368,新竹市身障人數,新竹市政府,公共資訊,每季人數,行政區;視覺障礙者;聽覺機能障礙者;平衡機能障礙者;聲音機能或語言機能障礙者要肢體障礙者;智能障礙者;重要器官失去功能者;顏面損傷者;植物人;失智症者;自閉症者;慢性精神病患者;多重障礙者;頑性;瘨癇症者;因罕見疾病而致身心功能障礙者;其他,每日,""
2019-02-26,99369,新竹市兒童發展早期療育個案管理服務,新竹市政府,公共資訊,一、 辦理發展遲緩及身心障礙兒童個案管理服務，以家庭為中心模式協調及整合相關福利資源，提供發展遲緩（含疑似）及身心障礙兒童與其家庭整體且持續性的個別專業化服務。,月報表,每日,""
2019-02-26,99370,新竹市身心障礙者社區樂活補給站,新竹市政府,公共資訊,提供學習技藝或生活舒壓課程,單位名稱;電話;地址;服務區域;服務內容;服務對象,每日,""
2019-02-26,99371,新竹市身心障礙者日間照顧及住宿式照顧機構名冊,新竹市政府,公共資訊,本市簽約名冊,新竹市身心障礙者日間照顧及住宿式照顧機構名冊,每日,""
2019-02-26,99372,新竹市寄養家庭媒合機構,新竹市政府,公共資訊,財團法人台灣兒童暨家庭扶助基金會新竹分事務所,財團法人台灣兒童暨家庭扶助基金會新竹分事務所,每日,""
2019-02-26,99373,公園綠地認養資料,新竹市政府,公共資訊,序號、認養場地、認養機關團體、認養期限,序號;認養場地;認養機關團體;認養期限,每日,""
2019-02-26,99374,新竹市重要遊憩據點遊客人次統計,新竹市政府,公共資訊,年、月、各遊憩據點,年;月;各遊憩據點,每日,""
2019-02-26,99341,中央政府前瞻基礎建設計畫第1期特別預算會計報告,法務部會計處,公共資訊,會計月報、半年結算報告,資料名稱;資料連結,每年,""
2019-02-26,99347,毒品防制基金會計月報(按月),法務部會計處,公共資訊,毒品防制基金會計月報(按月),"",每月,""
2019-02-26,99334,矯正署雲林看守所108年會計報告(按月),法務部矯正署,公共資訊,矯正署雲林看守所108年會計報告(按月),"",每月,""
2019-02-26,99335,矯正署雲林少年觀護所108年會計報告(按月),法務部矯正署,公共資訊,矯正署雲林少年觀護所108年會計報告(按月),"",每月,""
2019-02-26,99329,臺灣新竹地方檢察署108年度會計報告,臺灣新竹地方檢察署,公共資訊,公共資訊:係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,"",每月,""
