資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
100541,內政部空中勤務總隊搜救有功人員,內政部空中勤務總隊,公共資訊,姓名、現職、工作有感,Name;Current_job;Feel_at_work,每年,政府資料開放授權條款-第1版,,2019/04/01 11:05,
100542,內政部空中勤務總隊各型機種執行分項勤務飛行時數統計表,內政部空中勤務總隊,公共資訊,勤務項目_機種、AS-365N_飛行時數、AS-365N_飛行百分比、BE-200_飛行時數、BE-200_飛行百分比、UH-60M_飛行時數、UH-60M_飛行百分比、合計、百分比,Duty_performed_ Model;AS-365N_flight hours;AS-365N_flight percentage;BE-200_flight hours;BE-200_flight percentage;UH-60M _flight hours;UH-60M _flight percentage;total;percentage,每年,政府資料開放授權條款-第1版,,2019/04/01 15:10,
100543,內政部空中勤務總隊各型機種執行分項勤務飛行時數統計表,內政部空中勤務總隊,公共資訊,勤務項目_機種、AS-365N_飛行時數、AS-365N_飛行百分比、BE-200_飛行時數、BE-200_飛行百分比、UH-60M_飛行時數、UH-60M_飛行百分比、合計、百分比,Duty_performed_ Model;AS_365N_flight hours;AS_365N_flight percentage;BE_200_flight hours;BE-200_flight percentage;UH_60M _flight hours;UH_60M _flight percentage;total;percentage,每年,政府資料開放授權條款-第1版,,2019/04/01 15:10,
78559,司法院106年度單位決算,司法院會計處,公共資訊,司法院106年度單位決算,,每年,政府資料開放授權條款-第1版,http://www.judicial.gov.tw/acc/index.htm;http://www.judicial.gov.tw/acc/index.htm,2019/04/01 00:00,
100491,司法院107年度單位決算,司法院會計處,公共資訊,司法院107年度單位決算,,每年,政府資料開放授權條款-第1版,https://www.judicial.gov.tw/acc/index.htm;https://www.judicial.gov.tw/acc/index.htm,2019/04/01 00:00,
100526,107年度宜蘭縣庫款集中支付年報表,宜蘭縣政府,公共資訊,支付淨額：支付數減支出收回數、註銷數後之餘額,項目;年支付數;年支出收回數;年轉帳支付數;年轉帳收回數;年註銷數;年支付淨額,每年,政府資料開放授權條款-第1版,,2019/04/01 00:00,金額單位：新臺幣元
100540,106年度教育部運動發展基金附屬單位預算案,教育部體育署,公共資訊,106年度教育部運動發展基金附屬單位預算案,,每年,政府資料開放授權條款-第1版,,2019/04/01 00:00,
100546,107年度教育部運動發展基金附屬單位預算案,教育部體育署,公共資訊,107年度教育部運動發展基金附屬單位預算案,,每年,政府資料開放授權條款-第1版,,2019/04/01 00:00,
100548,108年度教育部運動發展基金附屬單位預算案,教育部體育署,公共資訊,108年度教育部運動發展基金附屬單位預算案,,每年,政府資料開放授權條款-第1版,,2019/04/01 00:00,
100550,106年度教育部運動發展基金附屬單位決算,教育部體育署,公共資訊,106年度教育部運動發展基金附屬單位決算,,每年,政府資料開放授權條款-第1版,,2019/04/01 00:00,
