資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
100140,國立科學工藝博物館107年度決算案,國立科學工藝博物館,公共資訊,決算,SEQNO;LEVEL;BOLD;科目;本年度預算數-金額;本年度預算數-百分比;本年度決算數-金額;本年度決算數-百分比;比較增減-金額;比較增減-百分比;上年度決算數-金額;上年度決算數-百分比;項目;預算數;決算數;備註;可用預算數-以前年度保留數;可用預算數-本年度保留數;可用預算數-本年度奉准先行辦理數;可用預算數-調整數;可用預算數-合計;比較增減數;本年度保留數;計畫名稱;全部計畫;全部計畫-目標能量;全部計畫-進度起訖年月;可用預算數-本年度預算數;可用預算數-占全部計畫百分比;截至本年度累計數;截至本年度累計數-占全部計畫百分比;決算數-本年度金額;決算數-本年度金額占可用預算數百分比;決算數-截至本年度累計數金額;截至本年度累計決算數占累計預算數百分比;未達成或超過預算之原因;決算數-帳面價值-成本或重估價值;決算數-帳面價值-已提折舊額;決算數-帳面價值-淨額;決算數-殘餘價值;決算數-未實現重估增值減少數;決算數-報廢短絀;報廢損失預算數;比較增減;預算數-數量;決算數-數量;比較增減-數量;科目名稱;預算數-正式員額薪資;預算數-聘僱人員薪資;預算數-超時工作報酬;預算數-津貼;預算數-獎金;預算數-退休及卹償金;預算數-資遣費;預算數-福利費;預算數-提繳費;預算數-合計;預算數-兼任人員用人費用;預算數-總計;決算數-正式員額薪資;決算數-聘僱人員薪資;決算數-超時工作報酬;決算數-津貼;決算數-獎金;決算數-退休及卹償金;決算數-資遣費;決算數-福利費;決算數-提繳費;決算數-合計;決算數-兼任人員用人費用;決算數-總計;車輛類型;預算數-輛數;預算數-金額;決算數-輛數;決算數-金額;比較增減-輛數;比較增減-輛數-百分比;比較增減-金額-百分比;數量單位;比較增減-數量-百分比,不更新,政府資料開放授權條款-第1版,https://www.nstm.gov.tw/opendata/107年度決算案.zip,2019/03/21 00:00,
100584,高雄市鹽埕區107年公告地價,高雄市政府,公共資訊,高雄市鹽埕區107年公告地價,行政區;地段;地號;公告地價,每日,政府資料開放授權條款-第1版,http://data.kcg.gov.tw/dataset/10701lva,2019/03/29 03:21,
100585,高雄市三民區107年公告地價,高雄市政府,公共資訊,高雄市三民區107年公告地價,行政區;地段;地號;公告地價,每日,政府資料開放授權條款-第1版,http://data.kcg.gov.tw/dataset/10705lva,2019/03/28 10:02,
100586,高雄市楠梓區107年公告地價,高雄市政府,公共資訊,高雄市楠梓區107年公告地價,行政區;地段;地號;公告地價,每日,政府資料開放授權條款-第1版,http://data.kcg.gov.tw/dataset/10704lva,2019/03/28 08:57,
100587,高雄市左營區107年公告地價,高雄市政府,公共資訊,高雄市左營區107年公告地價,行政區;地段;地號;公告地價,每日,政府資料開放授權條款-第1版,http://data.kcg.gov.tw/dataset/10703lva,2019/03/28 06:14,
100588,108年那瑪夏區公告土地現值,高雄市政府,公共資訊,高雄市那瑪夏區108年公告土地現值,行政區;地段;地號;公告土地現值,每日,政府資料開放授權條款-第1版,http://data.kcg.gov.tw/dataset/10838plv,2019/03/25 07:22,
100589,108年桃源區公告土地現值,高雄市政府,公共資訊,高雄市桃源區108年公告土地現值,行政區;地段;地號;公告土地現值,每日,政府資料開放授權條款-第1版,http://data.kcg.gov.tw/dataset/10837plv,2019/03/25 07:21,
100590,108年茂林區公告土地現值,高雄市政府,公共資訊,高雄市茂林區108年公告土地現值,行政區;地段;地號;公告土地現值,每日,政府資料開放授權條款-第1版,http://data.kcg.gov.tw/dataset/10836plv,2019/03/25 07:20,
100591,108年內門區公告土地現值,高雄市政府,公共資訊,高雄市內門區108年公告土地現值,行政區;地段;地號;公告土地現值,每日,政府資料開放授權條款-第1版,http://data.kcg.gov.tw/dataset/10835plv,2019/03/25 07:18,
100592,108年杉林區公告土地現值,高雄市政府,公共資訊,高雄市杉林區108年公告土地現值,行政區;地段;地號;公告土地現值,每日,政府資料開放授權條款-第1版,http://data.kcg.gov.tw/dataset/10834plv,2019/03/25 07:16,
100593,108年甲仙區公告土地現值,高雄市政府,公共資訊,高雄市甲仙區108年公告土地現值,行政區;地段;地號;公告土地現值,每日,政府資料開放授權條款-第1版,http://data.kcg.gov.tw/dataset/10833plv,2019/03/25 07:06,
