資料集識別碼,資料集名稱,提供機關,資料集描述,主要欄位說明,更新頻率,授權方式,備註,新增日期
106227,大陸地區人民以小三通來臺入出境人數,內政部移民署,108年度1-6月份大陸地區人民以小三通來臺入出境人數,月份、出境人數_男、出境人數_女、出境人數合計、入境人數_男、入境人數_女、入境人數合計,每半年,政府資料開放授權條款-第1版,,20190727
106246,台灣中油股份有限公司_提供電動機車充電服務加油站,台灣中油股份有限公司,提供電動機車充電服務之加油站,站代號、站名、地址、經度、緯度、電話、提供服務時段,每日,政府資料開放授權條款-第1版,,20190727
106247,台灣中油股份有限公司_提供電動機車換電服務加油站,台灣中油股份有限公司,提供電動機車換電服務之加油站,站代號、站名、地址、經度、緯度、電話、提供服務時段,每日,政府資料開放授權條款-第1版,,20190727
106240,登記原因代碼,地政司,土地及建物登記原因代碼,UNIT(地政事務所代碼)、CODE(登記原因代碼)、NAME(登記原因名稱),每年,政府資料開放授權條款-第1版,,20190727
106242,他項權利檔擔保債權確定期日類別代碼,地政司,提供全國土地基本資料庫中他項權利檔擔保債權確定期日類別代碼，供應用系統依據需求進行取得使用,CODE(他項權利檔擔保債權確定期日類別代碼)、NAME(他項權利檔擔保債權確定期日類別名稱),每年,政府資料開放授權條款-第1版,OAS說明文件:https://openapi.land.moi.gov.tw/WEBAPI/OAS/他項權利檔擔保債權確定期日類別.yaml,20190727
106243,建物分層或附屬建物用途代碼,地政司,提供全國土地基本資料庫中建物分層或附屬建物用途代碼，供應用系統依據需求進行取得使用,CITY(縣市代碼)、CODE(建物分層或附屬建物用途代碼)、NAME(建物分層或附屬建物用途名稱),每年,政府資料開放授權條款-第1版,,20190727
106244,他項權利檔其他擔保範圍約定類別代碼,地政司,提供全國土地基本資料庫中他項權利檔其他擔保範圍約定類別代碼，供應用系統依據需求進行取得使用,CODE(他項權利檔存續期間類別代碼)、NAME(他項權利檔存續期間類別名稱),每年,政府資料開放授權條款-第1版,OAS說明文件:https://openapi.land.moi.gov.tw/WEBAPI/OAS/他項權利檔其他擔保範圍約定類別.yaml,20190727
106239,臺中市寬頻管道引上點,臺中市政府建設局‧管線管理科,本資料內容為具有數值描述之寬頻管道引上點圖資(SHP)，範圍涵蓋本市中區、東區、西區、南區、北區、西屯區、南屯區、北屯區、豐原區、大里區、太平區、清水區、沙鹿區、大甲區、東勢區、梧棲區、烏日區、大肚區、大雅區、后里區、霧峰區、潭子區、龍井區、外埔區、大安區、新社區。使用者應另行再下載，寬頻管道、寬頻管道引出管、寬頻管道手孔等三個檔案始為完整檔案,ID、HOLEID、UNIT、HKIND、UWIDTH、ULEN、BHIGHT、HHIGHT、RDIST、SDATE、SITE、HHCD、COORDX、COORDY、OUTNUM、PROJID、LUDATE、LUSITE、DSDATE、DDATE、WID,每年,政府資料開放授權條款-第1版,,20190727
106248,特生中心慕光之城蛾類時空分布資料集,行政院環境保護署,此一資料集為農委會特有生物研究保育中心應用社群平台臉書成立「慕光之城—蛾類世界」社團，由社團成員分享蛾照及提供拍照日期與地點，並由特生中心開發資料庫及資料登錄介面，將資料鍵入資料庫。,SerialNo(流水號)、ObserveDate(觀察日期)、County(市縣 市)、Township(鄉鎮區)、Location(觀察地點)、WGS84Lon(經度 WGS84)、WGS84Lat(緯度 WGS84)、Family(科名)、ScienceName(學名)、LifeCycle(生活史階段)、FBURL(參考連結)、Altitude(海拔高度),每年,政府資料開放授權條款-第1版,OPENAPI介接服務：http://opendata.epa.gov.tw/api/swagger/swagger.json,20190727
106249,特有生物研究保育中心蛾類調查資料集,行政院環境保護署,本資料集為特有生物研究保育中心自2006年起於合歡山開始展開蛾類調查之後，歷經十餘年累積之調查資料。每一筆資料即一份證據標本之採集資訊與鑑定結果，且均有一張標本影像存於flickr網站，資料集則提供此照片之連結網址。,MothCPNo(採集地點)、MothCollectSpeciesID(標本編號)、MothCollectPlace(採集地點)、TWCounty(縣市)、TwTown(鄉鎮)、Alt(海拔)、Latitude(緯度)、Longititude(經度)、MothCollectDate(調查日期)、Collector(採集者)、TWMothFamily(科名)、TWMothGenusName(屬名)、TWMothScienceName(學名)、FlickrUrl(網址)、PhotoURL(照片連結)、MothIdentifier(鑑定者),每季,政府資料開放授權條款-第1版,,20190727
106245,高雄環狀輕軌捷運建設計畫－第二階段工程進度,高雄市政府捷運工程局,月預定總累計執行進度與實際總累計執行進度百分比,年、月、預定(總累計執行進度%)、實際(總累計執行進度%)、備註,每月,政府資料開放授權條款-第1版,,20190727
