資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
116319,109年宜蘭縣羅東鎮土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣羅東鎮土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116320,109年宜蘭縣羅東鎮土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣羅東鎮土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116321,109年宜蘭縣羅東鎮土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣羅東鎮土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116322,109年宜蘭縣羅東鎮土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣羅東鎮土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116323,109年宜蘭縣五結鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣五結鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116324,109年宜蘭縣五結鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣五結鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116325,109年宜蘭縣五結鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣五結鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116326,109年宜蘭縣五結鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣五結鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116327,109年宜蘭縣三星鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣三星鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116328,109年宜蘭縣三星鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣三星鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116329,109年宜蘭縣三星鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣三星鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116330,109年宜蘭縣三星鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣三星鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116331,109年宜蘭縣大同鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣大同鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116332,109年宜蘭縣大同鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣大同鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116333,109年宜蘭縣大同鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣大同鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116334,109年宜蘭縣大同鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣大同鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116335,109年宜蘭縣冬山鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣冬山鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116336,109年宜蘭縣冬山鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣冬山鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116337,109年宜蘭縣冬山鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣冬山鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116339,109年宜蘭縣蘇澳鎮土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣蘇澳鎮土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116340,109年宜蘭縣蘇澳鎮土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣蘇澳鎮土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116341,109年宜蘭縣蘇澳鎮土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣蘇澳鎮土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116342,109年宜蘭縣蘇澳鎮土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣蘇澳鎮土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116343,109年宜蘭縣南澳鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣南澳鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116344,109年宜蘭縣南澳鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣南澳鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116345,109年宜蘭縣南澳鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣南澳鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
116346,109年宜蘭縣南澳鄉土地公告現值及公告地價,宜蘭縣政府,購屋及遷徙,109年宜蘭縣南澳鄉土地公告現值及公告地價,鄉鎮市代碼;鄉鎮市;地段;地號;公告現值;公告地價,每日,政府資料開放授權條款-第1版,,2020/02/08 00:00,無
