資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
130585,新北市幼兒常規疫苗接種合約醫療院所-新北市八里區中山路一段231號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市八里區中山路一段231號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130586,新北市幼兒常規疫苗接種合約醫療院所-新北市三芝區中山路一段59號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三芝區中山路一段59號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130587,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區三民街243號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區三民街243號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130588,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區三和路2段97號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區三和路2段97號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130589,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區三和路4段308號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區三和路4段308號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130590,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區三和路4段318號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區三和路4段318號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130591,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區中華路57號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區中華路57號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130592,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區仁愛街302號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區仁愛街302號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130593,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區仁愛街735號,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區仁愛街735號,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
130594,新北市幼兒常規疫苗接種合約醫療院所-新北市三重區正義北路278號1樓,新北市政府衛生局,生育保健,本資料集為新北市轄區內提供幼兒公費疫苗接種之合約醫療院所名冊-新北市三重區正義北路278號1樓,No;district;name;tel;address;Type;Remark;time;vaccine,每月,政府資料開放授權條款-第1版,,2020/10/07 00:00,OAS說明文件:https://drive.google.com/file/d/1Uc1ReoYYr22-6_QGuBblsuHcx0jIpfYC/view?usp=sharing
