ID,NAME,PUBLISHED_DATE,VIEWS,DOWNLOADS,COMMENTS
5943,蒙藏補助團體私人情形季報表,2013/03/18,7841,1104,1
5945,西藏統計資料,2013/03/18,6015,836,1
5946,蒙古統計資料,2013/03/18,4512,360,0
5947,蒙藏性別主流化訓練統計表,2013/03/18,4424,374,1
5948,3+2碼郵遞區號,2016/08/22,51469,19923,27
5949,縣市鄉鎮中英對照檔,2016/08/22,29966,30841,8
5950,中華郵政全國營業據點,2017/04/10,14714,5369,4
5951,臺灣省諮議會園區公共廁所資訊,2013/03/19,4847,577,0
5952,臺灣省諮議會園區停車場資訊,2013/03/19,4753,568,0
5953,臺灣省諮議會園區雕像作品資訊,2013/03/19,3462,287,0
5954,臺灣省諮議會園區週邊餐廳資訊,2013/03/19,4466,667,0
5955,臺灣省諮議會歷屆議員名單,2013/03/19,5959,535,0
5956,中華民國駐外單位聯合網站活動訊息,2013/03/21,5580,598,1
5957,職業傷病防治中心名單,2013/03/21,9170,2589,2
5958,各縣(市)警察(分)局暨所屬分駐(派出)所地址資料,2014/03/13,45676,6980,8
5959,行政院公報,2013/03/26,16540,2235,1
5960,數位機會調查,2013/03/26,10833,2940,1
5961,CNS11643中文標準交換碼全字庫(簡稱全字庫),2015/02/01,316462,66922,289
5962,iTaiwan中央行政機關室內公共區域免費無線上網熱點查詢服務,2015/02/01,136886,6039,10
5964,當年度工程查核及複查結果,2013/03/26,8442,875,2
5965,死因統計,2013/03/26,51394,7934,24
5967,地政事務所轄區圖,2014/03/13,10605,963,2
5968,村里界圖(TWD97_123分帶),2014/03/13,36891,5672,7
5969,救援與應變單位點位,2014/03/13,14242,1791,5
5970,經濟統計區圖資,2013/03/27,11722,1535,1
5971,貨品基本資料 (統計參考用),2013/03/27,11577,1011,1
5972,年度中小企業重要統計表,2013/03/27,54885,10045,36
5973,國家磐石獎,2013/03/27,7157,1099,0
5974,創新研究獎,2013/03/27,7175,1115,1
5975,小巨人獎,2013/03/27,8116,1223,0
5976,臺灣活動斷層分布圖(五十萬分之一紙圖版更新數值檔),2013/03/27,15873,2161,5
5977,楠梓、高雄軟體園區就業資訊,2013/03/27,10122,1212,0
5978,ISO認可登錄廠商查詢,2013/03/27,21446,3263,4
5979,各類貨品檢驗合格名單,2013/03/27,9746,1032,2
5980,台灣區土石生產量值表,2013/03/27,6108,964,0
5981,水利防災資訊,2017/09/12,8317,1556,0
5982,防災資訊_淹水警戒,2017/09/12,16110,1636,6
5983,防災資訊_河川警戒,2017/09/12,6220,702,1
5984,防災資訊_水庫洩洪警戒,2017/09/12,6431,895,0
5987,中部科學園區園區活動訊息,2013/03/27,3804,326,0
5988,拒絕往來廠商公告,2013/03/27,46520,7509,4
5989,政府採購法規解釋函令及相關函文,2013/03/27,10509,543,1
5990,海上救生救難案例,2013/03/27,5240,340,1
5991,海巡統計年報,2013/03/27,4132,266,0
5992,海巡雙月刊,2013/03/27,5158,196,0
5993,前行政院海岸巡防署「重大政策」,2013/03/27,4107,156,0
5994,前行政院海岸巡防署「資本支出-中長程個案計畫」,2013/03/27,4235,165,0
5995,全國各縣市有線廣播電視基本頻道收視費用,2013/03/27,6602,685,0
5996,電信設備審驗合格清單,2013/03/27,5901,604,0
5997,廣播電臺節目表,2013/03/27,4949,680,1
5998,公眾頻率分配,2013/03/27,4639,502,0
6005,全民健康保險爭議審議案件統計,2013/03/27,7641,816,2
6006,獨立音樂,2013/03/27,29551,23709,8
6007,徵選活動,2013/03/27,8131,9511,1
6008,競賽活動,2013/03/27,9907,10431,1
6009,綜藝活動,2013/03/27,9989,11867,1
6010,電影,2013/03/27,41742,28304,7
6011,講座資訊,2013/03/27,10624,11748,1
6012,展覽資訊,2013/03/27,63526,51703,5
6013,演唱會,2013/03/27,23284,20366,2
6014,親子活動,2013/03/27,17198,22873,2
6015,舞蹈表演資訊,2013/03/27,45741,31915,0
6016,戲劇表演資訊,2013/03/27,50159,10270,0
6017,音樂表演資訊,2013/03/27,53190,14229,2
6018,其他藝文資訊,2013/03/27,37159,9345,0
6019,消費者物價基本分類指數,2013/03/27,16935,3355,4
6020,所得層級別消費者物價指數,2013/03/27,7015,1207,0
6021,消費者物價購買頻度別指數,2013/03/27,6927,1164,0
6022,央行貼放利率,2013/03/27,5549,14652,0
6023,金融業隔夜拆款利率,2013/03/27,10379,6014,2
6024,貨幣總計數,2013/03/27,12708,1487,5
6025,外匯存底,2013/03/27,5246,24350,1
6026,每季新臺幣發行數額及準備狀況,2013/03/27,3582,317,1
6027,臺灣製產品MIT微笑標章網站通過驗證產品資料,2013/03/29,6729,944,1
6028,專利百大排行,2013/03/28,4894,1053,0
6029,經濟部能源局_國際原油價格,2013/03/28,26463,79043,4
6030,經濟部能源局_用電安全資訊,2013/03/28,7321,699,2
6031,經濟部能源局_再生能源電能躉購費率及其計算公式,2013/03/28,7864,675,1
6032,經濟部能源局_車型耗能證明核發資料,2013/03/28,7495,2920,0
6034,水產精品資料,2013/02/26,4196,832,0
6037,農村地方美食小吃特色料理,2015/03/30,25317,15405,8
6038,公益彩券盈餘分配及銷售量簡表,2013/03/28,7528,17120,1
6039,綜合所得稅結算申報人工申報案件統計表,2013/03/28,6878,3985,0
6040,金管會新聞稿,2013/03/28,13766,25240,1
6041,金融機構基本資料查詢,2013/03/28,39500,22957,23
6047,公司設立登記清冊(月份),2013/11/30,97184,44550,24
6048,公司變更登記清冊(月份),2013/11/30,44816,15539,11
6049,公司解散登記清冊(月份),2013/11/30,35783,13474,12
6050,停水資訊,2013/03/29,34403,7466,13
6052,客運時刻,2017/02/08,21489,2619,13
6053,海關進出口貿易統計,2013/03/29,14697,4521,5
6054,國有非公用土地提供綠美化資訊公開,2014/11/27,5952,1290,0
