05土地建物登記管理資料,107年度05基隆市土地建物登記管理資料,85553,購屋及遷徙: 係指各種房屋買賣、房屋遷移、移民等相關資料集,,基隆市政府地政處
100-106社造點名單,100-106社造點名單,72743,100-106社造點名單,年度;區域;單位名稱,基隆市文化局
105.02.22公寓大廈成立管理組織清冊,105.02.22基隆市公寓大廈成立管理組織清冊,58725,基隆市公寓大廈成立管理組織清冊,編號;管理組織;地址,基隆市政府都市發展處
105.08.23公寓大廈成立管理組織清冊,105.08.23基隆市公寓大廈成立管理組織清冊,58724,基隆市公寓大廈成立管理組織清冊,編號;管理組織;地址;最新一次報備日期,基隆市政府都市發展處
105空氣品質監測月報表,105空氣品質監測月報表,74858,105空氣品質監測月報表,公<br>開<br>類;;編製機關;基隆市環境保護局,基隆市環境保護局
106.05.16公寓大廈成立管理組織清冊,106.05.16基隆市公寓大廈成立管理組織清冊,58720,基隆市公寓大廈成立管理組織清冊106.05.16,編號;管理組織;地址;最新一次改選紀錄,基隆市政府都市發展處
106空氣品質監測月報表,106空氣品質監測月報表,74857,106空氣品質監測月報表,公<br>開<br>類;;編製機關;基隆市環境保護局,基隆市環境保護局
107地價稅徵績(滯納期滿),107地價稅徵績(滯納期滿),98549,資料來源 ：依表報代號LND383P編製。(單位 ： 筆；平方公尺；新臺幣元),,基隆市稅務局
107契稅稅源統計表,107契稅稅源統計表,98557,集中列示於政府資料開放平台資料集之詮釋資料，包含契稅應稅及免稅之件數、契價、稅額,契種;應稅件數;免稅件數;應稅契價;免稅契價;應稅稅額;免稅稅額;怠報金,基隆市稅務局
107房屋稅查定,107房屋稅查定,98558,資料來源：依表報代號HOU611L編製。(單位：件；平方公尺 ; 新臺幣元),項目別;類別;戶（件）數(應稅);本稅(應稅);面積(應稅);現值(應稅);戶（件）數(免稅);面積(免稅);現值(免稅),基隆市稅務局
2⽉⼟地建物登記管理資料,108年度2⽉基隆市⼟地建物登記管理資料,99763,購屋及遷徙: 係指各種房屋買賣、房屋遷移、移⺠等相關資料集,,基隆市政府地政處
2手輔具資源提供單位,二手輔具資源提供單位,94161,基隆市二手輔具中心,性質;資源彙整機關;單位名稱;辦理單位;連絡電話;傳真;電子郵件;地址;相關網站;X坐標;Y坐標;備註;最後更新時間,基隆市政府社會處
4大癌症篩檢醫療院所,基隆市四大癌症篩檢醫療院所,28983,基隆市四大癌症篩檢醫療院所,區域;機構名稱;洽詢電話;可提供之檢查項目,基隆市衛生局
97-105團隊名冊,97-105團隊名冊,60960,97-105團隊名冊,年度;類別;團體名稱,基隆市文化局
97-106傑出團隊名單,97-106傑出團隊名單,72745,97-106傑出團隊名單,,基隆市文化局
CCTV靜態資訊,CCTV靜態資訊,59458,交控系統CCTV佈設位置座標，所屬路段等資訊,,基隆市政府交通處
CMS靜態資訊,CMS靜態資訊,59459,交控系統CMS佈設位置座標等資料,,基隆市政府交通處
NCC推動本市公有建物及土地設置基地臺現狀,108年度NCC推動本市公有建物及土地設置基地臺現狀,73663,108年度NCC推動本市公有建物及土地設置基地臺現狀,,基隆市政府綜合發展處
iTaiwan無線網路熱點,基隆市iTaiwan無線網路熱點,27495,提供基隆市iTaiwan無線網路熱點位置,,基隆市政府綜合發展處
上期使用牌照稅徵績(徵期結束),基隆市105年上期使用牌照稅徵績(徵期結束),59121,資料來源：本表係根據使用牌照稅實際查定數與徵起數資料編製。單位：輛 ; 新臺幣元,種<br>類;查定輛數;查定稅額;徵起輛數;徵起稅額;徵績輛數(%);徵績稅額(%),基隆市稅務局
上期使用牌照稅徵績(徵期結束),基隆市106年上期使用牌照稅徵績(徵期結束),59125,資料來源：本表係根據使用牌照稅實際查定數與徵起數資料編製。單位：輛 ; 新臺幣元,種<br>類;查定輛數;查定稅額;徵起輛數;徵起稅額;徵績輛數(%);徵績稅額(%),基隆市稅務局
上期使用牌照稅徵績(徵期結束),基隆市107年上期使用牌照稅徵績(徵期結束),99139,資料來源：本表係根據使用牌照稅實際查定數與徵起數資料編製。,種<br>類;查定輛數;查定稅額;徵起輛數;徵起稅額;徵績輛數(%);徵績稅額(%),基隆市稅務局
上期使用牌照稅徵績(滯納期滿),基隆市105年上期使用牌照稅徵績(滯納期滿),59119,資料來源：本表係根據使用牌照稅實際查定數與徵起數資料編製。單位：輛 ; 新臺幣元,種<br>類;查定輛數;查定稅額;徵起輛數;徵起稅額;徵績輛數(%);徵績稅額(%),基隆市稅務局
