05土地建物登記管理資料,['85553']
100-106社造點名單,['72743']
105.02.22公寓大廈成立管理組織清冊,['58725']
105.08.23公寓大廈成立管理組織清冊,['58724']
105空氣品質監測月報表,['74858']
106.05.16公寓大廈成立管理組織清冊,['58720']
106空氣品質監測月報表,['74857']
107地價稅徵績(滯納期滿),['98549']
107契稅稅源統計表,['98557']
107房屋稅查定,['98558']
2⽉⼟地建物登記管理資料,['99763']
2手輔具資源提供單位,['94161']
4大癌症篩檢醫療院所,['28983']
97-105團隊名冊,['60960']
97-106傑出團隊名單,['72745']
CCTV靜態資訊,['59458']
CMS靜態資訊,['59459']
NCC推動本市公有建物及土地設置基地臺現狀,['73663']
iTaiwan無線網路熱點,['27495']
上期使用牌照稅徵績(徵期結束),"['59121', '59125', '99139']"
上期使用牌照稅徵績(滯納期滿),"['59119', '59124', '99138']"
下期使用牌照稅徵績(徵期結束),"['59122', '87536', '99141']"
下期使用牌照稅徵績(滯納期滿),"['59120', '87535', '99140']"
不動產租賃實價登錄Open Data(租賃登記案件),"['49974', '53055', '54340', '57255', '62711', '72341', '75115', '77057', '77802', '78979', '80887', '85551', '87457', '89662', '90959', '92403', '94706', '95846', '97535', '99240', '100130', '101184', '102386', '103744', '104944', '106729', '108005', '109478', '111966', '113347', '114825', '117507', '119742', '120432', '122732', '127593', '128619', '129154']"
不動產買賣實價登錄Open Data(買賣登記案件),"['49803', '52731', '54554', '57556', '62864', '73625', '75238', '77029', '78203', '92490', '92492', '92493', '92498', '92499', '92500', '94710', '94748', '96264', '97878', '100173', '100174', '102271', '102276', '103496', '106205', '106986', '108107', '110377', '111847', '114740', '114743', '119552', '119554', '126304', '126306', '128662', '128663']"
中低老人及弱勢假牙醫療診所,['59476']
交通接送服務,['110297']
企業工會名冊,['54970']
休閒農場OPENDATA,['74152']
低收入戶各項補助項目,['110074']
使用牌照稅稅源統計表,"['59116', '59118', '99143']"
使用牌照稅稽徵,"['59117', '59123', '59126', '99142']"
保母托育制度管理委員會,['110312']
信用合作社本、分支機構數,['74861']
優良公寓大廈評選得獎名單,['75331']
優良衛生店家,['14864']
兒童及少年安置教養機構,['45749']
兒童及少年收出養媒合服務單位,['94163']
兒童及少年福利服務中心,['45720']
兒童及少年福利權益促進委員會,['110310']
兒童發展篩檢機構,['28988']
公共哺集乳室,['59556']
公共圖書館(含ibookstop)開放時間一覽表,['72758']
公共藝術專戶納入及辦理程序須知,['73171']
公告之室外禁菸場所,"['15293', '91677']"
公告土地現值,['42338']
公告土地現值及公告地價,"['36947', '74093', '114744']"
公告土地現值資料檔,['98161']
公告違反勞動基準法事業單位,"['64879', '101581']"
公寓大廈成立管理組織清冊,['75187']
公彩盈餘補助民間團體補助統計表,"['101705', '101706', '101707', '101708', '101709', '101710', '101711', '101712', '101713', '101714', '101715', '101716', '101750']"
公有市場空攤表,"['74919', '74920', '74921', '74923', '74924']"
公有路外停車場基本資料,['45757']
公有零售市場及攤販集中場空攤一覽表,['74926']
公益彩券回饋金審查結果-衛生福利部-公有營造物補助,['63274']
公益彩券回饋金審查結果-衛生福利部保護服務司,"['63273', '64228']"
公益彩券回饋金審查結果-衛生福利部心理及口腔健康司,"['63275', '64230']"
公益彩券回饋金審查結果-衛生福利部社會及家庭署,"['63290', '64229']"
公益彩券回饋金審查結果-衛生福利部社會救助及社工司,"['63272', '64227']"
公私協力及私立托嬰中心,['108775']
公私協力托育資源中心,['110047']
公費克流感配置點,['38824']
公車站牌與路線資訊,"['72295', '72296', '72297', '72298', '72299', '72300', '72301', '72302', '72303', '72304', '72305', '72306', '72307', '72308', '72309', '72310', '72311', '72312', '72313', '72314', '72315', '72316']"
創意徵文得獎名冊,['75346']
創意徵文得獎性別統計,['75352']
印花稅徵收,"['59196', '59197', '59198', '87537', '98539']"
原住民人口按性別及年齡,['59130']
原住民人口按性別及族別,['59131']
受理民眾申請舉辦都市更新法令宣導說明會,['72538']
古物清冊,['73169']
古蹟清冊,['73170']
各公有市場、集中場聯絡電話,['49569']
各時段火災發生次數統計表,['55071']
各目的事業主管機關承辦志願服務業務人員通訊資料,['63220']
各總工會名冊,['101503']
各行政區 裝設數位機上盒普及率,['123262']
各里戶數及人口數,['59132']
各項稅捐實徵淨額與預算數及上年同期比較,"['54326', '59080', '59081', '59082', '59083', '59084', '59085', '59086', '59087', '59088', '59089', '59090', '59091', '59092', '59093', '59094', '87499', '87500', '87501', '87502', '87503', '87504', '87505', '87506', '87507', '87508', '87509', '87510', '87511', '87512', '87513', '87516', '87652', '87653', '98562', '98563', '98564', '98565', '98566', '98567', '98568', '98569', '98570', '98571', '98572', '98573', '98574', '98575', '98576', '98577', '98578', '98579', '112604', '112605', '112606', '112607', '112608', '112609', '112610', '112611', '112612', '112613', '112614', '112615', '112616', '112617', '112618', '112619', '112620', '112621']"
各項預防接種衛生所及合約醫療院所名冊,['46447']
合法設立私立就業服務機構,"['92290', '101767']"
合約流感診所,['55011']
哺集乳室資料庫,['28995']
喘息服務提供單位,['59553']
單親家庭服務提供單位,['59475']
固定污染源空氣污染物監測數據-即時,['29021']
固定污染源空氣污染物監測數據-日報,['28994']
國家賠償統計表,"['61356', '61360', '122812', '122813', '122814', '122815']"
國賠統計表,"['72418', '72419', '72420', '72421', '72422', '72423', '72424', '72425', '72426', '72427', '72428', '72429', '72430', '72431', '72432', '72433', '72434', '122811']"
圖書館業務統計,['73325']
圖書館相關業務統計,['72535']
土地增值稅徵收月報表,"['59202', '59203', '59204', '87538', '98540']"
土地增值稅稅源統計表,"['59205', '59206', '87539', '116220', '116221']"
土地建物登記管理資料,"['49979', '49980', '49981', '53080', '57258', '62713', '72342', '75124', '75949', '77718', '78894', '80886', '87458', '89314', '91039', '92405', '94711', '96237', '97347', '98759', '100811', '101751', '103280', '104996', '106728', '107783', '109153', '111183', '113352', '114593', '117334', '118922', '120239', '122141', '127238', '128293', '129061', '130102']"
土石流警戒值,['49565']
地價稅查定,"['59227', '59228', '87543', '98556']"
地價稅稅源統計表,"['87656', '98550']"
地價稅稽徵(徵期結束),"['59229', '87544', '98551']"
地價稅稽徵(滯納期滿),"['59230', '87655']"
地段率等級表,['49303']
基隆伴手禮,['11093']
基隆旅遊網,['45756']
外籍漁工仲介,['74161']
多元化繳稅統計表,"['44665', '87654', '98536']"
大型機構受衛生福利部老人福利機構評鑑成績,['55004']
大誌雜誌販售點,['94174']
大陸籍漁工仲介名單,['74160']
失智症服務及資源提供單位,['94162']
失能老人接受長期照顧服務輔具購買及居家無障礙環環境改善補助項目表,['55245']
契稅徵收,"['59225', '59226', '87542']"
契稅查定,"['98552', '98553', '98554', '98555']"
契稅查定Q1,['112593']
契稅查定Q2,['112594']
契稅查定Q3,['112595']
契稅稅源統計表,['112588']
娛樂漁業島礁磯釣證申請縣市別,['78054']
娛樂稅稅源月報表,"['59190', '59191', '59192']"
娛樂稅稅源統計表,"['116224', '116225', '116226']"
婦女權益促進委員會,['110307']
婦女相關團體,['110078']
婦女福利服務中心,['58842']
嬰幼兒公費常規疫苗接種單位,['46448']
學前教育,['31251']
學校廚餘回收數據,['62431']
家事服務中心,['45728']
家庭/社會福利服務中心,['45726']
家庭暴力及性侵害防治中心,['45729']
實(食)物銀行,['59559']
就業服務據點,['59557']
居家復健提供單位,['110040']
居家托育服務單位,['94144']
居家護理機構,['59554']
展覽室及文化館舍開放時間表,['60963']
已登記公私有土地登記管理,['114719']
已登記公私有土地登記管理 Open Data(案件登記),"['49983', '75947', '98122']"
廉政會報設置要點,['79257']
廠商遠端連線申請,"['60967', '65342']"
建檔管理公廁,['45672']
建築法相關法令講習會議資料,['72536']
建築物公共安全檢查不合格場所,['58727']
影響消防車輛通行之狹小巷道劃設禁止臨時停車線清冊,['55000']
復康巴士服務單位,['59550']
心理健康服務資源,['59565']
志願服務推廣中心/志願服務協會,['110075']
志願服務榮譽卡特約商店,['63217']
急難救助提供單位,['94155']
愛心實物銀行物資捐贈名冊,"['101747', '101748', '103494']"
愛心待用店,['110302']
愛心食物銀行物資捐贈名冊,"['101745', '101746']"
應回收廢棄物回收處理業名單,['45745']
戒毒機構,['59564']
截至止企業工會團體名冊,['101512']
截至止職業工會團體名冊,['101510']
房屋標準單價表,['49302']
房屋稅徵績(徵期結束),"['98561', '112590']"
房屋稅徵績(滯納期滿),"['98559', '112589']"
房屋稅查定,"['59212', '59213', '59214', '112591']"
房屋稅稽徵(徵期結束),"['59215', '59216', '59217']"
房屋稅稽徵(滯納期滿),"['59218', '59219', '59220']"
房屋稅籍,"['59221', '59222', '59223', '98560', '112592']"
採樣監測顧問公司會同一覽表,['75431']
採購稽核小組設置要點,['79255']
新住民家庭服務中心,['59555']
新移民相關團體,['110076']
旅館商業同業公會會員名冊,['14869']
日間照顧中心,['59542']
早期療育服務個案管理中心,['59543']
早期療育服務提供單位,['94167']
早期療育服務通報轉介中心,['59467']
暨所屬機關學校員工廉政倫理規範,['79259']
最新公共債務訊息,['23201']
最近土地增值稅稅源統計表,['44663']
最近地價稅稅源統計表,['10340']
最近契稅綜合統計表,['10344']
最近房屋稅綜合統計表,['87558']
村里辦公室,['110037']
柴油車排煙檢測(展延申請書),['48126']
機車業務相關資訊,['48143']
歷史建築清冊,['73173']
歷年村里鄰戶數暨現住人口數,['59053']
母嬰親善醫療院所,['28987']
河川品質監測數據,"['62440', '62444']"
流感合約院所,['31862']
流感抗病毒藥劑合約院所,['45581']
流感疫苗合約院所,"['55758', '95755']"
消防安全檢查重大不合格,['59455']
消防局,['86652']
消防局各單位通訊錄,['45624']
消防局救護服務統計表,['61273']
消防局為民服務統計表,['58974']
