資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
臺北市-營業衛生自主管理分級評核-美容美髮業,61569,臺北市營業場所衛生優良自主管理分級認證評核結果,業別;業者名稱;營業所在地,臺北市政府衛生局
妨害兵役案件統計表,61822,臺北市妨害兵役案件統計,結果;總計;常備役男或替代役男妨害徵集_合計;常備役男或替代役男妨害徵集_申報不實者;常備役男或替代役男妨害徵集_無故不依規定辦理者;常備役男或替代役男妨害徵集_無故不到者;常備役男或替代役男妨害徵集_無故不申報者;常備役男或替代役男妨害徵集_未能接受徵兵處理者;常備役男或替代役男妨害徵集_未能接受現役徵集者;常備役男或替代役男妨害徵集_捏造免役者;常備役男或替代役男妨害徵集_無故拒收徵集令者;常備役男或替代役男妨害徵集_逾入營期限五日者;常備役男或替代役男妨害徵集_其他;役政人員妨害兵役_合計;役政人員妨害兵役_未規定辦理徵兵處理者;役政人員妨害兵役_不實之記載者;役政人員妨害兵役_詐欺財物者;役政人員妨害兵役_要求期約或受賄者;役政人員妨害兵役_其他;其他人員妨害兵役_合計;其他人員妨害兵役_未依規定傳達或通報者;其他人員妨害兵役_反抗兵役推行者;其他人員妨害兵役_意圖妨害兵役者;其他人員妨害兵役_其他,臺北市政府兵役局
年度施政計畫由府列管計畫期末查證報告表,61957,呈現施政計畫期末查證,計畫編號;計畫名稱;主辦機關;查證日期;地點;照片,臺北市政府研究發展考核委員會
臺北市地區農會信用部地址一覽表,62006,臺北市地區農會信用部地址一覽表。,名稱;地址,臺北市政府產業發展局
臺北市立動物園_服務設施,121127,本資料集提供臺北市立動物園園區之服務設施，包含諮詢售票、醫護急救、交通服務、設施服務和餐飲服務等五大類服務設施簡介及位置座標，提供各種貼心的遊園服務。(本資料集開放授權應用內容僅限文字範圍，圖片、聲音及影片等多媒體資訊不在開放授權範圍),S_Category;S_Item;S_Title;S_Summary;S_Memo;S_Brief;S_Meal;S_Shop;S_Keywords;S_Location;S_Geo;S_Web_URL;S_Pic01_ALT;S_Pic01_URL;S_Pic02_ALT;S_Pic02_URL;S_Pic03_ALT;S_Pic03_URL;S_Pic04_ALT;S_Pic04_URL;S_Pic05_ALT;S_Pic05_URL;S_Page,臺北市立動物園
臺北市機車優先道,121129,機車優先道資料,路名;方向,臺北市交通管制工程處
臺北市河濱公園,121130,臺北市28座河濱公園位置及主題特色等相關介紹，提供CSV及Shape檔兩種檔案格式，採WGS84座標系統呈現,,臺北市政府工務局水利工程處
臺北市各區里疏散避難圖資訊(中山區),121131,提供臺北市各區里疏散避難圖資訊,District;Village;FILE_URL,臺北市中山區公所
翡翠水庫水質資料,121132,每月總磷、葉綠素a、透明度、藻類數、卡爾森優養指數、水庫水質優養指標監測數據,時間;總磷;葉綠素a;透明度;藻類數;卡爾森優養指數;水庫水質優養指標,臺北翡翠水庫管理局
臺北市水利處抽水站,121133,市轄抽水站位置及名稱採用座標系統TWD97-TM2(zone121)座標 提供SHP及WGS84座標提供KML兩種檔案格式,PUMP_ID;站名;河系;行政區域;建置年度;管理單位別,臺北市政府工務局水利工程處
臺北市中山、內湖區已登記公私有土地筆數面積統計表,121134,提供臺北市「中山、內湖區已登記公私有土地筆數面積」統計資料。,區域別;土地總面積;已登記公私有土地面積;已登記公有土地面積;已登記私有土地面積;已登記公私共有土地面積;未登記土地總面積;土地總筆數;已登記公私有土地筆數;已登記公有土地筆數;已登記私有土地筆數;已登記公私共有土地筆數;未登記土地筆數,臺北市中山地政事務所
臺北市宗教建築3D模型庫,121136,採用3D建模方式記錄宗教寺廟資料，供做文化保存，並整合地理資訊系統，呈現宗教寺廟整體資訊。,Name;分棟;連結<br>,臺北市政府民政局
臺北市實施集中支付近5年庫款支付金額,121137,臺北市實施集中支付各類費款支用情形,年度;年度預算支付數_單位：新臺幣元;應付歲出款支付數_單位：新臺幣元;特別預算含保留數支付數_單位：新臺幣元;應收墊付款_單位：新臺幣元;特種基金支付數_單位：新臺幣元;保管款支付數_單位：新臺幣元;合計_單位：新臺幣元,臺北市政府財政局
