10609-滯納案件移送執行情形,"['121801', '121802']"
10609-電影票售票概況,['121803']
10610-電影票售票概況,['121804']
10611-稅捐稽徵處滯納案件移送執行情形,"['121843', '121844']"
10611-稅捐稽徵處電影售票概況,['121845']
106全功能服務櫃臺統計表,['121679']
107全功能服務櫃臺統計表,['121678']
10804土地增值稅徵收,['121814']
109各類防災任務學校一覽表,['121169']
10大多事故路口,['121152']
1999每月電話處理總數,['122001']
1999派工資料,['121414']
3高篩檢,['121515']
4癌篩檢醫療院所,['128305']
4癌篩檢醫療院所(含中醫診所及藥局),['128331']
921、331地震列管建築物,['128208']
AED自動體外心臟去顫器,['121662']
CCTV設施,['121253']
Maps.Taipei圖磚(WMTS)服務介接網址,['127496']
URS都市再生前進基地資料清冊,['128512']
YouBike公共自行車即時資訊,['128706']
i-Voting民眾提案總量,['122000']
pay.taipei支援無卡進出停車場清單,['129332']
一般地區環境音量監測不合格情形,['121938']
丙型干擾素血液測驗(IGRA)合作醫療院所名單,['121497']
中小企業融資貸款,['121536']
中小學校學區,['121151']
主要觀光景點遊客數統計,['128333']
乙、丙級清除機構基本資料,['121166']
事業廢棄物再利用者登記資料,['122057']
交通事故資料,['130110']
交通即時資料開放資料專區(TEST),['128937']
交通流量及特性調查資料,['128230']
交通管制工程處無障礙設施設置資料,['121423']
人民團體名冊,['121714']
人行道範圍圖及人行道固定設施物,['122006']
人行陸橋資訊,['128907']
今日使用道路集會路段,['128007']
今日即時施工影像,['128066']
今日施工資訊,['128295']
今日臨時使用道路路段,['128771']
企業營運總部分布圖,['121150']
休閒農場基本資料,['121384']
低收、中低收入戶服務-平價住宅,['121329']
住宅價格季指數,['121969']
住宅價格月指數,['121381']
住宅竊盜點位資訊,['130312']
使用執照摘要,['128199']
使用牌照稅稅源統計表,['121689']
使用牌照稅稽徵,"['121784', '121785', '121786', '121787', '121788', '121789', '121790', '121791', '121994', '121995', '121996', '121997']"
來各項稅捐實徵淨額增減比較,"['121733', '121739', '121745', '121751', '121757', '121763', '121769', '121775', '121781', '121808', '121838', '121880']"
來臺旅客在之消費及動向調查,['121386']
依促進民間參與公共建設法辦理之已簽約案件明細表-截至,['128409']
假牙補助醫療院所名單,['129840']
停水資訊,['128236']
停車供需分析資料,['128608']
停車場資訊,['128435']
健康服務中心,['121146']
健康服務中心公共護士人數,['128924']
傳統市(商)場,['121593']
傳統市場休市日資訊,['128247']
免建築線指示地區公告,['127183']
免費無線上網熱點資料(新版),['121222']
兒童及少年生活狀況調查原始資料,['121795']
兒童新樂園園區資訊,['128427']
兒童與少年服務 兒童福利服務中心,['121306']
兒童與少年服務(少年福利服務中心),['128504']
兒童與少年服務-家庭寄養,['121308']
兒童與少年服務-少年服務中心,['121307']
兒童與少年服務-收出養服務機構,['121312']
兒童與少年服務-私立兒童及少年安置教養機構,['121311']
兒童與少年服務-青少年就業諮詢輔導單位,['121310']
兒童與少年服務-青少年福利相關機構,['121309']
兒童預防保健服務醫療院所,['121902']
全功能服務櫃臺統計表,"['121680', '121818', '121819', '121820', '121821']"
八里污水處理廠水質水量速報,['128383']
公共場所飲水機資訊,['130230']
公務人員專書閱讀心得寫作競賽團體獎活動成果統計表,['128223']
公務人員訓練處實體班期訓練概況,['121454']
公務出國報告,['121865']
公司登記報表,['121666']
公告徵收清冊,['121509']
公告最新公共債務情形,['121231']
公告標售土地清冊,['128317']
公告禁菸場所,['121655']
公告自起公共債務訊息,['121663']
公園基本資料,['128366']
公害陳情案件受理統計月報表,['121448']
公廁點位資訊,['128235']
公所無障礙設施設置資料,['121422']
公有(非市有)空地清查成果清冊,['121708']
公有土地完成無償撥用清冊,['121697']
公有土地資料,['128228']
公有路外停車場無障礙設施設置情形,['121434']
公有零售市場休市日程表,['121921']
公有零售市場行情,['121709']
公用天然氣導管承裝業業者,['121292']
公私立游泳池及救生員位置及相關資訊,['121677']
公私立醫療院所,['121182']
公立幼兒園通訊資料,['121144']
公立骨灰(骸)存放設施位址,['121189']
公費流感抗病毒藥劑合約院所,['121173']
公車到站預計時間(Json),['127249']
