資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
新竹縣西醫診所名冊,42432,新竹縣西醫診所名冊,編號;門診科別;機構名稱;鄉鎮市;地址;電話;備註與網址,新竹縣政府衛生局
新竹縣產後護理之家名冊,42433,新竹縣產後護理之家名冊,編號;機構名稱;鄉鎮;地址;電話;產後護理床數;嬰兒床數,新竹縣政府衛生局
新竹縣醫療及醫事機構,42434,醫療及醫事機構名單,項目;類別;機構名稱;鄉鎮;地址;電話;網址,新竹縣政府衛生局
新竹縣工廠產業類別及行政區域家數,42435,依產業類別及行政區域提供新竹縣生產中工廠家數,區別;總數-家;食品製造業;飲料製造業;菸草製造業;紡織業;成衣及服飾品製造業;皮革及毛皮及其製品製造業;木竹製品製造業;紙漿及紙及紙製品製造業;印刷及資料儲存媒體複製業;石油及煤製品製造業;化學材料製造業;化學製品製造業;藥品製造業;橡膠製品製造業;塑膠製品製造業;非金屬礦物製品製造業;基本金屬製造業;金屬製品製造業;電子零組件製造業;電腦及電子產品及光學製品製造業;力設備製造業;機械設備製造業;汽車及其零件製造業;其他運輸工具製造業;家具製造業;其他製造業;無法歸類之產業類別,產業發展處
新竹縣十大主要死亡原因(民國103年),42436,提供民國103年新竹縣十大主要死亡原因,順位;全部死亡原因;全部死亡率-每十萬人口;男性死亡原因;男性死亡率-每十萬男性人口;女性死亡原因;女性死亡率-每十萬女性人口,新竹縣政府衛生局
新竹縣政府最新債務訊息專區-新竹縣最新債務訊息,42437,截至109年8月底止，本府公共債務情形如下： (一)1年以上債務未償餘額為122.3億元。 (二)短期債務未償餘額為40億元。 (三)平均每人負擔債務2.9萬元。 (四)自償性債務未償餘額（含非營業特種基金）為21.62億元。,項目;一年以上債務未償餘額-新臺幣元;短期債務未償餘額-新臺幣元;平均每人負擔債務-新臺幣元;自償性債務未償餘額-含非營業特種基金-新臺幣元,財政處
日據時期中華民國年號對照表,42438,日據時期中華民國年號對照表,清;民國;日本年號;西元;歲次,地政處
新竹縣地政服務機關,42439,新竹縣地政服務機關,單位;住址;電話,地政處
新竹縣立案短期補習班,42445,新竹縣立案短期補習班,補習班中文名稱;補習班中文住址,教育處
新竹縣未立案短期補習班名冊,42446,新竹縣未立案短期補習班名冊,編號;未立案補習班班名;班址,教育處
新竹縣財產量值表,42447,105年度新竹縣財產量值表{縣有財產之筆數、面積、金額係依本府各機關(單位)提供之年度報表數據統計},分類項目數量;筆-棟數;面積-公頃;金額-元,財政處
新竹縣歲出決算數-按政事別分,42448,歲出決算－按政事別分,年度;歲出決算數;政權行使支出106年以前為立法支出;行政支出;民政支出;財務支出;教育支出;科學支出;文化支出;農業支出;工業支出;交通支出;其他經濟服務支出;社會保險支出;社會救助支出;福利服務支出;國民就業支出;醫療保健支出;社區發展支出;環境保護支出;退休撫卹給付支出;警政支出;債務付息支出;還本付息事務支出;專案補助支出;其他支出,主計處
新竹縣列管珍貴老樹資料,42452,新竹縣列管珍貴老樹資料,編號;樹種;樹齡-年;樹高-m;胸圍-m;胸徑-m;冠幅-m2;生長地點;土地權屬;座標X;座標Y,農業處
新竹縣104年度6月份縣統籌分配稅款累計表,42454,104年度6月份縣統籌分配稅款累計表,科目與金額;本月納庫數元;截至本月止累計納庫數元,財政處
新竹縣休閒農場,42456,新竹縣休閒農場,編號;農場名稱;農場地址;聯絡電話,農業處
新竹縣寵物登記站,42457,新竹縣寵物登記站,新竹縣寵物登記站;住址;電話,新竹縣家畜疾病防治所
新竹縣104年度7月份縣統籌分配稅款累計表,42458,104年度7月份縣統籌分配稅款累計表,科目與金額;本月納庫數元;截至本月止累計納庫數元,財政處
新竹縣104年度8月份縣統籌分配稅款累計表,42459,104年度8月份縣統籌分配稅款累計表,科目與金額;本月納庫數元;截至本月止累計納庫數元,財政處
新竹縣104年度9月份縣統籌分配稅款累計表,42460,104年度9月份縣統籌分配稅款累計表,科目與金額;本月納庫數元;截至本月止累計納庫數元,財政處
新竹縣政府消防局執行水域救援案件統計,42461,新竹縣政府消防局執行水域救援案件統計,日期;種類;案件數,新竹縣政府消防局
新竹縣104年度10月份縣統籌分配稅款累計表,42462,104年度10月份縣統籌分配稅款累計表,科目與金額;本月納庫數元;截至本月止累計納庫數元,財政處
新竹縣104年度11月份縣統籌分配稅款累計表,42463,104年度11月份縣統籌分配稅款累計表,科目與金額;本月納庫數元;截至本月止累計納庫數元,財政處
新竹縣104年度12月份縣統籌分配稅款累計表,42465,104年度12月份縣統籌分配稅款累計表,科目與金額;本月納庫數元;截至本月止累計納庫數元,財政處
新竹縣105年度1月份縣統籌分配稅款累計表,42466,105年度1月份縣統籌分配稅款累計表,科目與金額;本月納庫數元;截至本月止累計納庫數元,財政處
104年新竹縣政府公務人員參訓人數,42468,104年新竹縣政府公務人員參訓人數,序號;日期;時間;課程名稱;參加人數,人事處
新竹縣105年度2月份縣統籌分配稅款累計表,42469,105年度2月份縣統籌分配稅款累計表,科目與金額;本月納庫數元;截至本月止累計納庫數元,財政處
104年新竹縣政府公務人員考試新進人員人數,42470,104年新竹縣政府公務人員考試新進人員人數,考試種類及等別;年度104新竹縣政府公務人員考試新進人員人數,人事處
新竹縣105年度6月份縣統籌分配稅款累計表,42475,105年度6月份縣統籌分配稅款累計表,科目與金額;本月納庫數元;截至本月止累計納庫數元,財政處
新竹縣105年度7月份縣統籌分配稅款累計表,42476,105年度7月份縣統籌分配稅款累計表,科目與金額;本月納庫數元;截至本月止累計納庫數元,財政處
新竹縣105年度8月份縣統籌分配稅款累計表,42479,105年度8月份縣統籌分配稅款累計表,科目與金額;本月納庫數元;截至本月止累計納庫數元,財政處
新竹縣105年度9月份縣統籌分配稅款累計表,42480,105年度9月份縣統籌分配稅款累計表,科目與金額;本月納庫數元;截至本月止累計納庫數元,財政處
新竹縣105年11月份縣統籌分配稅款累計表,42767,105年11月份縣統籌分配稅款累計表,科目與金額;本月納庫數元;截至本月止累計納庫數元,財政處
新竹縣105年12月份縣統籌分配稅款累計表,42773,105年12月份縣統籌分配稅款累計表,科目與金額;本月納庫數元;截至本月止累計納庫數元,財政處
新竹縣106年1月份縣統籌分配稅款累計表,43560,106年1月份縣統籌分配稅款累計表,科目與金額;本月納庫數元;截至本月止累計納庫數元,財政處
新竹縣106年2月份縣統籌分配稅款累計表,44615,106年2月份縣統籌分配稅款累計表,科目與金額;本月納庫數元;截至本月止累計納庫數元,財政處
新竹縣106年3月份縣統籌分配稅款累計表,44960,106年3月份縣統籌分配稅款累計表,科目與金額;本月納庫數元;截至本月止累計納庫數元,財政處
新竹縣最近5年房屋稅綜合統計表,45058,新竹縣最近5年房屋稅綜合統計表,年度;戶數合計;戶數應稅;戶數免稅;面積應稅;面積免稅;現值應稅;現值免稅;稅額合計;稅額本稅,新竹縣政府稅務局
新竹縣政府稅捐稽徵局編制內職員性別統計表(截至107.06.30),45296,新竹縣政府稅捐稽徵局編制內職員性別統計表(截至107.06.30),女;男,新竹縣政府稅務局
新竹縣政府稅捐稽徵局委員會性別比例一覽表(107年6月),45298,新竹縣政府稅捐稽徵局委員會性別比例一覽表(107年6月),委員會名稱;委員總人數;男性;女性,新竹縣政府稅務局
