1999為民服務專線派工資料,['109276']
2代戒菸服務醫療院所名冊,['112000']
2手輔具資源提供單位,['111988']
3高成果統計表,['109288']
5峰鄉公告土地現值及公告地價,['113992']
5峰鄉公告土地現值及及公告地價,['109247']
68-107使用執照資料,['109304']
70歲以上老人健康檢查據點,['111994']
70歲以上老人健檢辦理醫院名冊,['109329']
AED安心場所,['130248']
「登革熱NS1抗原快速診斷試劑」醫療院所配置點名單,['109379']
中低收入老人補助裝置假牙特約醫療院所,['109330']
中醫診所名冊,['127740']
交通接送服務,['111907']
人民團體名冊,['109320']
休閒農場,['42456']
伴手禮,['109332']
住宿資料,['109351']
使用牌照稅稅額表1 (小客車、大客車、貨車、機車),['72500']
使用牌照稅稅額表2 (完全以電能為動力之小客車),['99291']
使用牌照稅稅額表3 (完全以電能為動力之大客車及貨車),['99292']
使用牌照稅稅額表4 (完全以電能為動力之機車),['99293']
候車亭資訊,['109352']
優良餐廳名冊,['120192']
免費孕婦乙型鏈球菌檢查醫療院所名單,['112001']
免費新生兒聽力篩選醫療院所名單,['112005']
免費法律諮詢服務資訊,['109366']
免費無線上網熱點資料,['109274']
兒童及少年安置教養機構,['111863']
兒童及少年福利服務中心,['111865']
兒童發展聯合評估中心,['130284']
兒童衛教指導服務特約院所名單,['112004']
公共哺集乳室,['111969']
公務人員參訓人數,"['42468', '109392', '109393', '109394', '114545']"
公務人員考試新進人員人數,"['42470', '109395', '109396', '109397', '114512']"
公務出國報告,['109275']
公廁資訊,['109294']
公私協力托育資源中心,['109327']
公私立幼兒園名錄,['109376']
公私立骨灰(骸)存放設施【納骨塔】清冊,['109250']
公費流感抗病毒藥劑合約醫療機構名冊,['71536']
列管珍貴老樹資料,['42452']
到宅沐浴車名冊,['111997']
加油站清冊,['109375']
動物用藥品販賣業許可證登記名冊,['109263']
北埔鄉公告土地現值及公告地價,['113993']
北埔鄉公告土地現值及及公告地價,['109248']
十大主要死亡原因,"['42436', '71539', '71540', '101858', '127599', '127600']"
印花稅徵收季報,"['74293', '99375', '109365', '112960', '112970', '118475', '122033', '129043']"
印花稅稅式支出,"['129012', '129013']"
危險水域,['80779']
原住民族家庭服務中心,['112014']
原住民鄉鎮辦理調解業務概況,"['46531', '94890', '94891', '94892', '119699', '119701', '122482']"
友善餐廳,['111912']
受理國家賠償件數及處理結果,"['109213', '119239', '129328']"
古蹟、歷史建築清冊,['109310']
各鄉鎮市國民中學學區,['109362']
各鄉鎮市國民小學學區,['109378']
各鄉鎮市村里鄰戶數、人口數與戶籍動態登記數,['109368']
各鄉鎮市現住人口數,['109369']
各鄉鎮市現住原住民人口數,['109370']
各鄉鎮市結婚人數,['109371']
各鄉鎮市離婚人數,['109372']
各醫院病床數清冊,['109283']
各項稅捐實徵淨額與預算數及上年同期比較-累計數,"['109390', '129044']"
合格燃氣熱水器承裝業及技術士名冊,['109264']
合法旅館,['87344']
合法民宿清單,['87345']
合法溫泉,['87346']
商圈通訊錄,['109331']
商業登記情形(歇業),['109360']
商業登記情形(設立),['109358']
商業登記情形(變更),['109359']
喘息服務提供單位,['111911']
單親家庭服務提供單位,['111910']
回收業名冊,['109295']
固定污染源空氣污染物連續自動監測設施(CEMS)監測數據資料_15分鐘即時監測數據,['109293']
固定污染源空氣污染物連續自動監測設施(CEMS)監測數據資料_6分鐘即時監測數據,['128466']
