資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
新竹市iHsinchu免費無線上網熱點流量統計一覽表,67472,iHsinchu熱點流量統計一覽表,年/月;熱點名稱;使用人次;使用人數;總分鐘數;總流量-MB年月;總流量_MB,行政處
新竹市統計年報-營業基金及非營業特種基金盈虧（餘絀）,67476,營業基金及非營業特種基金盈虧（餘絀）,年度別;基金項目名稱;預算數 ;決算數,新竹市政府
新竹市統計年報-歲出預算-按政事別,67477,歲出預算-按政事別,"年度別,項目,總計,政權行使支出,行政支出,民政支出,財務支出,教育支出,科學支出,文化支出,農業支出,工業支出,其他經濟服務支出,社會保險支出,社會救助支出,褔利服務支出E,國民就業支出,醫療保健支出,社區發展支出,環境保護支出,退休撫卹給付支出,警政支出,債務付息支出,還本付息事務支出,專案補助支出,第二預備金,其他支出",主計處
新竹市統計年報-歲入決算-按來源別,67478,歲入決算-按來源別,年度別;總計;稅課收入;罰款及賠償收入;規費收入;財產收入;營業盈餘及事業收入;補助及協助收入;捐獻及贈與收入;其他收入,新竹市政府
新竹市統計年報-歲出決算-按政事別,67479,歲出決算-按政事別,年度別;總計;政權行使支出;行政支出;民政支出;財務支出;教育支出;科學支出;文化支出;農業支出;工業支出;交通支出;其他經濟服務支出;社會保險支出;社會救助支出;褔利服務支出;國民就業支出;醫療保健支出;社區發展支出;環境保護支出;退休撫卹給付支出;警政支出;債務付息支出;還本付息事務支出;專案補助支出;其他支出,新竹市政府
新竹市統計年報-歲入預算-按來源別,67480,歲入預算-按來源別,年度別;項目;總計;稅課收入;工程受益費收入;罰款及賠償收入;規費收入;財產收入;營業盈餘及事業收入;補助及協助收入;捐獻及贈與收入;其他收入,新竹市政府
新竹市統計年報-平均每戶家庭收支,67482,行政院主計總處-家庭收支調查報告,新竹市平均每戶所得收入;消費支出;非消費支出與可支配所得等項目,新竹市政府
新竹市統計年報-歷年財政狀況,67483,新竹市歷年財政狀況(決算審定數),融資調度需求;歲入歲出差短;債務還本;融資調度財源;賒借收入;移用以前年度歲計賸餘;自有財源比率;賦稅依存度;補助及協助依存度;債務未償餘額;債務未償餘額占歲出比例,新竹市政府
新竹市政府暨所屬政風機構人員數,67484,新竹市政府政風處暨所屬政風機構人員統計,政風機構數;編制員額數;現有員額總數;現有員額未在勤數;現有員額在勤數;缺額總數;缺額可派補數;缺額無法派補數,政風處
新竹市政府廉政倫理事件統計,67485,新竹市政府廉政倫理事件統計,年度;受贈財物;飲宴應酬;請託關說,政風處
