(中)低收入戶傷病醫療補助,['94739']
1999服務專線來電總數統計表,['67514']
1999服務專線熱門問答點閱數統計表,['67515']
24小時母乳諮詢專線,['67666']
AED心臟電擊器設置地點,['67622']
CMS設置地點,['96564']
iHsinchu免費無線上網熱點流量統計一覽表,['67472']
一般地區環境音量監測,['89830']
不動產實價登錄資訊-租賃案件,['67503']
不動產實價登錄資訊-買賣案件,['92433']
不動產實價登錄資訊-預售屋案件,['67504']
不動產經紀業清冊,['67714']
中低收入老人參加全民健康保險無力負擔醫療費用補助,['96298']
中低收入老人生活津貼,['99359']
中低收入老人補助裝置假牙,['92439']
中低收入老人重病住院看護補助,['99367']
中央管轄河川資料,['67719']
中小企業及個人便利貸款,['92409']
中度級以上急救責任醫院,['67665']
中醫診所名冊,['67655']
主要道路喬木植栽,['67763']
乳房攝影合約醫院,['67664']
交通流量參考值,['96655']
交通處車輛偵測器設置地點,['96562']
交通違規取締統計,['92429']
人口統計表,['67531']
人工魚礁禁漁區經緯度,['67546']
人行道管理,['86540']
代收稅款金融機構服務據點,['67676']
低收住院看護補助,['99364']
低收入戶各項補助,['109908']
低收入戶補助情形,['89282']
低收喪葬費補助,['99363']
低收產婦及嬰幼兒營養補助,['89162']
住宅修繕補助,['99365']
使用牌照稅分類稅額表,['67684']
依法設置哺集乳室名單,['67627']
保全公司業者名冊,['67675']
傳統藝術一覽表,['67581']
免費公車預估到站時刻表,['67769']
免費法律諮詢服務,['110321']
免費無線上網熱點地點資訊,['67516']
兒少安置教養機構營運概況,['67747']
兒少安置教養機構設施名冊,['67746']
兒童發展早期療育個案管理服務,['99369']
兒童發展早期療育資源轉介服務,['129127']
公共圖書館圖書借閱量統計,['130199']
公共自行車租賃系統(YouBike),['67781']
公共自行車租賃系統(YouBike)使用資料,['67784']
公共設施保留地容積移轉執行成果,['87034']
公共設施用地計畫面積,['92445']
公告現值及公告地價清單,['67505']
公園管理維護地點,['67762']
公園綠地可出借公告場所,['92441']
公園綠地認養資料,['99373']
公寓大廈管理組織報備清冊,['87886']
公廁地點資訊,['67757']
公有停車場相關資訊,['67771']
公有道路路燈資料,['67726']
公用天然氣導管承裝商,['96724']
公益勸募活動許可案件,['89278']
公益彩券盈餘分配情形,['129134']
公立殯葬設施資訊,['67691']
公立納骨堂清冊,['67525']
公車站牌資訊,['67779']
列管視聽歌唱業等8種行業名冊,['92412']
列管資訊休閒業名冊,['129442']
列管電子遊戲場業名冊,['92411']
前瞻計畫(亮點計畫),['129133']
創意風格產業店家名冊,['67537']
創新創業空間,['99356']
加油(氣)站,['67550']
動物園動物資料,['67785']
動物用藥品販賣機構,['67727']
動物醫院,['67728']
勞動狀況,['67712']
勞動部勞動力發展署就業服務據點資訊,['67709']
區域排水資料,['67721']
區段徵收開發案已標售土地,['89575']
區段徵收開發案範圍地號資料,['89573']
博物館群一覽表,['67573']
印花稅課徵範圍、稅率及納稅義務人,['67682']
即時剩餘停車位資訊,['129136']
原水檢測資料,['92421']
反毒資訊區,['67488']
受保護樹木,['67542']
古物一覽表,['81679']
古蹟一覽表,['67578']
台灣工藝之家,['67568']
各公園遊樂設施統計,['92443']
各區公所調解委員會服務資訊,['85702']
各區公所資訊,['85700']
各區沙包領取電話及地點,['85786']
各區衛生所辦理各項疫苗接種時間表,['67671']
各地段代碼,['89569']
各姊妹市締結一覽表,['87885']
各學年度國民中學普通班班級數及學生人數,['67563']
各學年度國民小學普通班班級數及學生人數,['67561']
各市場名冊,['67539']
各年度交通安全宣導工作執行計畫表,['67520']
各年度土地買賣移轉筆數,['89570']
各年度地方稅實徵情況,['67497']
各年度建物買賣移轉棟數,['89668']
各年度補助勞工教育及育樂活動概況,['92431']
各機關編制員額一覽表,['92436']
各級工會團體組織名冊,"['67706', '129098']"
各都市計畫土地使用內容類型分析,['92447']
各都市計畫定位願景,['87315']
各里集會所,['67530']
各項稅收稽徵成本,['86972']
各類房屋折舊標準表(適用於以前新、增、改建完成之房屋),['113912']
各類房屋折舊標準表(適用於起新、增、改建完成之房屋),['67686']
各類房屋暨附屬設備評價標準表(適用於以前新、增、改建完成之房屋),['113932']
各類房屋暨附屬設備評價標準表(適用起之新、增、改建房屋),['113930']
合法地政士開業名冊,['89572']
合法建築師名冊,['67725']
合法旅館資料名冊,['67759']
合法殯葬業,"['67527', '129057']"
呷熊飽餐券餐食服務計畫,['67750']
商業名冊,['67545']
噪音管制區,['67596']
固定桿違規舉發統計,['67492']
國中學區劃分,['67559']
國中小高中職學校周邊人行道禁菸範圍表,['67641']
國小學區劃分,['67558']
地下道,['86541']
地價稅稅源統計表,['67500']
地價稅累進起點地價及課稅級距表,['67687']
地方型SBIR獲補助名單,['92408']
地方文化館,['86971']
垃圾強制分類表(資源回收物及廚餘),['86857']
垃圾清運路線總表,['67582']
大客車注意之路段及時段表,['67770']
失業狀況,['67711']
娛樂稅徵收率,['67680']
婦女團體名冊,['67736']
婦女心理輔導或家庭諮詢機構,['92440']
婦女生育津貼支用明細表,['87696']
嬰幼兒各項疫苗接種適合年齡及禁忌,['67670']
安老津貼,['99362']
客運業者服務評鑑,['129129']
家庭教育中心服務內容,['67551']
家庭教育中心諮詢專線值班表,['67552']
寄養家庭媒合機構,['99372']
審查通過之新生兒聽力確診醫院名單,['67674']
寬頻管道建置計劃資料,['67723']
寵物登記站,['67730']
寶山路調撥車道資訊,['96563']
寺廟名冊,['67532']
對民間團體補(捐)助經費明細表,['67524']
居家式服務類長期照顧服務機構,['87945']
居家托育服務中心名冊,['67735']
山坡地近違反水保法案件資料,['106610']
工廠廠商名冊,['67538']
已登記公私有土地筆數面積,['89571']
已立案補習班,['67564']
已簽約促參案件表,['92414']
巷弄清冊,['67696']
市區公車運量,['67780']
市地重劃區抵費地標售結果統計表,"['89574', '129131']"
市有財產總目錄,['67554']
市民農園承租資訊,['85529']
幼兒園名錄,['67555']
幼童公費常規疫苗,['67639']
庇護工場名冊,['67707']
廉政倫理事件統計,['67485']
廢棄物清除/處理機構名冊,['67603']
廢食用油回收合格清除機構名冊,['67602']
心理治療諮詢所,['92427']
愛滋匿名篩檢機構名單,['67647']
應回收廢棄物回收處理業及舊貨商名冊,['67600']
懸掛羅馬旗幟廣告物路段表,['86647']
房地產消費糾紛原因及來源明細統計表,['92434']
房屋位置所在段落等級表,['67679']
房屋標準單價表(適用於以前新、增、改建完成之房屋),['67685']
房屋標準單價表(適用起之新、增、改建房屋),['113913']
房屋用途類別及用途細類別代號對照,['113931']
托育費用補助申請受理單位,['67754']
托育費用補助發放情形,['89283']
抽水站資訊,['67718']
拖吊場保管場資訊,['67495']
攤販市集清冊,['67541']
政風檢舉管道,['92413']
教會堂名冊,['67533']
新住民服務資源,['67741']
新兵入營訓練中心,['67529']
新生兒聽力篩檢補助服務方案名單,['67668']
新竹火車站旅遊服務中心諮詢服務人次,['85703']
新竹轉運站每月發車數量,['92444']
新舊建號資料,['92435']
旅賓館住宿率,['85964']
旅遊服務中心與借問站據點,['67760']
早期療育自費療育單位資格審查許可單位暨療育人員清冊,['129120']
早期療育自費療養院單位清單,['129121']
易塞車路段資訊,['67778']
暨所屬政風機構人員數,['67484']
最新債務訊息,['67486']
最近土地增值稅稅源統計表,['67498']
最近契稅綜合統計表,['67499']
最近房屋稅綜合統計表,"['67501', '129124']"
桃竹苗區健保特約兒童復健療育單位,['67742']
桃竹苗區兒童發展聯合評估中心,['67744']
棄犬收容中心名冊,['86421']
橋梁定期檢測,['110763']
機動車輛登記數,['67774']
機車排氣檢驗站,['67591']
歲入預算結構表,['92415']
歷史建築一覽表,['67580']
歷屆十大伴手禮,['67767']
歷屆非吃不可美食,['67768']
歷年住宅補貼受理情形統計表,['87808']
歷年溺水案件,['99355']
殯葬管理所殯儀館各項設施使用人次統計表,['81699']
殯葬管理所火化場使用人次統計表,['81700']
殯葬管理所納骨堂使用人次統計表,['81703']
殯葬管理所辦理公墓人次統計表,['81704']
民俗一覽表,['67572']
民眾繳稅管道利用情形,['67496']
水療池水質檢驗情形,['67661']
水質複查情形,['67662']
污水下水道用戶接管率,['67506']
河川水質監測,['67604']
河川測站,['67608']
洗街及掃街作業有效公里數,['87806']
流感抗病毒藥劑院所名冊,['67637']
流感疫苗合約院所名冊,['67636']
消防安全檢查重大不合格場所,['67701']
消防局119受理案件統計分析,['67703']
消防局各單位通訊錄,['67695']
消防局消防分隊駐地位置座標,['67693']
消防栓清冊,['67704']
清水檢測資料,['92422']
游泳池水質檢驗情形,['67657']
滅火器藥劑更換及充填合格廠商,['67692']
漁業單位聯絡資訊,['67543']
演藝團體列表,['67570']
演藝廳場地使用時段及收費標準,['92418']
濱海野生動物保護區,['67544']
火災案件統計表,['67699']
無痛大腸鏡合約醫院,['109907']
燃氣熱水器承裝業技術士名冊,['67698']
燃氣熱水器承裝業證書名冊,['67697']
特定寵物業,['67729']
特殊境遇家庭傷病醫療補助,['110068']
特殊境遇家庭兒童托育津貼,['67745']
特殊境遇家庭子女生活津貼,['110066']
特殊境遇家庭法律訴訟補助,['110067']
特殊境遇家庭緊急生活扶助,['110065']
特約廠商一覽表,['67717']
玻璃工藝創作者一覽表,['67575']
環保局柴油車排煙檢測站地址及聯絡電話,['67598']
環保旅店資訊,['67583']
環境影響評估審查委員會委員名單,['67611']
環境教育設施場所,['92419']
產後護理之家名冊,['67620']
產業及社福外籍勞工人數,['67710']
病媒防治業業者名單,['67587']
發展遲緩兒童早期療育單位清單,['67733']
百歲人瑞祝賀,['99361']
社區式服務類長期照顧服務機構,['87946']
社區活動中心清冊,['111201']
社區照顧關懷據點(含長青樂活健康食堂),['67752']
社區發展協會名冊,['67732']
社會服務及慈善團體名冊,['67753']
社會福利及慈善團體名冊,['129137']
社會福利服務中心,['92437']
社會福利館舍資訊,['70328']
私立托嬰中心名冊,['67734']
私立納骨塔清冊,['67526']
租賃房屋租金補助,['99366']
稅務局保管個資項目彙整表,['67678']
稅務局全功能服務櫃臺他轄代發本機關作業統計表,"['113911', '129132']"
稅務局全功能服務櫃臺本轄代發他機關作業統計表,['129135']
稅務局全功能服務櫃臺績效統計表,"['113762', '128896']"
稅務局官方網站滿意度問卷調查原始資料,"['75452', '94822', '106409', '129138']"
空氣品質人工監測站,['67589']
空氣品質淨化區,['87807']
立動物園門票收入及入園人數統計表,['67507']
立國中小通訊資料,['67557']
立體育場所屬運動場館,['67756']
立體育場所屬運動場館租借及使用情形,['67755']
第3屆勞資爭議調解人名冊,['99358']
第3屆勞資爭議調解委員名冊,['99357']
第6屆十大伴手禮,['129122']
第6屆非吃不可美食,['129123']
精神療養機構,['92425']
精神科診所,['92426']
終身教育學習地圖,['67556']
統計年報-平均每戶家庭收支,['67482']
統計年報-歲入決算,['67478']
統計年報-歲入預算,['67480']
統計年報-歲出決算,['67479']
統計年報-歲出預算,['67477']
統計年報-歷年財政狀況,['67483']
統計年報-營業基金及非營業特種基金盈虧(餘絀),['67476']
綠色商店資訊,['67586']
網路申辦項目清單,['67513']
義勇消防人員數,['89011']
老人乘車補助,['89280']
老人免費健康檢查,['89281']
老人福利機構一覽表,['67739']
老人福利機構歷年評鑑成績,['92438']
老屋補助案,['87944']
職業安全衛生教育訓練機構,['93947']
育有未滿2歲兒童育兒津貼,['89284']
自來水供水系統直接供水點(民眾端)監測數據,['92420']
自來水管承裝商,['67547']
自行車道建置資料總表,['67773']
