資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
苗栗縣水域遊憩活動安全資訊,42356,為強化我國民眾從事水域遊憩活動安全資訊，擴大公私部門水域事故防災地資料之整合，以利民眾使用智行動裝置，查詢水域安全管理及救援完整資訊。,,苗栗縣政府消防局
苗栗縣公費流感抗病毒藥劑合約醫療院所,42705,就醫: 係指各種醫療單位、健康保險、藥品、衛生安全等相關資料集,十碼章;醫院名稱;縣市別;行政區;郵遞區號;地址;連絡電話;座標緯度;座標經度;備註,苗栗縣政府衛生局
105年度接受捐贈財物明細表,43460,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,,苗栗縣政府消防局
苗栗縣政府暨所轄鄉鎮市公所公共債務,46116,苗栗縣政府暨所轄鄉鎮市公所公共債務訊息,106年1-5月公共債務情形,苗栗縣政府
苗栗縣政府暨所屬鄉鎮市公所106年1至6月公共債務情形,47854,苗栗縣政府暨所屬鄉鎮市公所106年1至6月公共債務情形,苗栗縣政府暨所屬鄉鎮市公所106年1至6月公共債務情形,苗栗縣政府
苗栗縣地標位置資料,47858,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,MARKNAME;CLASS1;CLASS2;TOWN;X_COOR;Y_COOR;TOWN_ID,苗栗縣政府
苗栗縣政府暨所屬鄉鎮市公所106年1至7月公共債務情形,49795,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,苗栗縣政府暨所屬鄉鎮市公所106年1至7月公共債務情形,苗栗縣政府
苗栗縣政府暨苗栗縣所轄鄉鎮市公所106年1月至8月公共債務情形,53192,苗栗縣政府暨苗栗縣所轄鄉鎮市公所106年1月至8月公共債務情形,苗栗縣政府公共債務情形;;截至106年8月底止，苗栗縣各鄉（鎮、市）公所公共債務情形,苗栗縣政府
106年苗栗縣流感合約醫療院所,55185,就醫: 係指各種醫療單位、健康保險、藥品、衛生安全等相關資料集,十碼章;醫院名稱;縣市別;行政區;郵遞區號;地址;連絡電話;座標緯度;座標經度;備註,苗栗縣政府衛生局
苗栗縣政府暨苗栗縣所轄鄉鎮市公所106年1月至9月公共債務情形,55665,苗栗縣政府暨苗栗縣所轄鄉鎮市公所106年1月至9月公共債務情形,苗栗縣政府公共債務情形;;截至106年9月底止，苗栗縣各鄉（鎮、市）公所公共債務情形,苗栗縣政府
苗栗縣政府暨苗栗縣所轄鄉鎮市公所106年1月至10月公共債務情形,59734,苗栗縣政府暨苗栗縣所轄鄉鎮市公所106年1月至10月公共債務情形,苗栗縣政府公共債務情形;;截至106年9月底止，苗栗縣各鄉（鎮、市）公所公共債務情形,苗栗縣政府
苗栗縣立體育場各場館收費標準,62720,苗栗縣立體育場各場館收費標準,,苗栗縣立體育場
苗栗縣立網球場管理要點,62727,苗栗縣立網球場管理要點,,苗栗縣立體育場
苗栗縣立體育場代管棒壘球場管理要點,62729,苗栗縣立體育場代管棒壘球場管理要點,,苗栗縣立體育場
苗栗縣文山國小分校﹝巨蛋﹞體育館管理要點,62730,苗栗縣文山國小分校﹝巨蛋﹞體育館管理要點,,苗栗縣立體育場
苗栗縣立體育館管理要點,62731,苗栗縣立體育館管理要點,,苗栗縣立體育場
苗栗縣合法動物醫院名冊,62742,苗栗縣合法動物醫院名冊,機構名稱;字號;負責獸醫;機構電話;機構地址,苗栗縣動物防疫所
苗栗縣特定寵物業者名冊,62744,苗栗縣特定寵物業者名冊,,苗栗縣動物防疫所
苗栗縣動物用藥品販賣業許可證名冊,62752,苗栗縣動物用藥品販賣業許可證名冊,,苗栗縣動物防疫所
出納業務統計,62904,專戶收支及收據分類統計,,財政處
苗栗縣各鄉鎮市造林面積統計表,62975,苗栗縣各鄉鎮市造林面積統計表,,苗栗縣政府
苗栗縣政府暨所屬機關推動性別影響評估實施計畫,63005,苗栗縣政府暨所屬機關推動性別影響評估實施計畫,,計畫處
106各校基本資料檔全,63202,106各校基本資料檔全 1061121,,苗栗縣政府
消防局各單位通訊錄,63251,本局各分隊聯絡清冊及座標位置,,苗栗縣政府消防局
苗栗縣105年地價稅徵績(徵期結束),63406,苗栗縣105年地價稅徵績(徵期結束),,苗栗縣政府稅務局
苗栗縣105年地價稅徵績(滯納期滿),63411,苗栗縣105年地價稅徵績(滯納期滿),,苗栗縣政府稅務局
苗栗縣100年娛樂稅稅源統計表,63429,苗栗縣100年娛樂稅稅源統計表,,苗栗縣政府稅務局
苗栗縣101年娛樂稅稅源統計表,63467,苗栗縣101年娛樂稅稅源統計表,,苗栗縣政府稅務局
苗栗縣102年娛樂稅稅源統計表,63473,苗栗縣102年娛樂稅稅源統計表,,苗栗縣政府稅務局
苗栗縣103年娛樂稅稅源統計表,63474,苗栗縣103年娛樂稅稅源統計表,,苗栗縣政府稅務局
苗栗縣104年娛樂稅稅源統計表,63475,苗栗縣104年娛樂稅稅源統計表,,苗栗縣政府稅務局
苗栗縣105年娛樂稅稅源統計表,63479,苗栗縣105年娛樂稅稅源統計表,,苗栗縣政府稅務局
苗栗縣103年使用牌照稅稅源統計表,63486,苗栗縣103年使用牌照稅稅源統計表,公<br>開<br>類;;編報機關,苗栗縣政府稅務局
苗栗縣104年使用牌照稅稅源統計表,63487,苗栗縣104年使用牌照稅稅源統計表,公<br>開<br>類;;編 製 機 關;苗栗縣政府稅務局(牌照稅科),苗栗縣政府稅務局
苗栗縣105年使用牌照稅稅源統計表,63489,苗栗縣105年使用牌照稅稅源統計表,公<br>開<br>類;;編 製 機 關;苗栗縣政府稅務局(牌照稅科),苗栗縣政府稅務局
