102-104歷年累進起點地價,['89078']
104~107苗栗生活圈核定案件一覽表,['78628']
105-106歷年累進起點地價,['89079']
1061108公私立幼兒園清單,['63600']
106低碳永續家園專案推動工作成果 (基層機關公文系統線上簽核減紙減碳計畫),['75858']
106各校基本資料檔全,['63202']
106客語生活學校名單,['63588']
107人類免疫缺乏病毒指定醫事機構,['74607']
107低碳永續家園專案推動工作成果,['99224']
108低碳永續家園專案推動工作成果(線上簽核公文數量),['119071']
109歷年累進起點地價,['129094']
18鄉鎮市立圖書館借還書人次及冊數統計,['63602']
1999申訴案件辦理情形統計表,['75327']
2016公共區域無線網路服務效益總表,['75937']
2017公共區域無線網路服務效益總表,['75939']
2018公共區域無線網路服務效益總表,['99283']
3灣鄉各村人口數,"['74559', '100256', '118378']"
3義鄉各村人口數,"['74552', '100253', '118374']"
AED設置地點,['74659']
A肝確診病例接觸者公費疫苗接種政策說明,['74730']
HPV疫苗合約醫療院所資訊,['114563']
HPV疫苗知多少-懶人包,['97595']
HPV疫苗衛教手冊,['97594']
「停1停車場」自起視為道路延伸納入道路範圍,['75851']
「兒童衛教指導服務補助方案」之機構及服務醫師名單,['114535']
「施情畫義‧千動愛心」美術特展暨愛心活動,['74630']
「未滿5歲接觸者結核菌素測驗(免費)服務單位」,['74601']
「潛伏結核感染治療指定醫院」暨合作醫師,['74737']
【新版兒童生長曲線】Q＆A,['74728']
上期使用牌照稅徵績-滯納期滿,"['63491', '89094', '105915', '129115']"
下期使用牌照稅徵績-滯納期滿,"['89090', '105914', '113823']"
不動產仲介業資料,['77900']
不動產實價登錄資訊-買賣案件,['73464']
不動產歷年糾紛案例,['73745']
中低收入老人住宅設施修繕設備補助辦法,['74236']
中低收入老人未滿7十歲者補助全民健康保險費基準,['74212']
中低收入老人特別照顧津貼審核作業細則,['74207']
中低收入老人生活津貼審核作業細則,['74208']
中港溪東興橋溼地公園簡介手冊,['75598']
中部崛起環教列車領航導覽《上冊》,['75590']
中部崛起環教列車領航導覽《下冊》,['75591']
主要死亡原因,['86409']
主要癌症死亡原 因,['86388']
乳牛及乳羊布氏桿菌病防治措施,['74565']
人口數,['74922']
人口統計分析,['70580']
人民或團體申請持有刀械作業流程,['74409']
人用狂犬病免疫球蛋白儲備醫院,"['74722', '97121']"
人用狂犬病疫苗接種服務醫院,['74723']
人行空間機車慢車停車秩序實施要點,['75865']
人行道設置斜坡道審查基準,['73465']
人行道設置斜坡道申請辦法,['73462']
人行道認養辦法,['73467']
人類免疫缺乏病毒感者者A型肝炎疫苗預防接種作業計畫,['74734']
他機關代發政府稅務局資料統計表,['105900']
他機關代發稅務局資料統計表,"['89129', '89130', '89131', '89133', '89134']"
他縣市稅捐機關代發政府稅務局資料統計表,['129101']
代發他縣市稅捐機關作業統計表,"['89124', '89125', '89126', '89127', '89128', '105901', '129100']"
