資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
彰化縣政府公共債務,23107,彰化縣政府公共債務,項目;1年以上債務未償餘額;短期債務未償餘額;平均每人負擔債務;自償性債務未償餘額(含非營業特種金),彰化縣政府財政處
彰化縣火災案件起火原因106年統計,27461,彰化縣火災案件起火原因統計,區域別;起火原因分縱火;起火原因分自殺;起火原因分燈燭;起火原因分爐火烹調;起火原因分敬神掃墓祭祖;起火原因分菸蒂;起火原因分電氣因素;起火原因分機械設備;起火原因分玩火;起火原因分烤火;起火原因分施工不慎;起火原因分易燃品自燃;瓦斯漏氣或爆炸;起火原因分化學物品;起火原因分燃放爆竹;起火原因分交通事故;起火原因分天然災害;起火原因分遺留火種;起火原因分不明;起火原因分其他,彰化縣消防局
彰化縣火災次數分類及時間106年統計,27462,彰化縣政府公開資料-火災次數分類及時間106年統計,機關別;火災次數A1;火災次數A2;火災次數A3;火災分類建築物;火災分類森林田野;火災分類車輛;火災分類船舶;火災分類航空器;火災分類其他;起火時段 0至3時;起火時段 3至 6時;起火時段 6至 9時;起火時段9至12時;起火時段12至15時;起火時段15至18時;起火時段18至21時;起火時段 21至24時;起火時段3至 6時;起火時 段 6~至9時;起火時 段9至12時;起火時 段12至15時;起火時 段15至18時;起火時 段18至21時;起火時 段21至24時;,彰化縣消防局
彰化縣消防局緊急救護到院前心肺功能停止傷病患救護案件106年統計,27463,彰化縣消防局-政府公開資訊-緊急救護到院前心肺功能停止傷病患救護案件106年統計,區<br>域<br>別;到院前心肺功能停止;有目擊者;有旁觀者CPR;有使用PAD;院前ROSC;事故地點型態住宅;住宅工廠工作地點;運動中心;街道公路;公共建築;療養院;教育學校;捷運站車站機場;診所護理之家;其他;不清楚,彰化縣消防局
彰化縣警察局所屬各辦公處所核心及一般設施配置表,27481,彰化縣警察局所屬各辦公處所核心及一般設施配置表,單位;地址;電話;經緯度;斜坡道;(輪椅)<br>輔具服務;身心障礙專用盥洗室;專用電梯或停車位;哺集乳室;申辦書表和填寫範例;飲水機;電腦（網路）;免費無線上網;停車位,彰化縣警察局
公務出國報告,27519,彰化縣政府及所屬機關學校因公出國，返國後提供出國報告。,編號;計畫名稱;計畫主辦機關;出國類別;前往地區;出國期間;報告日期,彰化縣政府計畫處
自行研究報告,27527,彰化縣政府歷年自行研究報告統計資料,年度;研究性質;研究單位;計畫名稱,彰化縣政府計畫處
彰化縣現住戶數、人口密度及性比例,27609,彰化縣現住戶數、人口密度及性比例,類別;重要統計指標;本期;上期或上年同期;本期與上期(或上年同期)比較;增減單位;本期資料期間,彰化縣政府主計處
彰化縣現住人口之年齡結構,27615,彰化縣現住人口之年齡結構,區域別;性別;0歲;1歲;2歲;3歲;4歲;5歲;6歲;7歲;8歲;9歲;10歲;11歲;12歲;13歲;14歲;15歲;16歲;17歲;18歲;19歲;20歲;21歲;22歲;23歲;24歲;25歲;26歲;27歲;28歲;29歲;30歲;31歲;32歲;33歲;34歲;35歲;36歲;37歲;38歲;39歲;40歲;41歲;42歲;43歲;44歲;45歲;46歲;47歲;48歲;49歲;50歲;51歲;52歲;53歲;54歲;55歲;56歲;57歲;58歲;59歲;60歲;61歲;62歲;63歲;64歲;65歲;66歲;67歲;68歲;69歲;70歲;71歲;72歲;73歲;74歲;75歲;76歲;77歲;78歲;79歲;80歲;81歲;82歲;83歲;84歲;85歲;86歲;87歲;88歲;89歲;90歲;91歲;92歲;93歲;94歲;95歲;96歲;97歲;98歲;99歲;100歲以上,彰化縣政府主計處
彰化縣現住人口之婚姻狀況,27616,"彰化縣現住人口之婚姻狀況-按性別,年齡別及鄉鎮市別統計",區域別;年齡別;未婚_男;未婚_女;有偶_男;有偶_女;離婚_男;離婚_女;喪偶_男;喪偶_女,彰化縣政府主計處
