2手輔具資源提供單位,['107895']
「補助低收及中低收入戶老人裝置假牙」契約診所,['107991']
一般護理之家,['30897']
不動產買賣案件實價登錄資訊,"['56347', '95601']"
中低收入戶年齡別,['27956']
中低收入老人生活津貼,['28000']
交通接送服務,['95208']
他縣市稅捐機關代發地方稅務局資料統計表,['62940']
伴手禮,['32241']
低收人數按年齡別,['27939']
低收入戶款別戶數及人數,['27949']
低收入戶老人公費安置簽約機構,['107994']
使用牌照稅稅源統計表,['30942']
信用合作社概況表,['29068']
停車場登記證核發統計表,['29243']
健走步道資料,['30597']
充電站(對外開放充電)列表,['32695']
兒童及少年安置教養機構,['95202']
兒童及少年收出養媒合服務單位,['107923']
兒童及少年福利服務,['27993']
兒童及少年福利服務中心,['95203']
兒童及少年福利機構及服務概況,['27990']
兒童少年保護執行概況,['27996']
兒童發展社區資源服務中心,['128530']
內救生圈架座標資料,['41315']
全功能服務櫃檯服務件數統計表,['52274']
公共債務,['23107']
公共哺集乳室,['107898']
公務出國報告,['27519']
公告土地現值、公告地價最高(低)地價,"['56335', '95518']"
公告土地現值、公告地價漲跌幅一覽表,['28397']
公告土地現值劃分地價區段及最高最低地價,"['56328', '95514']"
公告土地現值劃分地價區段及最高最低地價表,['28511']
公告土地現值及公告地價,['115895']
公告土地現值最高(低)地價,['95522']
公告土地現值最高(低)地價表,['56338']
公告土地現值調整情形與公告土地現值比較分析,"['56329', '95516']"
公告地價劃分地價區段及最高低價統計,"['56343', '95532']"
公告地價調整情形與公告地價比較分析,['95519']
公告地價調整情形與公告地價比較分析表,['56337']
公告無菸步道,['30887']
公告無菸環境-國中無菸人行道,['30889']
公告無菸環境-高中無菸人行道,['30892']
公布違法事業單位名單,['29235']
公會名冊,['128555']
公民營風景區、康樂場所及文教設施提供身心障礙者及陪伴者,['128538']
公益彩券盈餘分配辦理社會福利事業情形表,['29071']
公私協力及私立托嬰中心,['95198']
公私協力托育資源中心,['95199']
公私立兒童發展通報至轉介中心,['95222']
公私立幼兒園,['128545']
公職人員財產申報情形,['29063']
加水站許可名單,['31034']
勞工健檢指定醫療機構,['30515']
勞工處就業服務台聯絡表,['29159']
區段徵收成果,['28673']
印花稅徵收季報表,['31032']
友善失智社區,['128529']
友善餐廳,['108334']
口腔癌確認診斷及治療醫療院所,['31042']
各區母乳支持團體,['30885']
各就業服台績效表,['29141']
各政風機構進用人員現況,['28752']
各級學校教職員獎懲人次,['28020']
各級學校教職員退休人數,"['28022', '28023']"
各級租佃委員會調解調處案件,['28500']
各鄉鎮市公所通訊資料,['85708']
各鄉鎮市區衛生所卡介苗接種時間,['30539']
各鄉鎮市實施耕地375減租成果,['28498']
各鄉鎮市戶口及戶籍動態登記人口統計表,['33603']
各鄉鎮市救護車統計表,['30511']
各鄉鎮市村里數鄰數及戶數統計表,['97931']
各鄉鎮市現住人口數按性別及年齡分統計表,['33604']
各鄉鎮市現住原住民人口數按性別、原住民身分及族別分統計表,['33605']
各項社會福利服務,['108540']
各項稅捐實徵淨額與預算數及上年同期比較 -本月數,['62862']
各項稅捐實徵淨額與預算數及上年同期比較-累計數,['31023']
各項預防接種衛生所及合約醫療院所名冊,['30556']
各類人員申辦案件統計表,['95262']
合作社場(機關、學校),['107944']
同步聽打服務提供單位,['107989']
和美鎮人口數(年月別),['75396']
和美鎮原住民人口數(年月別),['75397']
和美鎮各里人口數,['75395']
哺集乳室名單,['31040']
商業登記異動,['27951']
喘息服務提供單位(衛生局),['95207']
單親家庭服務提供單位,['95183']
