資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
南投縣學區劃分表,38292,學區劃分表,鄉鎮名稱;校名;學區劃分(里．鄰別);校別;學區村(里),南投縣政府
南投縣合法私立火化場一覽表,38293,南投縣合法私立火化場資料,包含欄位：「編號」;「公墓名稱」;「負責人」;「地點」;「電話」;「緯度」;「經度」,南投縣政府
南投縣合法私立公墓一覽表,38294,南投縣合法私立公墓資料,包含欄位：「編號」;「公墓名稱」;「負責人」;「地點」;「電話」;「緯度」;「經度」,南投縣政府
廢食用油回收合格清除機構,38295,廢食用油回收合格清除機構,名稱;連絡電話;連絡電話（2）,南投縣政府
南投縣政府警察局業務職掌,38296,提供警察局各單位業務職掌及聯絡方式,單位名稱;聯絡電話;業務職掌,南投縣政府
南投縣政府警察局所屬各單位地址及聯絡方式,38298,南投縣政府警察局所屬各單位地址及聯絡方式,單位名稱(所屬各單位名稱);自動電話(所屬各單位聯絡電話);傳真電話(所屬各單位傳真電話);機關地址(所屬各單位詳細地址);緯度(緯度TWD97);經度(經度TWD97),南投縣政府
南投縣包裝飲用水工廠基本資料表,38299,南投縣包裝飲用水工廠基本資料表,資源彙整機關;廠商名稱;負責人;地址;電話;資本額;水源別;備註,南投縣政府
南投縣餐飲衛生優良店,38301,南投縣餐飲衛生評鑑分級,,南投縣政府
南投縣易發生交通肇事案件資料,38304,提供交通事故易肇事路段,肇事路段;件數;死亡人數;受傷人數,南投縣政府
南投美食資料,38306,南投美食店家資料,包含「Name餐飲店家名稱」;「Description店家簡述」;「Add店家地址」;「Tel預約電話」;「Opentime營業時間」...等，請參考http://gis.taiwan.net.tw/Data/%E8%A7%80%E5%85%89%E8%B3%87%E8%A8%8A%E6%A8%99%E6%BA%96v1%200.pdf,南投縣政府
南投縣補習班,38307,南投縣補習班,南投縣補習班,南投縣政府
南投縣公共圖書館地址、電話表,38349,南投縣公私立圖書館開館時間、地址及電話,名稱;開館時間;連絡電話;地址;公私立別;網址;緯度;經度,南投縣政府
南投縣各地區公廁基本資料,38350,南投縣各地區公廁基本資料,南投縣各地區公廁基本資料,南投縣政府
南投縣公立幼兒園通訊資料,38352,南投縣各行政區公立幼兒園名稱、電話及地址,編號;鄉鎮;幼兒園名稱;負責人/園長;幼兒園電話;傳真;總和班級;核定人數;實際人數;幼兒園住址;幼兒園住址<br>,南投縣政府
南投縣老人機構名冊,38353,南投縣老人機構名冊,包含欄位：「編號」;「公立/私立」;「機構名稱」;「機構地址」;「電話」;「負責人」;「收容對象;」;「核定收容人數」;「床位數」;「立案日期」...等,南投縣政府
南投縣居家托育服務中心,38355,南投縣政府委託民間團體承辦之居家托育服務中心名冊,包含欄位：「保母系統名稱」;「地址」;「E-Mail」;「電話」;「緯度」;「經度」,南投縣政府
南投縣環境教育設施場所名單,38356,南投縣環境教育設施場所名單,環境教育設施場所名單,南投縣政府
南投縣政府警察局固定式自動測速照相桿,38357,南投縣政府警察局轄內「固定式微電腦闖紅燈及自動測速照相桿」設置地點,設置地點(固定式照相桿詳細位置);測照項目(測速或闖紅燈);限速(km/hr),南投縣政府
南投縣文化資產,38360,南投縣境內各類別的文化資產,名稱;保存者/保存團體;類別;種類;級別;公告日期;所在地,南投縣政府
南投活動資料,38361,南投活動資料,包含：「Name活動名稱」;「Add主要活動地點地址」;「Tel活動聯絡電話」;「Org活動主辦單位」;「Start活動開始時間」;「End活動結束時間」...等，請參考http://gis.taiwan.net.tw/Data/%E8%A7%80%E5%85%89%E8%B3%87%E8%A8%8A%E6%A8%99%E6%BA%96v1%200.pdf,南投縣政府
南投縣身心障礙機構名冊,38362,南投縣身心障礙機構名冊,包含欄位：「機構名稱」;「聯絡電話」;「傳真」;「機構型態」;「機構地址」;「緯度」;「經度」,南投縣政府
南投縣環保旅店名單,38363,南投縣環保旅店名單,南投縣環保旅店名單,南投縣政府
南投縣政府資訊大樓假日親子電影院(親子放映室)播放影片節目表,38364,南投縣政府資訊大樓假日親子電影院(親子放映室)播放影片節目表,105年7月份播放影片節目表;105年8月份播放影片節目表;105年6月份播放影片節目表,南投縣政府
南投縣藝文活動,38365,南投縣每月藝文活動資訊,活動名稱;地點名稱;活動展演起日;活動展演迄日;活動型態;辦理單位;活動地點門票與售價,南投縣政府
南投縣iTaiwan熱點,38366,南投縣itaiwan熱點,主管機關(所屬機關名稱);地區(所屬縣市名稱);熱點名稱(依熱點所在地命名);地址(熱點所在詳細地址);緯度(緯度TWD97);經度(經度TWD97),南投縣政府
太極美地XML,38367,太極美地景點等XML,太極美地XML,南投縣政府
南投縣動物用藥品販賣業者,38369,南投縣已申請登記的動物用藥品販賣業者名冊,包含欄位：「商家名稱」;「地址」;「電話」;「備註」<br>,南投縣政府
就業服務據點,38370,南投縣就業服務據點,包含欄位：「名稱」;「地址」;「電話」;「傳真」;「緯度」;「經度」,南投縣政府
南投景點資料,38371,南投景點資料,包含：「Name景點中文名稱」;「Toldescribe特色詳細文字簡述」;「Tel服務電話」;「Add地址」;「Opentime開放時間」...等，請參考http://gis.taiwan.net.tw/Data/%E8%A7%80%E5%85%89%E8%B3%87%E8%A8%8A%E6%A8%99%E6%BA%96v1%200.pdf,南投縣政府
南投縣居家服務提供單位名冊,38372,南投縣居家服務提供單位名冊,包含欄位：「標案」;「鄉鎮」;「居家服務提供單位」;「聯絡人」;「電話」;「傳真」;「地址」;「緯度」;「經度」,南投縣政府
南投縣公共藝術,38373,南投縣境內相關單位設置之公共藝術案基本資料,鄉鎮別;作品名稱;創作者;設置年代（西元）;設置地點;設置地址;作品類型;作品材質;管理單位,南投縣政府
南投縣「乳房Ｘ光攝影醫療機構認證」名單,38374,南投縣「乳房Ｘ光攝影醫療機構認證」名單,鄉鎮別;院所名單;地址;電話;緯度;經度<br>,南投縣政府
