( 竹山鎮鹿谷鄉)公告現值公告地價資料,['97188']
(名間鄉中寮鄉)公告現值公告地價資料,['97102']
(國姓鄉仁愛鄉)公告現值公告地價資料,['128006']
(埔里鎮魚池鄉)公告現值公告地價資料,['97186']
(水里鄉集集鎮信義鄉)公告現值公告地價資料,['97187']
0-4歲擴大育兒津貼,['110335']
105-106-107-及所轄鄉鎮市公所最新債務訊息,['38877']
13鄉鎮市衛生所,['110059']
2手輔具資源提供單位,['110338']
iTaiwan熱點,['38366']
「乳房Ｘ光攝影醫療機構認證」名單,['38374']
「口腔黏膜健康檢查」醫療院所名單,['38382']
「子宮頸抹片篩檢」醫療院所名單,['119347']
「潛伏結核感染治療指定醫院」暨合作醫師,['126814']
「縣民時間」辦理時間表,['54195']
一般護理之家,['110397']
中寮鄉防災避難地圖,['87335']
主要死亡原因,['38416']
主要癌症死亡原因,['38411']
交通接送服務,['94927']
仁愛鄉防災避難地圖,['87334']
休閒農場,['94799']
休閒農業區,['38379']
低收入戶老人公費安養合約機構,['129926']
低收入戶老人公費養護合約機構,['129914']
低收入戶補助項目,['108796']
使用牌照稅徵績,['78399']
使用牌照稅稅源,['78388']
使用牌照稅稅源結構分析,['111947']
使用牌照稅稅額表-大客車及貨車,['113678']
使用牌照稅稅額表-完全以電能為動力之電動大客車及貨車,['113673']
使用牌照稅稅額表-完全以電能為動力之電動小客車,['113676']
使用牌照稅稅額表-完全以電能為動力之電動機車,['113674']
使用牌照稅稅額表-小客車,['113677']
使用牌照稅稅額表-機車,['113675']
信義鄉防災避難地圖,['87332']
優先採購身障福利機構團體或庇護工場據點及生產物品及服務,['110054']
免費wifi無線網路熱點,['40450']
兒童及少年安置教養機構,['91977']
兒童及少年福利服務中心,['91979']
公共圖書館借還書人次、冊數及辦證數統計,['100401']
公共圖書館地址、電話表,['38349']
公共托育資源中心,['110057']
公共藝術,['38373']
公私協力及私立托嬰中心,['91653']
公私協力托育資源中心,['91992']
公私立醫院所數、救護車數量,['38388']
公私立骨灰(骸)存放設施【納骨塔】清冊,['38387']
公立幼兒園通訊資料,['38352']
到宅沐浴車服務,['129923']
加工產品,['94793']
加水站業者名單,['38783']
動物用藥品販賣業者,['38369']
包裝飲用水工廠基本資料表,['38299']
十大熱銷農產品,['95030']
十大熱門點閱商品,['95036']
十大熱門點閱商品(伴手禮盒館),['95039']
十大熱門點閱商品(根莖蔬菜館),['95033']
十大熱門點閱商品(水果館),['95035']
十大熱門點閱商品(茶葉博覽館),['95034']
南投景點資料,['38371']
南投活動資料,['38361']
南投美食資料,['38306']
印花稅稅源結構分析,['111951']
原住民族委員會派駐金融輔導員據點,['129921']
