資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
雲林縣iTaiwan熱點,27639,雲林縣iTaiwan熱點,熱點名稱;區域;地址,雲林縣政府
雲林縣地方級濕地,28147,雲林縣地方級濕地,濕地名稱;縣市;鄉鎮市區;分級;地區,雲林縣政府
105年雲林縣資訊安全管理小組(委員),30379,105年雲林縣資訊安全管理小組(委員),職稱;姓名;角色,雲林縣政府
雲林縣各類房屋耐用年數暨折舊率標準表,30535,雲林縣各類房屋耐用年數暨折舊率標準表,構造別;代號;折舊率;耐用年數;殘值率,雲林縣稅務局
雲林縣房屋用途相近歸類表,30537,雲林縣房屋用途相近歸類表,未列房屋用途細類項目;歸類相近細類;備註,雲林縣稅務局
雲林縣無電梯設備之五層以下分層所有樓房價值分擔標準表,30540,雲林縣無電梯設備之五層以下分層所有樓房價值分擔標準表,層次別;一層樓;二層樓;三層樓;四層樓;五層樓,雲林縣稅務局
雲林縣房屋用途分類表,30541,雲林縣房屋用途分類表,分類;第一類;第二類;第三類;第四類;備<br>註,雲林縣稅務局
雲林縣房屋位置所在段落等級表(105年7月1日起適用),30542,雲林縣房屋位置所在段落等級表,級別;增減率;鄉鎮別;村里或街路別,雲林縣稅務局
各型汽車使用牌照稅稅額表,30543,各型汽車使用牌照稅稅額表,汽缸總排氣量;自用小客車;營業小客車;大客車;貨車,雲林縣稅務局
雲林縣房屋標準單價表-99年版,30544,雲林縣房屋標準單價表-99年版,總層數;鋼骨造鋼骨混凝土造鋼骨鋼筋混凝土造第一類;鋼骨造鋼骨混凝土造鋼骨鋼筋混凝土造第二類;鋼骨造鋼骨混凝土造鋼骨鋼筋混凝土造第三類;鋼骨造鋼骨混凝土造鋼骨鋼筋混凝土造第四類;鋼筋混凝土造預鑄混凝土造第一類;鋼筋混凝土造預鑄混凝土造第二類;鋼筋混凝土造預鑄混凝土造第三類;鋼筋混凝土造預鑄混凝土造第四類;加強磚造第一類;加強磚造第二類;加強磚造第三類;加強磚造第四類;鋼鐵造200平方公尺以上各種用途;鋼鐵造未達200平方公尺各種用途;木石磚造各種用途;土竹造各種用途,雲林縣稅務局
雲林縣電梯設備現值標準表(105年7月1日起適用),30545,雲林縣電梯設備價值標準表,載客人數;停階數;速度每分15M（含以下）;速度每分30M;速度每分45M;速度每分60M;速度每分75M;速度每分90M;速度每分105M;速度每分120M;速度每分135M;速度每分150M;速度每分165M,雲林縣稅務局
「申辦稅務免請假、預約取件免等待」預約服務項目應備證件表,30546,「申辦稅務免請假、預約取件免等待」預約服務項目應備證件表,項次;服務項目;申請人;應備證件,雲林縣稅務局
「事必得(speed)免下車預約服務」申請項目及應備證件,30547,「事必得(speed)免下車預約服務」申請項目及應備證件,項次;申請項目;申請人;應備證件,雲林縣稅務局
全功能服務櫃台債權人查調債務人課稅資料應備證件,30548,全功能服務櫃台債權人查調債務人課稅資料應備證件,申請人;應備證件,雲林縣稅務局
全功能服務櫃檯到府服務項目及應備證件,30549,全功能服務櫃檯到府服務項目及應備證件,項次;服務項目;申請人;應備證件,雲林縣稅務局
土地建物『拍賣』案件流程,30551,土地建物『拍賣』案件流程,步驟;辦理單位;辦理事項;應備證件;所需表單,雲林縣稅務局
土地建物『買賣』案件流程,30552,土地建物『買賣』案件流程,步驟;辦理單位;辦理事項;應備證件;所需表單,雲林縣稅務局
土地建物『贈與』案件流程,30553,土地建物『贈與』案件流程,步驟;辦理單位;辦理事項;應備證件;所需表單,雲林縣稅務局
