108公費流感抗病毒藥劑合約配置點,['122111']
108通過醬油安心標章業者名單,['128831']
108通過餐飲衛生管理分級評核名單,['128832']
2手輔具資源提供單位,['114369']
AED設置地點,"['36571', '75156']"
AED設置場所,['97499']
HPV疫苗補接種單位名冊,['122112']
iTaiwan熱點,['27639']
「事必得(speed)免下車預約服務」申請項目及應備證件,['30547']
「各類房屋耐用年數暨折舊率標準表」(起適用),['76940']
「咖啡安心標章」評核通過名單,['39120']
「申辦稅務免請假、預約取件免等待」預約服務項目應備證件表,['30546']
「醬油安心標章」評核通過名單,['39122']
一般護理之家一覽,['75161']
主要死因(不分男女),"['122021', '128828']"
主要死因(女姓),"['122023', '128827']"
主要死因(男姓),"['122022', '128826']"
主要癌症死因(不分男女),"['122024', '128825']"
主要癌症死因(女姓),"['122026', '128823']"
主要癌症死因(男姓),"['122025', '128824']"
乳房檢查確診及治療醫院,['37434']
乳癌確診與治療醫院,['75019']
事業廢棄物再利用者登記資料,['35423']
交通接送服務,['97440']
住宅竊盜點位資訊,['37554']
使用牌照稅稅式支出報告,['106958']
使用牌照稅稅源統計表,"['96002', '96004', '96007', '96008']"
偏遠地區巡迴醫療服務,['97501']
兒童及少年安置教養機構,['97387']
兒童及少年收出養媒合服務單位,['114357']
兒童及少年福利服務中心,['97410']
全功能服務櫃台債權人查調債務人課稅資料應備證件,['30548']
全功能服務櫃檯到府服務項目及應備證件,['30549']
全功能櫃檯服務項目明細表,['74959']
全縣清潔隊一覽表,['35420']
公共哺集乳室,['114353']
公共場所飲水機資訊,['41860']
公告土地現值暨公告地價,"['128745', '128746', '128747', '128748', '128749', '128750', '128751', '128752', '128753', '128754', '128755', '128756', '128757', '128758', '128759', '128760', '128761', '128762', '128763', '128764']"
公告無菸休憩空間(非公園綠地),['36636']
公告無菸環境-國中無菸人行道,['36639']
公告無菸環境-高中職無菸人行道,['36638']
公廁,['35862']
公私協力及私立托嬰中心,['97419']
公私協力托育資源中心,['97418']
公費流感抗病毒藥劑合約配置點,['74909']
到宅沐浴車服務,['97508']
加入糖尿病共同照護網認證醫療院所名單,['122108']
卡介苗接種門診時間及服務單位一覽表,"['38338', '122679']"
印花稅稅式支出報告,['106961']
及所屬1級機關首長及副首長聯絡電話清單,['128095']
友善餐廳,['114343']
口腔癌確診及治療醫院,['37435']
口腔癌確診與治療醫院,['75020']
各型汽車使用牌照稅稅額表,['30543']
各局處網路電話表,['35318']
各群醫衛生所醫療相關業務時間一覽表,['122362']
各衛生所體檢業務時間一覽表,['122364']
各鄉鎮市救護車統計表,['36490']
各鄉鎮市衛生所,['36466']
各鄉鎮市衛生所預防接種時間表,['36626']
各類房屋耐用年數暨折舊率標準表,['30535']
各類財物損失程度發生件數統計,['37512']
合法保全業者資料,['37514']
合法當鋪業資料,['37511']
哺集乳室設置機構,['37433']
喘息服務提供單位,['97444']
單親家庭服務提供單位,['97443']
噪音管制區,['35446']
固定污染源監測,['37315']
國家賠償事件收結情形表,['99170']
國家賠償案件統計表,['35271']
土地增值稅稅式支出報告,['106959']
土地建物『拍賣』案件流程,['30551']
土地建物『繼承』案件流程,['30554']
土地建物『買賣』案件流程,['30552']
土地建物『贈與』案件流程,['30553']
土壤及地下水列管資訊,['35424']
土壤定期監測結果,['37259']
地下水監測,['35500']
地價稅查定,['128080']
地價稅稅式支出報告,['106957']
地價稅開徵概況,['96026']
地政事務所服務電話,['127978']
地方級濕地,['28147']
地段代碼表,['128000']
垃圾掩埋場地下水檢測報告,['38873']
垃圾清理狀況,['32133']
執行機關資源回收成果統計,['32132']
堆肥場地址,['38874']
失智症服務及資源提供單位,['97511']
契稅稅式支出報告,['106960']
娛樂稅稅式支出報告,['106963']
娛樂稅稅源月報表,"['96013', '96014', '96015', '96016', '96017', '96018', '96019', '96021', '96022', '96023', '96024', '96025', '106291', '106292', '106293', '106294', '106295', '106296', '106297']"
婦女福利服務中心,['97422']
婦幼安全警示地點調查表,['37530']
孕婦乙型鏈球菌篩檢醫事機構名單,['37427']
完全以電能為動力之電動大客車及貨車使用牌照稅稅額表,['103825']
完全以電能為動力之電動小客車使用牌照稅稅額表,['103826']
完全以電能為動力之電動機車使用牌照稅稅額表,['103827']
家庭/社會福利服務中心,['97430']
家庭暴力及性侵害防治中心,['97426']
家庭暴力服務提供單位,['97513']
實(食)物銀行,['97433']
就業服務據點,"['97495', '114416']"
居家復健提供單位,['114347']
居家托育服務單位,['97435']
居家護理機構,"['97491', '114415']"
居家護理機構一覽表,"['36538', '75162']"
工會名冊_企產業,['104022']
巨大垃圾統計月報,['31556']
巨大廢棄物清運資訊,['35417']
幼兒園事故傷害統計(105上半年),['37428']
廢食用油清除機構基本資料,['35421']
復康巴士服務單位,['114362']
心理諮商服務據點,['97493']
心理諮詢服務駐點,['122120']
志願服務推廣中心、志願服務協會,['114359']
急救責任醫院,['75158']
急難救助提供單位,['97442']
性別統計資料—人口、婚姻與家庭,['86253']
性別統計資料—人身安全與司法,['86257']
性別統計資料—健康、醫療與照顧,['86259']
性別統計資料—就業、經濟與福利,['86250']
性別統計資料—教育、文化與媒體,['86255']
性別統計資料—權力、決策與影響力,['86248']
性別統計資料—環境、能源與科技,['86261']
愛心待用店,['114348']
應回收廢棄物回收處理業,['37316']
我國現行兒童預防接種時程預防接種時程,['36623']
戒毒戒治場所,['39319']
戒毒醫療資源,['97494']
戒菸服務合約醫事機構名單,['36642']
戶外無菸休憩空間-公園綠地,['36640']
房屋位置所在段落等級表(起適用),['30542']
房屋標準單價表(起適用),['71369']
房屋標準單價表-版,['30544']
房屋用途分類表,['30541']
房屋用途相近歸類表,['30537']
房屋稅查定,['128061']
房屋稅稅式支出報告,['106955']
房屋稅開徵概況,['96027']
抽水站,['37986']
拖吊保管場資訊,['37526']
推薦健走步道資料,['36621']
提供塗氟診所,['37437']
提供未滿5歲接觸者結核菌素測驗(免費)服務單位,['122678']
整合性社區健康篩檢服務日程表,['36622']
文化旅遊_中文住宿,['95618']
文化旅遊_中文景點,['95112']
文化旅遊_中文活動,['95520']
文化旅遊_中文餐飲,['95616']
文化旅遊_英文住宿,['95634']
文化旅遊_英文景點,['95623']
文化旅遊_英文活動,['95626']
文化旅遊_英文餐飲,['95628']
新住民家庭服務中心,['97432']
日間照顧中心,['97424']
早期療育日間托育中心,['97512']
早期療育服務個案管理中心,['97412']
早期療育服務通報轉介中心,['97409']
智慧城鄉(寶貝機)115據點名冊,['122110']
暨所轄鄉鎮市公所公共債務訊息,['127355']
最近土地增值稅稅源統計表,['86333']
最近地價稅稅源統計表,['86331']
最近契稅稅源統計表,"['87683', '106985']"
最近房屋稅稅源統計表,"['87682', '106984']"
村(里)及社區守望相助巡守隊,['114373']
村里辦公室,['97498']
柴油車排煙動力檢測站,['35416']
核准身障福利團體設置舊衣回收箱,['41862']
機車定檢站,['35497']
母嬰親善醫療院所,['37429']
民眾自願捺印指紋數據統計資料表,['37540']
水利署流量和水位站,['38019']
汽車竊盜點位資訊,['37555']
河川水質監測資料,['35499']
洗掃街作業資料,['37261']
海洋水質監測資料,['38875']
消費爭議調解案件統計分析表,"['44044', '127343']"
清除機構基本資料,"['35412', '35413']"
測站監測,['36176']
無障礙廁所,['114345']
無電梯設備之5層以下分層所有樓房價值分擔標準表,['30540']
營建工地空污費繳費櫃檯,['35498']
牌照稅稅額表,['103824']
特殊教育學校、服務提供單位,['114344']
犯罪統計資訊,['37513']
環保旅館,['32207']
環保餐館,['35415']
環境教育設施場所,['32208']
產後護理之家,['75163']
產後護理機構,['37426']
病媒防治業及販賣業名單,['35414']
登革熱/屈公病/茲卡病毒感染症防治專區,['37438']
社區互助教保服務中心、部落互助教保服務中心,['114358']
社區大學,['114371']
社區守護站,['97510']
社區治安工作績效表,['37559']
社區活動中心,['97436']
社區照顧關懷據點,['97429']
社區發展協會,['114352']
社區血壓站,['36620']
稅務局人民申請案件處理時限表,['31817']
稅務局各稅退稅統計,['128024']
