資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
嘉義縣違反法令事業單位,17331,提供嘉義縣違反勞動基準法、性別工作平等法等勞動法令之事業單位或事業主相關資料。,編號;縣市別;公告日期;公司名稱;處分日期;處分字號;違反法規條款;法條敘述;備註,嘉義縣社會局
嘉義縣政府年度施政計畫,19127,為利本府重要施政計畫及預算編列緊密配合，每年度開始前請各局處撰寫施政計畫，內含施政目標與重點、預算配合對照表及重要施政計畫等3表件。,年度;名稱;檔案位置,嘉義縣政府
嘉義縣公有零售市場名冊,19692,嘉義縣公民有零售市場名冊,項次;名稱;檔案位置,嘉義縣政府
嘉義縣縣管區域排水,19830,本資料集提供嘉義縣轄內區域排水名稱,序號;縣;鄉鎮市;排水路名稱;排水出口;權責起點;權責終點;備註,嘉義縣政府
各處辦公室電話,20359,各處辦公室電話,項次;名稱;檔案位置,嘉義縣政府
嘉義縣大客車禁行路段,20523,嘉義縣大客車禁行路段,項次;名稱;檔案位置,嘉義縣政府
嘉義縣大客車行駛應特別注意路段,20524,嘉義縣大客車行駛應特別注意路段,項次;名稱;檔案位置,嘉義縣政府
嘉義縣砂石車、大貨車禁行路段,20526,嘉義縣砂石車、大貨車禁行路段,項次;名稱;檔案位置,嘉義縣政府
歷年自辦市地重劃成果統計表,20540,本資料集提供自辦市地重劃成果統計表,辦理年度;地區名稱;總面積（公頃）;建築用地（公頃）;公共設施用地合計（公頃）;道路用地（公頃）;其他公共設施用地（公頃）;工程建設費用（元）;重劃總負擔比率（% ）;備註,嘉義縣政府
歷年公辦農村社區土地重劃成果統計表,20548,本資料集提供歷年公辦農村社區土地重劃成果統計表,規劃年度;鄉鎮市區;社區名稱;重劃總面積－公頃;平均負擔負擔比率;取得抵費地筆數;取得抵費地面積－公頃,嘉義縣政府
歷年早期農地重劃鄉鎮農水路更新改善資料統計表,20576,本資料集提供歷年早期農地重劃鄉鎮農水路更新改善資料統計表,年度;鄉鎮區別;重劃區別;更新改善面積－公頃;農路改善長度－公尺;核配經費,嘉義縣政府
歷年辦理農地重劃成果統計表,20577,本資料提供歷年辦理農地重劃成果統計表,編號;辦理年度;鄉鎮;重劃區名稱;面積－公頃,嘉義縣政府
嘉義縣法律扶助諮詢服務一覽表,20590,提供嘉義縣109年法律扶助諮詢服務時間地點一覽表,年度;期間;輪值表;檔案位置,嘉義縣政府
嘉義縣市區公車運量資訊,20859,主要提供嘉義市區公車運量資訊,項次;名稱;檔案位置,嘉義縣政府
嘉義縣有線電視業者名冊,20957,嘉義縣有線電視業者名冊,公司名稱;營業地址;客服電話;經營區,嘉義縣政府
嘉義縣各公所列管都市公園綠地清冊,20976,嘉義縣都市公園綠地統計表,項次;名稱;檔案位置,嘉義縣政府
嘉義縣各級學校查詢,21368,嘉義縣各級學校查詢,學校名稱;公私立;地址;電話;網址,嘉義縣政府
嘉義縣國小人數,21430,嘉義縣國小人數,學校名稱;學生數合計;男生;女生,嘉義縣政府
嘉義縣國小新生報到人數,21435,嘉義縣國小新生報到人數,學校名稱;一年級男生;一年級女生,嘉義縣政府
嘉義縣國中小鄉鎮查詢,21442,嘉義縣國中小鄉鎮查詢,學校名稱;鄉鎮市,嘉義縣政府
嘉義縣國中各校男女生人數,21443,嘉義縣國中各校男女生人數,學校名稱;學生數計;男生;女生,嘉義縣政府
嘉義縣國中、小學校代碼,21445,嘉義縣國中小學校代碼,學校代號;學校名稱,嘉義縣政府
嘉義縣政府及其所屬機關職（教）員合計年齡統計表,21453,嘉義縣政府及其所屬機關職（教）員合計年齡統計表,性別及機關類別;總計;平均年齡;24歲以下;25-29歲;30-34歲;35-39歲;40-44歲;45-49歲;50-54歲;55-59歲;60-64歲;65歲以上,嘉義縣政府
嘉義縣政府及其所屬機關職（教）員合計官等性別統計表,21455,嘉義縣政府及其所屬機關職（教）員合計官等性別統計表,性別及機關類別;總計;民選首長;政務人員;簡任;薦任;委任;雇員;警監;警正;警佐;師一級;師二級;師三級;士生級;校長及教師,嘉義縣政府
嘉義縣各鄉鎮市殯葬服務業許可名冊,21805,嘉義縣各鄉鎮市殯葬服務業許可名冊,ArticleType;FileName;Link;Source;主題;內容;Data_Id;相關影音<br>,嘉義縣政府
嘉義縣已立案教會一覽表,21824,嘉義縣已立案教會一覽表,ArticleType;FileName;Link;Source;主題;內容;Data_Id;相關影音,嘉義縣政府
嘉義縣已登記寺廟一覽表,21825,嘉義縣已登記寺廟一覽表,ArticleType;FileName;Link;Source;主題;內容;Data_Id;相關影音<br>,嘉義縣政府
嘉義縣珍貴老樹,22161,珍貴老樹,轄內編號;樹種中名;座標XTm297;座標YTm297;樹高m;胸圍m;數冠面積㎡;推估年齡;鄉鎮;村里;管理者;地址位址<br>,嘉義縣政府
嘉義縣身心障礙福利機構概況,23098,提供嘉義縣身心障礙福利機構數及安置人數資料。,鄉鎮別;機構別;全日型住宿人數男;全日型住宿人數女;夜間型住宿人數男;夜間型住宿人數女;日間照顧人數男;日間照顧人數女;部分時制照顧人數男;部分時制照顧人數女;本期服務人次;領有身心障礙手冊證明;領有發展遲緩證明;季底特教單位委託人數;季底勞政單位委託人數,嘉義縣社會局
嘉義縣辦理急難救助概況,23100,提供急難救助各項目救助人次及救助金額。,性別;死亡無力殮葬者;遭受意外傷害或罹患重病致生活陷於困境者;負家庭主要生計責任且無法工作致生活陷於困境者;財產或存款未能及時運用致生活陷於困境者;其他遭遇重大變故者;川資突然發生困難者;無遺囑與遺產葬埋者;榮民含原住民身分;民眾榮民具原住民身分,嘉義縣社會局
嘉義縣社區照顧關懷據點,24515,提供嘉義縣社區照顧關懷據點基本資料及聯繫方式。,序號;鄉/鎮/市/區;申請單位名稱;據點所在地址;據點連絡電話;提供服務項目,嘉義縣社會局
嘉義縣立案老人安養護機構,24519,提供嘉義縣立案老人安養護機構基本資料及聯繫方式。,序號;機構名稱;負責人;核准床數;立案日期文號;地址;電話,嘉義縣社會局
