1070823豪雨淹水災情統計一覽表,['90889']
一般噪音公告一覽表,['127741']
中低收入老人補助裝置假牙特約醫療院所名冊,['79047']
主計處-便民服務-檔案下載,['37157']
主計處-便民服務-相關連結,['37159']
主計處-業務項目-資訊公開專區,['37152']
主計處-統計資料-統計相關法規及標準,['37154']
主計處-統計預告發布-府內單位預告時間表,['37155']
主計處-統計預告發布-所屬機關預告時間表,['37156']
主計處-訊息發布-對民間團體補(捐)助經費明細表,['37150']
主計處-訊息發布-對議員所提地方建設建議案,['37151']
主題專區性別主流化專區婦女權益促進委員會,['36900']
主題專區性別主流化專區性別意識培力課程及活動,['36901']
主題專區性別主流化專區最新消息,['36899']
主題專區性別主流化專區相關連結,['41846']
主題專區抗旱資訊專區,['36880']
主題專區消費者保護園地檔案下載園地,['36875']
主題專區消費者保護園地相關連結,['36876']
主題專區高齡友善城市相關新聞及活動訊息,['36877']
交通接送服務辦理單位,['26839']
交通肇事案件資料,['27028']
交通號誌及行人專用時相位置表,['42587']
交通部補助興建路外公共停車場,['48679']
人事處-WebHR公告區,['37123']
人事處-便民服務-資訊公開專區,['37125']
人事處-公告訊息,['37116']
人事處-創新服務-人事人員專區,['37118']
人事處-創新服務-人事業務標準作業流程,['37117']
人事處-創新服務-分層負責明細表,['37120']
人事處-創新服務-常用表格,['37121']
人事處-創新服務-文康活動專區,['37119']
人事處-員工協助專區-Q&A,['37114']
人事處-員工協助專區-心情溫度計,['37111']
人事處-員工協助專區-抒發己見,['37112']
人事處-員工協助專區-相關計畫與表件,['37115']
人事處-員工協助專區-觸動心網,['37113']
人事處-檔案下載,['37126']
人民團體,['25743']
企業工會,['25524']
住宅竊盜點位資訊,['27056']
使用牌照稅稅額表,['78222']
依法設置哺集乳室名單,['78165']
便民服務便民服務表單,['36864']
便民服務常見問答,['36865']
便民服務檔案下載,['36904']
便民服務歷史電子報,['36892']
便民服務聯絡電話,['36863']
兒童安置教養機構,['25448']
內設立之加油站名冊,['108778']
全功能櫃臺作業項目及應備證件項目,['42565']
全縣景點,['37421']
公告土地現值資料,['128507']
公告地價資料,"['102157', '114251']"
公廁建檔基本資料,['26956']
公有零售市場名冊,['19692']
公民營清除機構,['78208']
公民營處理機構,['78207']
公費登革熱NS1快篩劑醫療院所名冊,['122843']
公車處站位資訊,['26400']
其他廣告橫幅,['36891']
其他焦點主題,['36890']
其他首頁新聞,['36889']
勞工就業服務據點,['104211']
卡介苗接種門診時間及服務單位,['100105']
即時路況攝影機CCTV,['122133']
及其所屬機關職(教)員合計官等性別統計表,['21455']
及其所屬機關職(教)員合計年齡統計表,['21453']
古蹟,['26947']
各公所列管都市公園綠地清冊,['20976']
