資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
嘉義市電動二輪車充電站,8129,提供嘉義市電動二輪車充電站地點，免費充電站及投幣式充電站兩類,編號;名稱;地址;坐標;備註,嘉義市政府
嘉義市政府最新債務訊息,23434,提供嘉義市政府最新債務資訊。本資料格式為財政部統一規範，自105年度起累計每月資料。,項目;1年以上債務未償餘額;短期債務未償餘額;平均每人負擔債務;自償性債務未償餘額〈含非營業特種基金〉,嘉義市政府
嘉義市老人福利機構,27399,嘉義市老人福利機構,性質;資料彙整機關;辦理單位;成立日期;立案文號;負責人;連絡電話;傳真;電子郵件;地址;核定收容人數;收容對象_安養;收容對象_養護;收容對象_長照;收容對象_日照;收容對象_失智;收容對象_遊民;收容對象_其他;相關網址;X座標;Y座標;備註;最後更新日期,嘉義市政府
嘉義市身心障礙綜合園區-再耕園,27402,透過身心障礙者生涯轉銜、職業輔導評量、職能訓練等服務；來達到提供身心障礙者多元化就業機會的目的。 協助嘉義地區身心障礙者逐步進入社會，發揮「福利產業化、產業化福利」的精神。 協助身心障礙者福利諮詢、生涯轉銜、職業訓練、職業輔導評量、支持性就業服務及手語翻譯服務。,性質;資料彙整機關;辦理單位;成立日期;立案文號;負責人;連絡電話;傳真;電子郵件;地址;相關網址;X座標;Y座標;備註;最後更新日期,嘉義市政府
嘉義市流浪犬收容中心捕捉公告,52294,本項資料內容為嘉義市流浪犬中心的最新捕捉公告，請大家多以認養代替購買，勿任意棄養。,捕捉日期;捕捉地點;品種;性別;體型;捕捉來源;備註;圖片連結網址,嘉義市政府
嘉義市愛物網歷年拍賣所得統計,52295,本項資料提供「嘉義市愛物網」歷年拍賣的成交件數、收入等統計資料。自100年起統計，每年一個檔案。,入帳月份;件數;入帳金額;託運費;入帳淨額;劃撥手續費;結餘,嘉義市政府
嘉義市政府機關名稱中英文對照表,52296,本項資料提供嘉義市政府各局處、科室的中英文名稱對照表，供翻譯時參考使用,中文;English,嘉義市政府
嘉義市特殊教育學校,52297,嘉義市特殊教育學校,資料彙整機關;學校名稱;連絡電話;傳真;地址;設立別;教育階段;X座標;Y座標;最後更新日期,嘉義市政府
歷年嘉義市政府模範公務人員名單,52298,本項資料集提供自民國97年之後的模範公務人員名單與獲獎事由,獲獎年度;服務單位;職稱;姓名;優良事蹟;備註,嘉義市政府
嘉義市公有零售市場,52299,本項資料集提供嘉義市政府所轄4個公有零售市場的地點、經緯度等資訊,市場名稱;地點;緯度;經度,嘉義市政府
嘉義市政府暨所屬機關學校公教人員概況－年齡分布情形,52300,本項資料提供嘉義市政府暨所屬機關學校公教人員的年齡分布情形，每年一個統計資料,性別;總計;平均年齡;24歲以下;25-29歲;30-34歲;35-39歲;40-44歲;45-49歲;50-54歲;55-59歲;60-64歲;65歲以上,嘉義市政府
嘉義市公告設攤區(路)段,52301,本市既存之設攤路段其產生背景係著眼早期歷史背景、消費特性及交通流量等市場供需機制而自然形成，依台灣省攤販管理規則公告6處暫准開放設攤路段,設攤區;段名稱;位置,嘉義市政府
嘉義市政府暨所屬政風機構檢舉管道,52302,提供嘉義市政府政風處與所屬一級機關政風室的檢舉電話、信箱等聯絡資訊,單位;電話;傳真;電子信箱;郵政信箱,嘉義市政府
嘉義市政府員額配置表,52303,提供嘉義市政府直屬單位（不含所屬機關）的公務人員編制員額,單位;科別;市長;副市長;秘書長;參議;消費者保護官;處長;秘書;副處長;專員;技正;督學;科長;社會工作師;科員;技士;技佐;辦事員;書記,嘉義市政府
嘉義市聯合里辦公處,52304,嘉義市聯合里辦公處,資料彙整機關;單位名稱;承辦里別;連絡電話;地址;X座標;Y座標;備註;最後更新日期,嘉義市政府
地方稅欠稅概況－按納稅義務人性別統計,52305,地方稅欠稅概況-按納稅義務人性別統計,統計別;房屋稅;印花稅;使用牌照稅;土地增值稅;契稅;地價稅;娛樂稅;違章罰鍰,嘉義市政府
嘉義市即時交通資訊－車輛偵測VD靜態資訊,52310,提供「嘉義市即時交通資訊網」的VD 佈設位置坐標 XML 標準，包含所屬單位、路段起迄點 ID、行車方向、偵側車道數及架設設備坐標，旨在標示 VD 位置。請與「嘉義市即時交通資訊網」其他opendata搭配使用。,VDID設備代碼;BiDirectional是否為雙向偵測;DetectionLinks設備所能偵測車流之基礎路段編碼;<br>DetectionLink設備所能偵測車流之基礎路段編碼;LinkID基礎路段編碼;Bearing基礎路段方位;RoadDirection基礎路段所屬道路方向;LaneNum設備於該方向基礎路段所能偵側車道數;ActualLaneNum該方向基礎路段的實際車道數;VDTypeVD 類別;DetectionType車流偵側類型;PositionLon設備架設位置X 坐標;PositionLat設備架設位置Y 坐標;Volume流量偵測值;Status設備狀態;DataCollectTime資料蒐集時間,嘉義市政府
嘉義市即時交通資訊－路況監視攝影機CCTV資訊,52312,提供「嘉義市即時交通資訊網」拍攝地點即時影像的網址，並標示 CCTV運作狀況。請與「嘉義市即時交通資訊網」其他opendata搭配使用。,UpdateTime;UpdateInterval;AuthorityCode;CCTVs;CCTV;CCTVID;LinkID;VideoStreamURL;LocationType;PositionLon;PositionLat,嘉義市政府
嘉義市即時交通資訊－資訊可變標誌CMS所在位置靜態資訊,52313,提供「嘉義市即時交通資訊網」的CMS 佈設位置坐標 XML標準，包含所屬單位、所屬道路名稱、路段起迄點 ID 及架設坐標，旨在標示出 CMS 架設位置。請與「嘉義市即時交通資訊網」其他opendata搭配使用。,cmsid設備代碼;locationpath路段;所屬Location Path ID，startlocationpoint路段;起點Location Point ID，endlocationpoint路段;迄點Location Point ID;roadsection路段文字描述;px設備架設位置X 坐標;py設備架設位置Y 坐標,嘉義市政府
