AED(自動體外心臟去顫器)設置地點,['52500']
iTaiwan WiFi無線網路熱點,['100982']
「已完成區段徵收及市地重劃地區」免申請建築線指示(定)範圍,['113001']
「輪椅趴趴GO」計畫-輪椅服務站設置地點聯絡表,['86866']
【咖啡、甜點、茶】甜蜜地圖店家名單,['94659']
一般生育率,['129465']
不動產經紀業,['78827']
中低收入老人免費裝設假牙合約醫院名單,['52456']
中低收入老人免費配戴老花眼鏡合約店家名單,['52455']
交通接送,['122734']
作業基金預算綜計表,['52383']
來嘉友善心餐廳名單,['52498']
供售口罩位置,['116037']
保全公司業者名冊,['52439']
保險套自動販賣機地點,['52515']
健康飲食友善環境餐飲業者,['122671']
免費法律諮詢服務律師名單,['52448']
免費法律諮詢處,['52445']
兒童及少年安置教養機構,['63091']
兒童發展通報轉介暨個案管理服務中心,['119914']
兒童福利服務中心,['119908']
兒童課後照顧服務據點,['95735']
公共場所及職場哺集乳室地點,['52511']
公共藝術地點,['52547']
公共量血壓場所,['54323']
公告土地現值,['99116']
公告地價,['85488']
公告無菸環境名單,['52514']
公告設攤區(路)段,['52301']
公寓大廈管理委員會,['52419']
公廁地點,['52524']
公有廳舍太陽能光電屋頂建置地點及發電量,['52424']
公有路外停車場資訊,['52317']
公有路邊停車格資訊,['127381']
公有零售市場,['52299']
公益彩券盈餘分配基金對民間團體補(捐)助經費明細表,['52360']
公私協立及私立托嬰中心,['63093']
公私協立托育資源中心,['52386']
公私立婦女機構,['54325']
公私立幼兒園名單,['52438']
公立國中、國小學校名單,['52497']
列管之狹小巷弄,['52339']
列管消防栓、水源統計,['52340']
加油站地點,['52479']
動物用藥品販賣業者名單,['52421']
動物醫院名單,['52406']
區公所資訊,['85478']
十5歲以上人口死亡數,['128688']
博物館販售文創商品名單,['52431']
即時交通資訊-資訊可變標誌CMS動態資訊,['52580']
即時交通資訊-資訊可變標誌CMS所在位置靜態資訊,['52313']
即時交通資訊-路況監視攝影機CCTV資訊,['52312']
即時交通資訊-車輛偵側VD 1分鐘動態資訊,['52579']
即時交通資訊-車輛偵測VD靜態資訊,['52310']
原住民團體名冊,['52450']
古道路線,['52550']
可供申請綠美化之市有地,['52416']
可申請懸掛旗幟之道路及旗幟數量,['52527']
各公園綠地清冊,['52349']
各型汽車使用牌照稅稅額表,['52358']
各機車排氣檢驗站站址資料,['52402']
各軍種徵集日期、概定配賦員額預告表,['52363']
各醫院門診科別、醫事人員數、病床數等醫療資源統計,['52523']
各里辦公處,['63271']
各類文化資產名冊,['52432']
合格地政士,['92112']
合格消防設備業者名單,['122660']
合格滅火器藥劑更換及填充廠商名單,['52345']
合法燃氣熱水器承裝業者名單,['52347']
員額配置表,['52303']
喘息服務提供單位,['54241']
單親家庭服務提供單位,['63195']
嘉油鐵馬道、北回自行車道路線圖,['52469']
固定式測速照相及闖紅燈照相設置地點,['52544']
國中小學區劃分表,['52485']
國小各校兒童課後照顧服務班人數統計,['57212']
國賠案件統計表,['52380']
國際管樂節踩街路線圖,['52558']
圖書館各類熱門借閱書目,['52434']
土壤液化潛勢區資訊,['52442']
地下水補注範圍圖,['52444']
地價稅稅源統計分析表,['52397']
地價稅累進起點地價及課稅級距表,['52582']
地方教育發展基金對民間團體補(捐)助經費明細表,['52357']
地方稅欠稅概況-按年度別統計,['119910']
地方稅欠稅概況-按納稅義務人性別統計,['52305']
失智照護方案,['95727']
好人好事代表名冊及事蹟,['52403']
娛樂稅徵收率,['52530']
婦女福利服務中心,['119907']
學童午餐食材供應商,['52420']
客家人文地產景資料庫,['82901']
客家團體名冊,['52447']
家庭托顧,['122730']
家庭教育中心,['128371']
家庭暴力及性侵害防治中心,['63196']
家庭照顧者支持服務據點,['122772']
家庭福利服務中心,['119906']
實(食)物銀行服務據點,['95664']
寺廟名冊,['52376']
專業服務,['122735']
就業服務據點,['63250']
居家復健提供單位,['95720']
居家托育服務中心,['63265']
居家服務,['122722']
山坡地範圍圖資,['52328']
山崩與地滑地質敏感區範圍圖,['52441']
工會名冊,['52371']
市有土地及建物財產統計,['52418']
市有非公用閒置土地清冊,['87960']
幸福飽飽安全關懷站合作店家,['119905']
幼兒常規疫苗接種醫療機構名單,['52501']
廢棄物焚化廠地點,['52427']
廢棄物焚化廠環境品質監測,['52529']
建築師開業登記清冊,['52446']
建築管理系統-建築執照存根API,['52472']
建築管理系統-建築物安全檢查紀錄API,['52471']
建築管理系統-施工勘驗資料API,['52473']
建築管理系統-昇降設備、機械停車設備許可證資料API,['52475']
役男體檢醫院,['52335']
復能醫院,['122736']
心理諮商服務據點,['63289']
愛心待用店家,['95723']
愛物網最新拍賣案件,['52323']
愛物網歷年拍賣所得統計,['52295']
慈善單位急難救助清冊,['95675']
慈善會團體,['63434']
戒毒戒治場所,['54322']
戒菸門診機構名單,['52504']
房屋標準單價,['52408']
托育人員名單,['52458']
拖吊保管場地點,['52413']
政事型基金預算,['52387']
政風處歷年受理財產申報人數,['52425']
救護車資料,['130224']
教會、教堂名冊,['52378']
整合性健康篩檢醫療機構,['52517']
文化局各類典藏品名單-雕塑類、交趾陶類,['52437']
新住民家庭服務中心,['63214']
旅遊服務中心與借問站地點,['107785']
日間照顧服務,['63103']
早期療育服務個案管理中心,['95332']
易發生婦幼被害犯罪地點,['52467']
暨所屬政風機構檢舉管道,['52302']
暨所屬機關學校公教人員概況-年齡分布情形,['52300']
暨所屬機關學校公教人員概況-教育程度分布情形,['52326']
暨所屬機關陳情管道,['53122']
