資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
宜蘭縣殯葬設施一覽表,42160,目前宜蘭縣提供宜蘭縣殯葬設施一覽表,名稱;鄉鎮市別;地址;聯絡單位;電話,宜蘭縣政府
宜蘭縣寺廟慶典,42161,目前宜蘭縣提供縣內寺廟慶典一覽表,鄉鎮市 村里<br>寺廟名稱 主祀神 慶典日期<br>慶典別<br>寺廟地址,宜蘭縣政府
宜蘭縣最新人口數及戶數統計表,42162,109年7月宜蘭縣最新人口數及戶數統計表,鄉鎮市;村里數;鄰數;戶數;本月底人口數合計;本月底人口數男;本月底人口數女;遷入;遷出;出生;死亡;結婚;離婚;原住民人口數平原男;原住民人口數平原 女;原住民人口數山地 男;原住民人口數山地 女,宜蘭縣政府
宜蘭縣政府109年度歲入預算執行情形表,42163,提供宜蘭縣政府當年度各月份歲入預算執行情形表,項目;全年預算數;截至該月預算分配數;本年度實收累計數;超短收數,宜蘭縣政府
107年度宜蘭縣總預算歲入來源別預算表,42164,提供宜蘭縣當年度歲入總預算編列情形表,科目;本年度預算數;上年度預算數;前年度決算數;本年度與上年度比較,宜蘭縣政府
宜蘭縣縣有財產量值目錄,42165,當年度宜蘭縣縣有財產量值目錄,項目;土地筆數_筆;土地面積_公頃;土地價值_元;土地改良物件數_件;土地改良物價值_元;房屋建築及設備棟數_棟;房屋建築及設備面積_㎡;房屋建築及設備價值_元;機械及設備件數_件;機械及設備價值_元;交通及運輸設備件數_件;交通及運輸設備價值_元;雜項設備件數_件;雜項設備價值_元;有價證券股量_股;有價證券價值_元;權利價值_元;其他價值_元,宜蘭縣政府
宜蘭縣有不動產提供短期使用清冊,42166,本府非公用不動產提供短期使用清冊,,宜蘭縣政府
104年度宜蘭縣庫款集中支付年報表,42167,支付淨額：支付數減支出收回數、註銷數後之餘額,,宜蘭縣政府
宜蘭縣合法酒製造業者,42168,提供宜蘭縣合法酒製造業者,製造業者名稱;統一編號;總機構所在地;工廠基本資料;製酒執照號碼,宜蘭縣政府
公告宜蘭縣政府最新債務訊息,42169,公告宜蘭縣政府最新債務訊息各月統計表,項目;一年以上公共債務未償餘額;未滿一年公共債務未償餘額;平均每人負擔公共債務;自償性公共債務未償餘額_含非營業特種金,宜蘭縣政府
宜蘭縣旅館名冊,42170,宜蘭縣內已申請核准之旅館名冊,登記證核准日期;登記證核准編號;營業現狀;中文名稱;英文名稱;電話;傳真;網址;E-mail;登記地址;英文地址,宜蘭縣政府
宜蘭縣民宿名冊,42171,宜蘭縣內已申請核准之民宿,登記證核准日期;編號;經營現狀;中文名稱;英文名稱;電話;傳真;網址;E-mail;營業地址;英文地址,宜蘭縣政府
宜蘭旅遊服務中心暨遊客中心,42172,提供縣政府管轄及東北暨宜蘭海岸國家風景區管理處管轄之各風景區旅遊服務中心暨遊客中心資訊，民眾可免費諮詢相關旅遊訊息，並提供旅遊導覽資料等。,地點;電話;地址,宜蘭縣政府
