(查(核)定開徵數情形,['120840']
010101地方稅務局使用牌照稅稽徵,"['129725', '129726', '129727', '129728', '129729', '129730', '129731', '129732', '129766', '130134']"
010102地方稅務局使用牌照稅徵績-上期滯納期滿,['129734']
010102地方稅務局使用牌照稅徵績-上期結束,['129683']
010102地方稅務局使用牌照稅徵績-下期滯納期滿,['129737']
010102地方稅務局使用牌照稅徵績-下期結束,['129735']
2手輔具資源提供單位,['110825']
7星潭風景區告示牌及救生圈現況,['41601']
AED安心場所,"['110874', '114862']"
iTaiwan WI-FI無線上網地圖,['110590']
一般護理機構名冊,['110632']
一般護理機構評鑑成績總覽,['110630']
中藥販賣商名冊,['110636']
乳房攝影檢查認證機構,['110678']
交通接送服務,['110755']
使用牌照稅稅源,"['110541', '110542', '129738', '129739']"
依法應設置哺集乳室清冊,['110679']
促進民間參與公共建設案件一覽表,['110600']
免費長者健康檢查醫療院所表,['110676']
兒童及少年安置教養機構,['111202']
兒童及少年收出養媒合服務單位,['110797']
兒童及少年福利服務中心,['110724']
兒童預防保健醫事機構,['110680']
兒童預防接種時程,['110645']
全縣各鄉鎮人口統計表,['110599']
公共哺集乳室,['110788']
公共圖書館一覽表,['110616']
公共場所AED心臟電擊器設置資訊,['110637']
公共藝術設置一覽表,['110617']
公告土地現值及公告地價,['129747']
公告地價及公告土地現值,['130141']
公私協力及私立托嬰中心,['110741']
公費流感合約院所名單,['110612']
公費流感抗病毒藥劑合約院所,['110638']
列冊中藥商,['110675']
卡介苗接種時間,['110611']
卡介苗接種服務單位,['110642']
印花稅徵收,"['110575', '110576', '110577', '110578', '129592', '129593', '129594', '129758', '129759', '129760', '129761', '129763', '129764', '129765', '130099', '130137']"
原住民部落文化健康站,['110846']
及所屬1、2級機關編制員額數,['110431']
友善餐廳,['110766']
口腔癌篩檢醫事機構,['110633']
可供申請醫療輔具補助表,['110687']
各年度公共債務數及每人負擔數,"['110626', '129555']"
各級機關學校公教人員概況-性別與年齡別,['110432']
各觀光遊憩區遊客人數統計(最新),['110587']
各鄉鎮市災害應變中心聯絡電話,['110596']
各項稅捐實徵淨額與預算數及上年同期比較,"['110438', '110443', '110444', '110446', '110447', '110449', '110450', '110452', '110453', '110455', '110456', '110458', '110459', '110461', '110462', '110464', '110465', '110468', '110469', '110897', '110904', '114869', '114870', '114874', '114875', '116005', '120845', '120846', '120853', '120854', '120859', '120860', '129622', '129623', '129630', '129631', '129641', '129744', '129753', '130130', '130139', '130140']"
各項稅捐本月實徵數簡報表,"['110440', '110445', '110448', '110451', '110454', '110457', '110460', '110463', '110466', '110467', '110890', '114871', '116008', '120844', '120852', '120858', '129621', '129629', '129639', '129743', '130138']"
各項稅收稽徵人力,"['110441', '114856', '120851']"
