資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
臺東縣政府暨所轄鄉鎮市公所公共債務訊息,26747,臺東縣政府暨所轄鄉鎮市公所公共債務訊息,臺東縣政府暨所轄鄉鎮市公所公共債務訊息,臺東縣政府
臺東縣最近5年地價稅稅源統計表,46490,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,一般用地;自用住宅用地;勞工宿舍用地;事業直接使用土地;公共設施保留地;空地,臺東縣稅務局
臺東縣最近5年土地增值稅稅源統計表,46637,臺東縣最近5年土地增值稅稅源統計表,自用住宅用地一般用地免稅用地,臺東縣稅務局
臺東縣最近5年房屋稅綜合統計表,52720,年度別; 合計戶數; 應稅戶數; 免稅戶數; 應稅面積; 免稅面積; 應稅現值; 免稅現值; 合計稅額; 本稅稅額,年度別;戶數合計;應稅總戶數;免稅總戶數;應稅總面積;免稅總面積;應稅總現值;免稅總現值;稅額合計;本稅;教育捐;,臺東縣稅務局
臺東縣最近5年契稅綜合統計表,52726,年度別; 應稅件數; 免稅件數; 應稅契價; 免稅契價; 應稅稅額; 免稅稅額,年度別;應稅件數;免稅件數;應稅契價;免稅契價;應稅稅額;免稅稅額,臺東縣稅務局
"臺東縣外籍配偶,新移民家庭服務中心",58996,106年度臺東縣福利服務行動躍升計畫OpenData資料收集,性質;主管機關;辦理單位;成立日期;立案文號;負責人;連絡電話;傳真;地址;相關網站;X坐標;Y坐標;備註;最後更新時間,臺東縣政府
臺東兒童及少年安置教養機構,67247,106年度臺東縣福利服務行動躍升計畫OpenData資料收集,性質;主管機關;辦理單位;成立日期;立案文號;負責人;連絡電話;傳真;電子郵件;地址;核准收托或安置人數;相關網站;X坐標;Y坐標;備註;最後更新時間,臺東縣政府
臺東兒童發展通報轉介中心,67250,106年度臺東縣福利服務行動躍升計畫OpenData資料收集,性質;主管機關;辦理單位;成立日期;立案文號;負責人;連絡電話;傳真;電子郵件;地址;相關網址;X坐標;Y坐標;備註;最後更新時間,臺東縣政府
臺東兒童及少年福利服務中心,67254,106年度臺東縣福利服務行動躍升計畫OpenData資料收集,性質;主管機關;辦理單位;成立日期;立案文號;負責人;連絡電話;傳真;電子郵件;地址;核准收托或安置人數;相關網址;X坐標;Y坐標;備註;最後更新時間,臺東縣政府
臺東早期療育服務個案管理中心,67255,106年度臺東縣福利服務行動躍升計畫OpenData資料收集,性質;主管機關;辦理單位;成立日期;立案文號;負責人;連絡電話;傳真;電子郵件;地址;相關網址;X坐標;Y坐標;備註;最後更新時間,臺東縣政府
臺東身心障礙住宿機構,67257,106年度臺東縣福利服務行動躍升計畫OpenData資料收集,性質;主管機關;辦理單位;成立日期;立案文號;負責人;連絡電話;傳真;電子郵件;地址;核定服務人數_全日型住宿;核定服務人數_夜間型住宿;核定服務人數_日間照顧;核定服務人數_部分時制照顧;核定服務人數_總計;相關網站;X坐標;Y坐標;備註;最後更新時間,臺東縣政府
臺東身心障礙福利機構,67263,106年度臺東縣福利服務行動躍升計畫OpenData資料收集,性質;主管機關;辦理單位;成立日期;立案文號;負責人;連絡電話;傳真;電子郵件;地址;相關網站;X坐標;Y坐標;備註;最後更新時間,臺東縣政府
臺東身心障礙福利日間照顧機構,67265,106年度臺東縣福利服務行動躍升計畫OpenData資料收集,性質;主管機關;辦理單位;成立日期;立案文號;負責人;連絡電話;傳真;電子郵件;地址;核定服務人數_全日型住宿人數;核定服務人數_夜間型住宿人數;核定服務人數_日間照顧人數;核定服務人數_部分時制照顧人數;核定服務人數_總計;相關網站;X坐標;Y坐標;備註;最後更新時間,臺東縣政府
臺東公設民營托育資源中心,67266,106年度臺東縣福利服務行動躍升計畫OpenData資料收集,主管機關;辦理單位;成立日期;連絡電話;傳真;電子郵件;地址;相關網站;X坐標;Y坐標;備註;最後更新時間,臺東縣政府
