105-108農地重劃區緊急農水路補助金額,['125996']
24小時急診院所,['108747']
2手輔具資源提供單位,['108742']
AED設置場所,"['93741', '108744']"
不動產經紀業名冊,['126399']
交通接送服務,"['93724', '108696']"
促進老人社會參與服務,['108758']
免費法律諮詢處,['108750']
兒童及少年安置教養機構,['92448']
兒童及少年福利服務中心,['92450']
兒童及少年安置教養機構,['108640']
兒童及少年收出養媒合服務單位,['108728']
兒童及少年福利服務中心,['108642']
公共哺集乳室,['108720']
公告土地現值資料,['123681']
公告地價,"['120017', '125971']"
公廁點位資訊,['88097']
公私協力及私立托嬰中心,['108673']
公私協力托育資源中心,['108672']
公私立協力及私立托嬰中心,['93707']
公私立協力托育資源中心,['93706']
勞工育樂中心,['108760']
卑南鄉105-108農地重劃區緊急農水路補助金額,['125991']
卑南鄉公告地價,['125974']
卑南鄉公辦市地重劃區開發成果統計表,['126313']
卑南鄉合法地政士開業資料,['126719']
卑南鄉土地公告現值資料,['125968']
卑南鄉市地重劃前後地段對照表,['126270']
原住民家庭服務中心,['93745']
原住民文化健康站,"['93738', '108749']"
友善餐廳,['108701']
台東市公辦市地重劃區開發成果統計表,['126308']
台東市合法地政士開業資料,['126716']
台東市市地重劃前後地段對照表,['126258']
台東縣地籍清理保管款專戶情形,['126728']
台東縣地籍清理流水編成果統計,['126729']
台東縣地籍清理第14類囑託登記國有土地清冊,['126733']
台東縣地籍清理第7類囑託登記國有土地清冊,['126730']
台東縣地籍清理第8類囑託登記國有土地清冊,['126732']
台東縣地籍清理第8類第2次標售價金保管款清冊,['126726']
台東縣政府地籍清理流水編清理年度時程規劃,['126734']
台東縣轄區內辦理地籍清理第8類(所有權人姓名住址不全不符)標售情形,['126696']
合法人力仲介公司名冊,['108754']
喘息服務提供單位,"['93728', '108700']"
單親家庭服務提供單位,"['93727', '108699']"
土地公告現值資料,['120014']
土壤及地下水監測,['87969']
地籍清理第14類標售價金保管款清冊,['126727']
"外籍配偶,新移民家庭服務中心",['58996']
大武鄉公告土地現值資料,['123572']
大武鄉公告地價,['125969']
大武鄉合法地政士開業資料,['126706']
太麻里鄉105-108農地重劃區緊急農水路補助金額,['126000']
太麻里鄉公告地價,['125970']
太麻里鄉公辦市地重劃區開發統計表,['126315']
太麻里鄉合法地政士開業資料,['126715']
太麻里鄉土地公告現值資料,['123674']
太麻里鄉市地重劃前後地段對照表,['126257']
失智症服務及資源提供單位,"['93735', '108715']"
娜路彎區段徵收抵價地標售成果統計表,['126294']
婦女福利服務中心,['93710']
婦女福利服務中心,['108680']
家庭、社會福利服務中心,['93715']
家庭、社會福利服務中心,['108686']
家庭暴力及性侵害防治中心,['93713']
家庭護理機構,['93733']
家庭暴力及性侵害防治中心,['108683']
實(食)物銀行,"['93719', '108691']"
就業服務據點,"['93732', '108712']"
居家托育服務單位,"['93720', '108692']"
居家護理機構,['108711']
居家復健提供單位,['108709']
市地重劃區抵費地標售成果資料,['126288']
延平鄉105-108農地重劃區緊急農水路補助金額,['125992']
延平鄉公告地價,['125975']
延平鄉合法地政士開業資料,['126720']
延平鄉土地公告現值資料,['124024']
志願服務推廣中心/志願服務協會,['108731']
急難救助提供單位,"['93726', '108698']"
愛心待用店,['108710']
成功鎮公告地價,['125972']
成功鎮公辦市地重劃區開發成果統計表,['126311']
成功鎮合法地政士開業資料,['126717']
成功鎮土地公告現值資料,['123686']
成功鎮市地重劃前後地段對照表,['126259']
成功鎮市地重劃區抵費地標售成果資料,['126289']
戒毒機構,['93743']
戒煙機構,['108746']
新住民家庭服務中心,"['93718', '108690']"
旅遊服務中心,['108757']
日間照顧中心,"['93712', '108682']"
早期療育服務個案管理中心,['92451']
早期療育服務通報轉介中心,['92449']
早期療育服務個案管理中心,['108643']
早期療育服務通報轉介中心,['108641']
暨所轄鄉鎮市公所公共債務訊息,['26747']
最近土地增值稅稅源統計表,"['46637', '86190', '99821', '118168']"
最近地價稅稅源統計表,"['46490', '79095', '99859', '118113']"
最近契稅綜合統計表,"['52726', '87304', '99854', '118144']"
最近房屋稅綜合統計表,"['52720', '87303', '99852', '118143']"
村里辦公室,['93736']
村里辦公室,['108726']
東河鄉公告地價,['125976']
東河鄉合法地政士開業資料,['126721']
東河鄉土地公告現值資料,['124029']
機動車輛排放空氣污染物檢查,['87967']
機車排氣檢驗站明細,['87963']
歷年農地重劃區,['126271']
池上鄉105-108農地重劃區緊急農水路補助金額,['125997']
池上鄉公告地價,['125973']
