資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
澎湖縣現住人口數按性別及原住民身分,113011,提供澎湖縣原住民人口數,區域別;性別;總計;區域人人口數;原住民合計;平地原住民;山地原住民,澎湖縣政府
澎湖縣政府無線上網熱點,113014,澎湖縣政府暨所屬所佈建無線網路服務地點,熱點類別;熱點名稱;熱點分類;建置年度;行政區;行政村里;地址;熱點緯度（Latitude）;熱點經度（Longitude）,澎湖縣政府
澎湖縣政府暨所屬機關通訊錄,113016,澎湖縣政府暨所屬機關通訊錄,機關名稱;機關分類;總機;傳真;值日室電話;地址,澎湖縣政府
澎湖縣政府行政機關辦公日曆表,113019,澎湖縣政府及所屬機關學校辦公日曆情形,date;name;isHoliday;holidayCategory;description,澎湖縣政府
澎湖縣婦幼安全警示地點資料,113022,提供近半年來易發生婦幼被害（強盜、搶奪、性侵害、妨害風化及傷害等）犯罪地點，或經民眾通報後，評估確為對婦幼安全堪虞之地點,No;Address;DeptNm;BranchNm,澎湖縣政府
澎湖縣政府警察局整理交通秩序成果統計表,113025,整理交通秩序成果統計,年度;月份;超速;無照駕駛;酒後開車;闖紅燈;淨牌專案;危險駕車;未戴安全帽;未繫安全帶;撥接行動電話;違規停車;違反路權;道路障礙;一般違規;合計,澎湖縣政府
澎湖縣母乳哺集乳室,113028,澎湖縣母乳哺集乳室地點,場所名稱;縣市;鄉-鎮-市-區;村-里;鄰;大道-路-街-地區;段;巷-弄-衖;號;樓（之）;室;電話;開放時間;開放時段;注意事項;設置依據,澎湖縣政府
澎湖縣健保藥局,113031,澎湖縣健保藥局名單,編號;藥商名稱;電話;地址;負責人;備註,澎湖縣政府
澎湖縣西藥房,113034,澎湖縣西藥房名冊,編號;藥商名稱;電話;地址;負責人;備註,澎湖縣政府
澎湖縣中藥房,113037,澎湖縣中藥房名冊,編號;藥商名稱;電話;地址;負責人;備註,澎湖縣政府
澎湖縣電動機車充電站,113043,澎湖縣電動機車充電站,鄉市別;澎湖縣能源補充設施設置地點;數量;地號,澎湖縣政府
澎湖縣政府農漁局108年度『澎湖縣受保護樹木』(珍貴老樹)清冊,113048,澎湖縣受保護樹木株數,編號;相關建築物或管理人姓名;樹種;樹齡（年）;樹直徑（公尺）;樹圍（公尺）;所在路段地址,澎湖縣政府
澎湖縣政府農漁局107年度『澎湖優鮮』標章推廣講習課程人數統計表,113052,『澎湖優鮮』標章推廣講習課程人數,上課日期;講師;養殖戶;各鄉市公所;一般民眾;農漁局;合計,澎湖縣政府
澎湖縣107年漁業從業人數,113055,澎湖縣107年各鄉市不同漁業種類的從業人數統計,所屬鄉市;漁業種類;經營模式;人數,澎湖縣政府
澎湖縣公共圖書館年度借閱統計資料,113059,澎湖縣公共圖書館年度借閱統計及分析資料,職業類別0-9類;農;工;商;公;服務;學生;無;自由業;其他,澎湖縣政府
澎湖生活博物館每月參觀人次統計資料,113063,澎湖生活博物館每月參觀人次統計資料,年度;月份;人數,澎湖縣政府
澎湖縣政府單一窗口服務櫃台受理申辦案件,113067,109年5月份單一窗口服務櫃台受理申辦案件,編號;承辦單位;申辦項目;文號;辦理天數;收件日期;限辦日期;查催日期;結案日期;承辦人員,澎湖縣政府
