1081卡通-敬老卡受理案件統計表,['113220']
108公園名冊,['113487']
67處漁港,['113488']
7美鄉人口年齡層統計,"['113071', '116125']"
7美鄉公告地價暨公告土地現值批次資料,"['113264', '117449']"
7美鄉公所對民間團體補(捐)助經費明細表,['113104']
7美鄉公所對鄉市民代表所提地方建設建議事項處理明細表,['113100']
7美鄉戶籍動態統計,"['113075', '116126']"
7美鄉海嘯災害臨時避難處一覽表,['113395']
7美鄉颱(洪)災害、地震災害避難收容場所一覽表,['113389']
「1999縣民服務專線」每日話務統計報表,['128712']
中山大學公共事務管理所澎湖班在職專班暨學分班學員人數統計表,['113169']
中藥房,['113037']
企(職)業工會名冊,['113362']
健保藥局,['113031']
公共圖書館年度借閱統計資料,['113059']
公共車船管理處交通船航班預定表,['113379']
公共車船管理處公車時刻表,['113405']
公共車船管理處行經機場公車時刻表,['113378']
公民營加油站清冊,['117347']
公立幼兒園名冊,['113342']
單1窗口服務櫃台受理申辦案件,['113067']
國中小通訊錄,['113343']
地名譯寫,['129942']
契稅徵收季報表,['113366']
婦幼安全警示地點資料,['113022']
抗病毒藥劑合約院所,['113164']
新生嬰兒營養代金受理案件統計表,['113224']
暨所屬機關通訊錄,['113016']
最近土地增值稅稅源統計表,['113367']
最近地價稅稅源統計表,['113402']
最近契稅綜合統計表,['113399']
最近房屋稅綜合統計表,['117348']
望安鄉人口年齡層統計,"['113370', '113400', '113484']"
望安鄉公告地價暨公告土地現值批次資料,"['113260', '117450']"
望安鄉戶籍動態統計,"['113371', '113401', '113485']"
望安鄉海嘯災害臨時避難處一覽表,['113393']
望安鄉颱(洪)災害、地震災害避難收容場所一覽表,['113388']
村、里、鄰、戶、人口與戶籍動態登記數,['113368']
林務公園管理所青青草園營造計畫執行年報表,['113486']
歷年委任公務人員晉升薦任官等訓練名冊,['113179']
歷年本府員工生活津貼支領金額統計表,['113184']
歷年模範公務人員,['113403']
歷年薦任公務人員晉升簡任官等訓練名冊,['113174']
母乳哺集乳室,['113028']
消防局119受理為民服務及其他案件件數統計表,['113364']
消防局出動消防人車次艇統計表,['113363']
湖西鄉人口年齡層統計,['113380']
湖西鄉休閒趣處,['128713']
湖西鄉公告地價暨公告土地現值批次資料,"['113248', '117453']"
湖西鄉戶籍動態統計,['113381']
湖西鄉海嘯災害臨時避難處一覽表,['113391']
湖西鄉災防訊息,['113374']
湖西鄉颱(洪)災害、地震災害避難收容場所一覽表,['113385']
漁業從業人數,"['113055', '120372']"
澎湖生活博物館每月參觀人次統計資料,['113063']
無線上網熱點,['113014']
現住人口數,"['113011', '128711']"
環保志工隊名,['113159']
白沙鄉人口年齡層統計,['113195']
白沙鄉公告地價暨公告土地現值批次資料,"['113252', '117454']"
白沙鄉公所各村簡介,['113096']
白沙鄉戶籍動態統計,['113200']
白沙鄉海嘯災害臨時避難處一覽表,['113392']
白沙鄉颱(洪)災害、地震災害避難收容場所一覽表,['113386']
社區發展協會名冊,['113361']
第2學期國民小學辦理兒童課後照顧服務班學校清單,['113443']
紅綠燈號誌位置一覽表,['113153']
經管國有土地清冊,['113337']
綠色商店,['113365']
縣有土地參與都市更新案件進度表,['113338']
縣有土地清冊,['113336']
縣有財產委託經營案件明細表,['113340']
縣有財產總目錄(近-),['113341']
育有未滿2歲兒童育兒津貼申請情形,['113404']
行政機關辦公日曆表,['113019']
西嶼鄉人口年齡層統計,['113434']
西嶼鄉公告地價暨公告土地現值批次資料,"['113256', '117452']"
西嶼鄉公所上半年對民間團體補捐助經費明細表(半年報),"['128715', '128717']"
西嶼鄉公所下半年對民間團體補捐助經費明細表(半年報),"['113240', '128716']"
西嶼鄉公所代表對地方建設建議經費,['113092']
西嶼鄉公所對民間團體補(捐)助經費明細表,['113088']
西嶼鄉垃圾清運路線時間,['113112']
西嶼鄉戶籍動態統計,['113383']
西嶼鄉海嘯災害臨時避難處一覽表,['113394']
西嶼鄉颱(洪)災害、地震災害避難收容場所一覽表,['113387']
西藥房,['113034']
警察局整理交通秩序成果統計表,['113025']
辦理縣有非公用土地設定地上權案(已簽約)一覽表,['113339']
農漁局『受保護樹木』(珍貴老樹)清冊,['113048']
農漁局『澎湖優鮮』標章推廣講習課程人數統計表,['113052']
通過餐飲衛生管理分級評核制度名單,['113890']
醫療機構清單,['113189']
電動機車充電站,['113043']
食品製造業清冊,['113377']
飲料製造業工廠清冊,['113376']
馬公市33里災害防救避難收容場所,['113079']
馬公市人口年齡層統計,"['113369', '113396', '113483', '117296']"
馬公市低收入戶及中低收入戶申請案件統計表,['113108']
馬公市公告地價暨公告土地現值批次資料,"['113871', '117451']"
馬公市公所最新債務訊息,['128714']
馬公市各里現住人口數,"['113375', '113398', '113482', '117295']"
馬公市戶籍動態統計,"['113372', '113397', '117294', '128718']"
馬公市海嘯災害臨時避難處一覽表,['113390']
馬公市清潔隊各清運路線時刻表,['113083']
馬公市特殊境遇家庭扶助申請案件統計表,['113147']
馬公市颱(洪)災害、地震災害避難收容場所一覽表,['113384']
