2手輔具資源提供單位,金門縣二手輔具資源提供單位,109816,提供二手輔具回收、交換、租借或媒合之單位,性質;資源彙整機關;辦理單位;連絡電話;傳真;電子郵件;地址;相關網址;X坐標;Y坐標;備註;最後更新時間<br>,社會處
AED設置場所,金門縣AED設置場所,109817,依據公共場所必要緊急救護設備管理辦法設置AED場所,場所名稱;放置地點;連絡電話;地址;相關網址;X坐標;Y坐標;備註;最後更新時間<br>,社會處
交通接送服務,金門縣交通接送服務,109788,協助中重度失能者滿足以就醫及使用長期照顧服務為主要目的交通服務需求,資源彙整機關;辦理單位;連絡電話;傳真;電子郵件;地址;服務區域;相關網址;X坐標;Y坐標;備註;最後更新時間<br><br>,社會處
人力資源調查報告,金門縣人力資源調查報告,97226,"金門縣勞動力就業狀況:探討勞動力、就業及失業之人數,以及行業、職業、從業身分、教育情形。",縣政統計人力資源調查報告公告機關承辦單位更新日期。,主計處
人口數統計表,107年12月份人口數統計表,97199,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣107年11月份人口數統計表,97201,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣107年10月份人口數統計表,97210,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣105年3月份人口數統計表,97221,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣105年1月份人口數統計表,97222,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣104年3月份人口數統計表,97223,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣105年6月份人口數統計表,97225,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣105年5月份人口數統計表,97228,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人,民政處
人口數統計表,金門縣105年2月份人口數統計表,97234,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣104年11月份人口數統計表,97236,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣104年10月份人口數統計表,97239,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣104年8月份人口數統計表,97240,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數<br>,民政處
人口數統計表,金門縣104年4月份人口數統計表,97241,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣105年7月份人口數統計表,97242,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣104年9月份人口數統計表,97243,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數<br>,民政處
人口數統計表,金門縣104年5月份人口數統計表,97246,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣104年7月份人口數統計表,97250,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣105年8月份人口數統計表,97252,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣105年4月份人口數統計表,97253,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣104年6月份人口數統計表,97256,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣105年9月份人口數統計表,97257,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣104年12月份人口數統計表,97258,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數,民政處
人口數統計表,金門縣107年9月份人口數統計表,97259,金門縣各鄉鎮村里人口數,村里別;鄰數;戶數;總人口數;男數;女數;出生;死亡;結婚;離婚;遷入;遷出人數<br>,民政處
