2手輔具資源提供單位,['109816']
AED設置場所,['109817']
交通接送服務,['109788']
人力資源調查報告,['97226']
人口數統計表,"['97199', '97201', '97210', '97221', '97222', '97223', '97225', '97228', '97234', '97236', '97239', '97240', '97241', '97242', '97243', '97246', '97250', '97252', '97253', '97256', '97257', '97258', '97259', '97260', '97261', '97262', '97263', '97264', '97265', '97275', '97276', '97277', '97278', '97287', '97289', '97290', '97291', '97293', '97294', '97295', '97297', '97298', '97299', '97300', '97301', '97302', '97303', '97304', '97305', '97306', '97312', '97313', '97314', '97315', '97316', '97327', '97332', '97333', '97339', '97341', '97342', '99622', '99696', '101529', '101810', '103343', '104872', '106777', '107777', '109052', '112989', '114156', '117297', '118890', '120251', '122224', '126815', '129945']"
優先採購廠商,['119722']
兒童及少年安置教養機構,['109766']
兒童及少年收出養媒合服務單位,['109805']
兒童及少年福利服務中心,['111208']
公共哺集乳室,['109801']
公告土地現值,['107089']
公告土地現值-烈嶼鄉-烏坵鄉,['115843']
公告土地現值-金城鎮,['115840']
公告土地現值-金寧鄉,['115842']
公告土地現值-金沙鎮,['115884']
公告土地現值-金湖鎮,['115841']
公告地價-烈嶼鄉-烏坵鄉,['115828']
公告地價-金城鎮,['115825']
公告地價-金寧鄉,['115827']
公告地價-金沙鎮,['115824']
公告地價-金湖鎮,['115854']
公布違反性別工作平等法事業單位及事業主名單,['118889']
公眾區免費無線上網熱點資料,['97200']
公私協力及私立托嬰中心,['109771']
公私協力托育資源中心,['109770']
公費流感抗病毒藥劑合約院所名冊,['97235']
公車站,['109822']
到宅沐浴車服務,['109826']
古蹟名冊,['97249']
各抽水站資訊,['97320']
合作社,['109834']
合法菸酒製造業者資料,['97266']
商業團體,['128479']
喘息服務提供單位,['109869']
單親家庭服務提供單位,['109791']
國民年金服務據點,['118431']
外籍移工仲介公司資訊,['118812']
失智症服務及資源提供單位,['109799']
姊妹縣市交流概況,['97321']
委託辦理老人收容照顧合約機構,['118593']
婦女團體,['109828']
婦女福利服務中心,['127417']
學校,['109821']
學校通訊資料,['97245']
宗教團體,['109838']
定古蹟永昌堂暨浯陽小學校修復及再利用計畫成果,['97267']
定古蹟王金城洋樓修復及再利用計畫成果,['97269']
定古蹟董允耀洋樓修復及再利用計畫成果,['97270']
定古蹟蔡厝蔡氏家廟修復及再利用計畫,['106708']
定古蹟陳期宰洋樓修復及再利用計畫成果,['97272']
定古蹟陽翟陳篤篾、陳篤浪古厝修復及再利用計畫成果報告,['97207']
家庭暴力及性侵害防治中心,['109777']
家庭社會福利服務中心,['109780']
實(食)物銀行,['109783']
就業服務據點,['109797']
居家復健提供單位,['109795']
居家托育服務單位,['109784']
居家護理機構,['109796']
工會,['109832']
工業團體,['128480']
復康巴士服務單位,['109808']
心智障礙者雙老家庭支持整合服務,['109825']
志願服務推廣中心,['109806']
急難救助提供單位,['109790']
成年心智障礙者及重度以上肢體障礙者社區居住與生活服務,['128192']
戒菸門診機構,['109835']
新住民家庭服務中心,['109782']
施政指標,['97248']
旅台金門同鄉會,['127418']
旅館、民宿名冊,['97317']
日間照顧中心,['109775']
早期療育服務個案管理中心,['111209']
早期療育服務通報轉介中心,['111207']
暨所屬協辦政風業務人員名冊,['97296']
村里人口數,['111037']
村里人口數統計表,"['129246', '129247']"
村里辦公室,['109803']
查獲涉嫌違反菸酒管理法案件數量統計表,['97247']
樂齡學習中心,['109836']
歷史建築列表,['97208']
歷史建築張文帝洋樓修復或再利用計畫成果報告,['97274']
歷史建築許金鐘洋樓修復或再利用計畫成果,['97271']
歷史建築鄭由整洋樓調查研究成果,['97268']
歷史道路挖掘核准資料,['104639']
段籍一覽圖,['97324']
流感疫苗合約院所資料,['97202']
消防局,['109820']
消防局各單位通訊錄,['97244']
消防局曾執行溺水案件水域,['97323']
無線網路熱點佈建位址,['109823']
無障礙廁所,['109793']
特殊教育學校、服務提供單位,['109792']
獨居老人服務單位,['109824']
環保團體,['109839']
環境教育人員認證名單,['97353']
環境教育設施場所,['97224']
社區活動中心,['109785']
社區照顧關懷據點,['109779']
社區照顧關懷據點加值辦理C級巷弄長照站,['127366']
社區發展協會,['109800']
社會團體,['128526']
社會團體名冊,['118891']
社會指標統計,['97255']
社會福利館,['109827']
禁菸公園綠地名單,['97254']
統計年報,"['97220', '97227']"
統計月報,"['97231', '97232']"
縣定古蹟藏興古厝調查研究成果,['97273']
老人在宅緊急救援連線服務提供單位,['118736']
老人定期共餐服務單位,['127367']
老人文康、福利服務中心,['109773']
老人會,['109829']
老人福利機構,['109772']
老人福利機構評鑑結果,['126427']
臨時暨短期照顧服務提供單位,['109811']
自由職業團體,['128478']
衛生所列表,['109818']
視覺障礙者生活重建服務單位,['109807']
警察局,['109819']
警察局服務據點,['97319']
警察局環島道路錄影監視系統位置表,['97292']
身心障礙住宿機構,['109767']
身心障礙團體,['109815']
身心障礙庇護工場,['109814']
身心障礙托育養護服務提供單位,['109789']
身心障礙日間服務機構,['109769']
身心障礙福利服務中心,['109768']
身心障礙福利機構評鑑結果,['126428']
身心障礙者主動關懷服務,['127867']
身心障礙者家庭托顧服務,['127958']
身心障礙者家庭照顧者支持服務,['127868']
身心障礙者手語翻譯服務提供單位,['118737']
身心障礙者牙醫醫療院所,['109813']
身心障礙者生涯轉銜服務提供單位,['109812']
身心障礙者社區式日間服務,['127866']
身心障礙者社區日間作業設施,['109809']
身心障礙者社區日間作業設施服務,['128065']
身心障礙者自立生活支持服務,['109841']
身心障礙者輔具費用補助代償墊付服務單位,['129521']
身心障礙鑑定醫院,['109794']
身心障礙餐飲服務提供單位,['109787']
輔具服務單位,['109776']
遊民收容所,['109837']
道路挖掘申請及施工中案件資料,['104642']
道路挖掘當日已核定或施工中資料,['104643']
道路挖掘督導專案清單,['104640']
道路挖掘缺失通報清單,['104641']
道路挖掘資料查詢API,['104638']
道路養護工作記錄資料API,['119129']
違反勞動基準法事業單位事業主名單,['118430']
避難收容所位置及收容人數,['109781']
鄉鎮市區公所,['109804']
醫療衛生團體,['109840']
金門施政計畫與報告,['21802']
長壽俱樂部,['109830']
長期照顧管理中心,['109798']
預防接種合約院所名冊及門診時間,['97318']
餐飲服務提供單位,['109786']
高風險家庭關懷輔導處遇服務提供單位,['109778']
高齡友善藥局,['109802']
