資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
連江縣各鄉村人口統計資料,44172,連江縣依鄉村別列示出生、遷出入、死亡與結婚等人口統計資料。,鄉別;村別;鄰數;戶數;合計人口數;男-人口數;女-人口數;遷入人口數;遷出人口數;出生人口數;死亡人口數;結婚人口數;離婚人口數,連江縣政府
連江縣政府105年度對議員所提地方建設建議事項處理明細表,47497,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,議員所提地方建設建議事項處理明細表,連江縣政府
連江縣政府104年度對議員所提地方建設建議事項處理明細表,47500,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,104年度對議員所提地方建設建議事項處理明細表,連江縣政府
連江縣政府103年度對議員所提地方建設建議事項處理明細表,47504,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,議員所提地方建設建議事項處理明細表,連江縣政府
連江縣政府102年度對議員所提地方建設建議事項處理明細表,47505,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,議員所提地方建設建議事項處理明細表,連江縣政府
連江縣政府101年度對議員所提地方建設建議事項處理明細表,47588,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,連江縣政府101年度對議員所提地方建設建議事項處理明細表,連江縣政府
連江縣政府100年度對議員所提地方建設建議事項處理明細表,47589,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,連江縣政府100年度對議員所提地方建設建議事項處理明細表,連江縣政府
連江縣人民團體名冊106年5月,47594,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,"人民團體稱,核準立案字號,成立日期,理事長負責人,地址,電話,聯絡人,團體類別,任期",連江縣政府
連江縣106年6月各鄉村人口數,48008,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,連江縣106年6月各鄉村人口數,連江縣政府
連江縣流感抗病毒藥劑合約配置點,76061,提供連江縣流感抗病毒藥劑配置點，以利民眾查詢。,十碼章;醫院名稱;縣市別;行政區;郵遞區號;地址;聯絡電話;座標緯度;座標經度;備註,連江縣衛生福利局
連江縣108年流感疫苗計畫公費(含自費)合約院所名冊,91927,提供連江縣108年流感疫苗計畫公費(含自費)合約院所名冊，方便民眾查詢,,連江縣衛生福利局
90-106連江縣離建基金年度補助計畫名稱金額及統計,94388,90-106連江縣離建基金年度補助計畫名稱金額及統計,,連江縣政府
107年施政計畫報告預算,94526,107年施政計畫報告預算,,連江縣政府
106年連江縣家庭收支調查報告,94528,106年連江縣家庭收支調查報告,,連江縣政府
連江縣政府107年上半年議員建議事項情形表,94530,連江縣政府107年上半年議員建議事項情形表,,連江縣政府
107年6月違反勞動基準法事業單位,94531,107年6月違反勞動基準法事業單位,,連江縣政府
107年5月違反勞動基準法事業單位,94532,107年5月違反勞動基準法事業單位,,連江縣政府
107年5-6月違反性別工作平等法事業單位,94534,107年5-6月違反性別工作平等法事業單位,,連江縣政府
107年3月-4月違反性別工作平等法事業單位,94535,107年3月-4月違反性別工作平等法事業單位,,連江縣政府
107年施政計畫報告預算核定版,94536,107年施政計畫報告預算核定版,,連江縣政府
107年10月人口統計,94539,107年10月人口統計,,連江縣政府
連江縣107年9月各鄉人口數,94541,連江縣107年9月各鄉人口數,,連江縣政府
連江縣107年8月各鄉人口數,94542,連江縣107年8月各鄉人口數,,連江縣政府
產業發展處預告統計資料發布時間表1070110,94543,產業發展處預告統計資料發布時間表1070110,,連江縣政府
教育處預告統計資料發布時間表1070110,94544,教育處預告統計資料發布時間表1070110,,連江縣政府
財政稅務局預告統計資料發布時間表1070110,94545,財政稅務局預告統計資料發布時間表1070110,,連江縣政府
政風處預告統計資料發布時間表1070110,94547,政風處預告統計資料發布時間表1070110,,連江縣政府
行政處預告統計資料發布時間表1070110,94548,行政處預告統計資料發布時間表1070110,,連江縣政府
交通旅遊局預告統計資料發布時間表1070110,94552,交通旅遊局預告統計資料發布時間表1070110,,連江縣政府
民政處預告統計資料發布時間表1070110,94554,民政處預告統計資料發布時間表1070110,,連江縣政府
主計處預告統計資料發布時間表1070110,94555,主計處預告統計資料發布時間表1070110,,連江縣政府
文化處預告統計資料發布時間表1070110,94556,文化處預告統計資料發布時間表1070110,,連江縣政府
工務處預告統計資料發布時間表1070110,94560,工務處預告統計資料發布時間表1070110,,連江縣政府
人事處預告統計資料發布時間表1070110,94562,人事處預告統計資料發布時間表1070110,,連江縣政府
107年度連江縣總預算,94563,107年度連江縣總預算,,連江縣政府
107年第3季為民服務執行管制表,94564,107年第3季為民服務執行管制表,,連江縣政府
107年第2季為民服務執行管制表,94565,107年第2季為民服務執行管制表,,連江縣政府
107年第1季為民服務執行管制表,94567,107年第1季為民服務執行管制表,,連江縣政府
107年度政府對民間團體補(捐)助經費表上半年-連江縣政府,94568,107年度政府對民間團體補(捐)助經費表上半年-連江縣政府,,連江縣政府
107年施政計畫報告,94569,107年施政計畫報告,,連江縣政府
連江縣公彩季報表107第2季,94571,連江縣公彩季報表107第2季,,連江縣政府
107年度公益彩券盈餘分配數補助各團體運用情形表_第2季,94572,107年度公益彩券盈餘分配數補助各團體運用情形表_第2季,,連江縣政府
連江縣公彩季報表107第1季,94573,連江縣公彩季報表107第1季,,連江縣政府
107年度公益彩券盈餘分配數補助各團體運用情形表_第1季,94574,107年度公益彩券盈餘分配數補助各團體運用情形表_第1季,,連江縣政府
統計刊物106年連江縣家庭收支調查報告,96337,106年連江縣家庭收支調查報告,,連江縣政府
統計刊物107年11月各鄉村人口數,96338,107年11月各鄉村人口數,,連江縣政府
106年度政府對民間團體補(捐)助經費表-連江縣政府,96344,106年度政府對民間團體補(捐)助經費表-連江縣政府,,連江縣政府
107年度公益彩券盈餘分配數補助各團體運用情形表_第3季,96345,107年度公益彩券盈餘分配數補助各團體運用情形表_第3季,,連江縣政府
連江縣公彩季報表107第3季,96346,連江縣公彩季報表107第3季,,連江縣政府
107年7-8月違反性別工作平等法事業單位,96347,107年7-8月違反性別工作平等法事業單位,,連江縣政府
107年9-10月違反性別工作平等法事業單位,96348,107年9-10月違反性別工作平等法事業單位,,連江縣政府
統計刊物107年5月統計通報(連江縣106年商業登記數及資本額),96358,107年5月統計通報(連江縣106年商業登記數及資本額),,連江縣政府
統計刊物106年人力資源調查統計表,96359,106年人力資源調查統計表,,連江縣政府
統計刊物105年人力資源調查報告,96360,105年人力資源調查報告,,連江縣政府
107年7月各鄉村人口數,96361,107年7月各鄉村人口數,,連江縣政府
連江縣107年6月各鄉人口數,96363,連江縣107年6月各鄉人口數,,連江縣政府
連江縣107年5月各鄉人口數,96364,連江縣107年5月各鄉人口數,,連江縣政府
連江縣107年4月各鄉村人口數,96365,連江縣107年4月各鄉村人口數,,連江縣政府
連江縣各鄉村人口統計資料,109169,連江縣各鄉村人口統計資料,,連江縣政府
連江縣違反性別工作平等法事業單位,112886,連江縣違反性別工作平等法事業單位,,連江縣政府
連江縣109年度公告土地現值與公告地價,114030,連江縣109年度公告土地現值與公告地價 公告土地現值於每年1月1日公佈，公告地價每2年重新辦理規定地價，並於1月1日起為期1個月，接受民眾申請辦理申報地價。,,連江縣地政局
109年連江縣公告土地現值與公告地價(查詢),114339,109年連江縣公告土地現值與公告地價 提供查詢109年連江縣各鄉公告土地現值與公告地價,縣市別;鄉別;段別;地號;面積;公告現值;公告地價,連江縣地政局
連江縣108年下期都市土地地價指數,114632,本期地價總指數較上期下跌0.42％，住宅區、商業區地價分別較上期上漲0.3％及下跌1.59％。本縣積極推動觀光行銷，加上持續推動各項重大土地開發案及公共設施建設，除保存馬祖傳統的民俗文化及活化軍事廢棄營區，並且運用現代化科技發展觀光資源，使生活環境呈現多元化發展，更提升觀光競爭的軟實力，惟整體不動產交易因受限交通、天候(離島特殊性)等條件，，致交易動能有停滯現象，本期整體地價變動幅度持平。,,連江縣地政局
連江縣108年第4季地價動態分析10-12月,126583,連江縣108年第4季各鄉買賣案件地價動態分析(10-12月),,連江縣地政局
連江縣109年第1季買賣實例地價動態分析1-3月,126586,連江縣109年第1季各鄉買賣實例地價動態分析1-3月,,連江縣地政局
新制實價登錄懶人包,126589,新制實價登錄將於109年7月1日實施，以利民眾明瞭申報新制措施及申報方式。,,連江縣地政局
108年連江縣地價及標準地價評議委員會第一次會議紀錄,126901,108年基準地新增4點維護點8點，合計共12點。使每鄉住宅區、商業區均有至少1點，作為往後地價調整之參考。,,連江縣地政局
108年連江縣地價評議會第2次會議紀錄,126932,109年之公告土地現值及辦理109年重新規定地價，相關之現值、地價、市價提交連江縣地價及標準地價委員會評議,,連江縣地政局
連江縣地政局新制實價登錄宣導簡報,127284,去(108)年7月修正公布的「平均地權條例」，將申報登錄申報責任回歸買賣雙方，申報時間也改為買賣移轉登記時一併申報。內政部表示，行政院日前已核定這項新制自今(109)年7月1日起施行，新制施行後，對於價格資訊如有申報不實，將直接處3萬至15萬元罰鍰，請民眾申報時務必詳加確認，以免受罰。,,連江縣地政局
109年流感疫苗計畫公費(含自費)合約院所名冊,130126,109年流感疫苗計畫公費(含自費)合約院所名冊,,連江縣衛生福利局
