90-106離建基金年度補助計畫名稱金額及統計,['94388']
下期都市土地地價指數,['114632']
主計處預告統計資料發布時間表,['94555']
交通旅遊局預告統計資料發布時間表,['94552']
人事處預告統計資料發布時間表,['94562']
人口統計,['94539']
人民團體名冊,['47594']
公告土地現值與公告地價,['114030']
公告土地現值與公告地價(查詢),['114339']
公彩季報表,"['94571', '94573', '96346']"
公益彩券盈餘分配數補助各團體運用情形表,"['94572', '94574', '96345']"
各鄉人口數,"['94541', '94542', '96363', '96364']"
各鄉村人口數,"['48008', '96361', '96365']"
各鄉村人口統計資料,"['44172', '109169']"
地價動態分析,['126583']
地價及標準地價評議委員會第1次會議紀錄,['126901']
地價評議會第2次會議紀錄,['126932']
地政局新制實價登錄宣導簡報,['127284']
家庭收支調查報告,['94528']
對議員所提地方建設建議事項處理明細表,"['47497', '47500', '47504', '47505', '47588', '47589']"
工務處預告統計資料發布時間表,['94560']
政府對民間團體補(捐)助經費表,['96344']
政府對民間團體補(捐)助經費表上半年,['94568']
政風處預告統計資料發布時間表,['94547']
教育處預告統計資料發布時間表,['94544']
文化處預告統計資料發布時間表,['94556']
新制實價登錄懶人包,['126589']
施政計畫報告,['94569']
施政計畫報告預算,['94526']
施政計畫報告預算核定版,['94536']
民政處預告統計資料發布時間表,['94554']
流感抗病毒藥劑合約配置點,['76061']
流感疫苗計畫公費(含自費)合約院所名冊,"['91927', '130126']"
為民服務執行管制表,"['94564', '94565', '94567']"
產業發展處預告統計資料發布時間表,['94543']
統計刊物人力資源調查報告,['96360']
統計刊物人力資源調查統計表,['96359']
統計刊物各鄉村人口數,['96338']
統計刊物家庭收支調查報告,['96337']
統計刊物統計通報(商業登記數及資本額),['96358']
總預算,['94563']
行政處預告統計資料發布時間表,['94548']
議員建議事項情形表,['94530']
財政稅務局預告統計資料發布時間表,['94545']
買賣實例地價動態分析,['126586']
違反勞動基準法事業單位,"['94531', '94532']"
違反性別工作平等法事業單位,"['94534', '94535', '96347', '96348', '112886']"
