1032里防災避難地圖,新北市29區1032里防災避難地圖,124713,新北市各里防災避難地圖網址清單,Area;Village;Number;Link;Caption,新北市政府消防局
1999市政快速服務各機關案件統計表,新北市政府1999市政快速服務各機關案件統計表,125250,新北市政府1999市政快速服務各機關案件統計表(統計期間: 100年4月15日至109年8月),No;Department;CaseNumber;Ratio,新北市政府研究發展考核委員會
1999市政服務專線便民服務工作成果表,新北市1999市政服務專線便民服務工作成果表,123693,新北市1999市政服務專線便民服務工作成果表(統計期間：109年8月),field1;field2;field3;field4;field5,新北市政府研究發展考核委員會
1999市政服務專線快速服務項目,新北市政府1999市政服務專線快速服務項目,124778,新北市政府1999市政服務專線快速服務項目(109年6月1日修正),field1;field2;field3,新北市政府研究發展考核委員會
1999市政服務專線精進計畫,新北市政府1999市政服務專線精進計畫,124205,新北市政府1999市政服務專線精進計畫(105年5月16日北府研服字第1050881261號修正，計畫修正時始更新。),field1;field2;field3,新北市政府研究發展考核委員會
1999話務中心客服人員滿意度指標,1999話務中心客服人員滿意度指標,125024,1999話務中心客服人員滿意度指標(調查期間:109年1月1日至109年6月30日),Index;Satisfaction,新北市政府研究發展考核委員會
1級機關分層負責明細表,新北市政府一級機關分層負責明細表,123858,新北市政府一級機關分層負責明細表，主要欄位包含承辦機關（單位）、公務項目及內容、決行權責、會辦機關（單位）,unit;item;content;decisionLevel4;decisionLevel3;decisionLevel2;decisionLevel1;coUnit;note,新北市政府人事處
2級機關分層負責明細表,新北市政府二級機關分層負責明細表,125330,新北市政府二級機關分層負責明細表，主要欄位包含承辦單位、公務項目及內容、決行權責、會辦機關（單位）,unit;item;content;decisionLevel4;decisionLevel3;decisionLevel2;decisionLevel1;coUnit;note,新北市政府人事處
2重疏洪道兩側重劃區土地標售成果一覽表,104年度二重疏洪道兩側重劃區土地標售成果一覽表,123527,104年度二重疏洪道兩側重劃區土地標售成果一覽表,Bid_Number;District;Section;Land_Codes;Area;Unit_Price;Total_Price;Bidder,新北市政府地政局
30層以下房屋構造標準單價(至30日適用),新北市30層以下房屋構造標準單價(103年7月1日至109年6月30日適用),125651,"103年7月1日至109年6月30日適用；單位元/平方公尺；備註：全棟房屋係以該房屋之構造、總樓層數及用途，各層適用同一標準單價。例如：構造為鋼筋混凝土造，總樓層數為5層，用途為住宅(第3類)之房屋，其1-5層適用之標準單價皆為5,040元。",field1;field2;field3;field4;field5;field6;field7;field8;field9;field10;field11;field12;field13;field14;field15;field16;field17,新北市政府財政局
30層以下房屋構造標準單價表(以前適用),新北市30層以下房屋構造標準單價表(103年6月30日以前適用),125236,103年6月30日前適用；單位：元/平方公尺,field1;field2;field3;field4;field5;field6;field7;field8;field9;field10;field11;field12;field13;field14;field15;field16;field17,新北市政府財政局
31層以上房屋構造標準單價表(以前適用),新北市31層以上房屋構造標準單價表(103年6月30日以前適用),124017,103年6月30日前適用；單位：元/平方公尺；備註：本表以每3層為一級距，31層至60層每3層每平方公尺加價200元，61層至90層每3層每平方公尺加價160元，91層至105層每平方公尺加價140元。,field1;field2;field3;field4;field5;field6;field7;field8;field9,新北市政府財政局
31層以上房屋構造標準單價表(以後適用),新北市31層以上房屋構造標準單價表(103年7月1日以後適用),124166,103年7月1日起適用；單位：元/平方公尺；備註：本表以每3層為一級距，31層至60層每3層每平方公尺加價400元，61層至90層每3層每平方公尺加價320元，91層以上每3層每平方公尺加價280元。,field1;field2;field3;field4;field5;field6;field7;field8;field9,新北市政府財政局
3星等以上衛生安全製茶廠名冊,新北市3星等以上衛生安全製茶廠名冊,125243,108年度為評鑑年，本市共有30家製茶廠獲評為3星至5星等,factory_id;district;rating;factory_name;factory_owner;phone_number;address;offer_exp_travel;exp_travel_type;recommended_season;tea_product;award;official_link;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府農業局
3環3線+3線之各線建設狀態,三環三線+三線之各線建設狀態,124224,本計畫係由臺北都會區捷運路網已通車、興建中及規劃中之捷運路線所構成，建設完成後於本市境內建構而成之捷運路網。,Name;MRT_route;Progress;Status,新北市政府捷運工程局
3環3線興建中捷運路線進度及說明,三環三線興建中捷運路線進度及說明,122983,本計畫係由臺北都會區捷運路網已通車、興建中及規劃中之捷運路線所構成，建設完成後於本市境內建構而成之捷運路網。,Name;MRT_route;Progress;Percent;Explain,新北市政府捷運工程局
