1032里防災避難地圖,['124713']
1999市政快速服務各機關案件統計表,['125250']
1999市政服務專線便民服務工作成果表,['123693']
1999市政服務專線快速服務項目,['124778']
1999市政服務專線精進計畫,['124205']
1999話務中心客服人員滿意度指標,['125024']
1級機關分層負責明細表,['123858']
2級機關分層負責明細表,['125330']
2重疏洪道兩側重劃區土地標售成果一覽表,['123527']
30層以下房屋構造標準單價(至30日適用),['125651']
30層以下房屋構造標準單價表(以前適用),['125236']
31層以上房屋構造標準單價表(以前適用),['124017']
31層以上房屋構造標準單價表(以後適用),['124166']
3星等以上衛生安全製茶廠名冊,['125243']
3環3線+3線之各線建設狀態,['124224']
3環3線興建中捷運路線進度及說明,['122983']
3環3線規劃中路網說明,['123115']
3環6線施政成果,['122920']
A1道路交通事故-未滿12歲兒童統計,"['123707', '124659', '125161', '125295']"
A1道路交通事故-機車傷亡者與戴用安全帽關係統計,"['124496', '125009', '125019', '125843']"
A1道路交通事故-死亡年齡與行動狀態統計,"['123756', '123882', '124051', '124140']"
A1道路交通事故-發生時間與第1當事者酒後駕車肇事分析統計表,['125840']
A1道路交通事故-第1當事者使用行動電話分析統計,"['124356', '124663', '124938', '125570']"
A1道路交通事故-第1當事者車輛用途,"['123630', '124549', '124970', '125400']"
A1道路交通事故-第1當事者飲酒情形,"['123337', '124675', '124984', '125716']"
A1道路交通事故-駕駛人年齡分布統計,"['123854', '124589', '124978', '125845']"
A1類交通事故資料,"['123289', '124856', '125706', '125914']"
A2道路交通事故,"['123461', '125657', '125749']"
A2道路交通事故-受傷年齡與行動狀態統計,"['123925', '123945', '124628', '124782']"
A2道路交通事故-未滿12歲兒童統計,"['123603', '124158', '124207', '126037']"
A2道路交通事故-機車傷亡者與戴用安全帽關係統計,"['123743', '124498', '124882', '125212']"
A2道路交通事故-發生時間與第1當事者酒後駕車肇事分析統計表,['124020']
A2道路交通事故-第1當事者使用行動電話分析統計,"['123894', '124047', '124884', '124903']"
A2道路交通事故-第1當事者車輛用途,"['123665', '123967', '125085', '125225']"
A2道路交通事故-第1當事者飲酒情形,"['123864', '125086', '125162', '125334']"
A2道路交通事故-駕駛人年齡分布統計,"['123770', '123814', '124935', '125525']"
A2類交通事故資料,"['124868', '125467', '125582']"
NewTaipei熱點,"['123358', '123397', '123404', '123555', '123580', '123584', '123726', '123791', '123861', '123994', '124076', '124116', '124149', '124287', '124446', '124547', '124651', '124676', '124895', '124910', '125049', '125130', '125201', '125283', '125346', '125618', '125623', '125661', '125921', '125925']"
iMAP可供認養綠美化土地環境主題,['124685']
「孕婦乙型鏈球菌篩檢補助服務方案」特約院所名單,['124862']
「心靈小綠洲講座」辦理情形,['123447']
「新手爸媽講座」辦理情形,['123757']
「潛伏結核感染治療指定醫院」IGRA服務時間,['125499']
一般護理之家清冊,['123642']
三重地政事務所新舊地號對照表,"['123909', '124484', '125363']"
三重地政事務所新舊建號對照表,['125769']
不動產實價登錄資訊-租賃案件,"['123773', '124220', '124487', '126132', '127315', '127316', '127317', '127319', '127320', '127322', '127323', '127324', '127862', '130275', '130279', '130280']"
不動產實價登錄資訊-買賣案件,"['123297', '123543', '123765', '124178', '124305', '124615', '124634', '124738', '124806', '124852', '125025', '125192', '125345', '125395', '125476', '125538', '125603', '125688', '125729', '125752', '126350', '127362', '130272', '130273', '130274', '130276', '130281']"
不動產實價登錄資訊-預售屋案件,['127843']
不動產概況,['123353']
不動產經紀業裁罰,['125419']
中低收入戶人數及生活扶助,['123862']
中低收入老人生活津貼與老農津貼,['124693']
中和地政事務所新舊地號對照表,['125748']
中和地政事務所新舊建號對照表,['124243']
中程施政計畫,['124120']
中藥材販賣藥商名冊,['124777']
中醫一般科醫療機構,['124470']
乳房X光攝影檢查,['123655']
乳房攝影檢查認證機構清冊,['124821']
事業廢棄物再利用者登記資料,['123755']
交通違規取締統計,"['124580', '125144', '125590', '125604', '125791']"
交通限高資訊,['124172']
人口年齡分配,['125126']
人口概況,['125737']
人口消長,['126054']
代為標售地籍清理土地及建物公告清冊,['125253']
代為標售地籍清理土地及建物開標結果一覽表,['124849']
低收入戶人數及生活扶助,['125911']
低收入戶老人機構安置補助暨老人保護安置合約機構名冊,['125802']
住宅補貼申請,['124326']
住宅諮詢審議委員會委員名單(最新),['125779']
使用牌照稅稅源,['124037']
依土地法第73條之1移交財政部國有財產署辦理標售一覽表,['124019']
依性別工作平等法申訴案件,['125445']
依性別平等教育法申訴案件-被行為人學校程度別,['123972']
依法應設置哺集乳室清冊,['125055']
候詢嫌疑犯暨被拘留人犯數,['123850']
偏遠地區巡迴醫療服務承作醫療院所之巡迴地點及時段一覽表,"['123428', '123458', '123739', '123985', '124284', '124390', '124650', '124692', '124916', '125273', '125403', '125435']"
健保特約藥局名單,['125037']
債務情形,['124288']
兒少犯罪,['125451']
兒科醫療機構,['123294']
兒童保健塗氟機構,['124319']
兒童刑事案件嫌疑犯,['125191']
兒童及少年安置及教養機構,['123467']
兒童及少年福利服務概況,['123451']
兒童預防保健醫事機構,['124597']
兒童預防接種時程,['125816']
內信用合作社本、分支機構數(更新至),['125321']
內政部臺閩地區考古遺址,['125719']
內科醫療機構,['125775']
內農漁會信用部本、分支機構數(更新至),['124211']
全國經濟,['123737']
全民造林及獎勵造林辦理情形,['123102']
全面跨區服務各區公所受理各類案件統計,['124426']
八里垃圾焚化廠營運管理,['123651']
公共場所AED設置資訊,['125699']
公共安全聯合稽查嚴重違規場所,['124115']
公共托老中心(含日照中心),['123720']
公共托老中心(含日照中心)-據點式,['125071']
公共托老中心(含日照中心)-機構式,['124176']
公共托老中心(含日照中心)-社區式,['123355']
公共托育中心名冊,['126222']
公共自行車租借站及價格(新版),['125585']
公共自行車租賃系統(YouBike),['123026']
公共藝術,"['123324', '123541', '123585', '123601', '123829', '123871', '123890', '123995', '124081', '124216', '124303', '124366', '124438', '124661', '124741', '124788', '124972', '125040', '125164', '125396', '125483', '125761', '125896', '126065']"
公共藝術beacon設置點一覽表,['124578']
公共親子中心,['123449']
公務人員平時獎懲情形,['124939']
公司、商業及工廠登記負責人,['123399']
