資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
臺中市藝術家,81265,收錄臺中市最具代表性之資深藝術創作者，包含各媒材如油畫、水彩、膠彩、墨彩、書法、雕塑、等。摘錄自105年出版之「臺中美術地圖－走讀臺中美術家的生命史」。,編號;藝術家;媒材類別;出生年,臺中市政府文化局
臺中市合法旅館,81426,臺中市轄區內合法旅館,序號;旅館名稱;地址;房間數,臺中市政府觀光旅遊局
臺中市大肚都市計畫區一千分之一地形圖_TWD97,81437,約2009年地測,cad檔案無欄位,臺中市政府都市發展局
臺中市道路中心線_WGS84,81438,"原臺中市現場地面測量,wgs84",ID;圖名代碼;路名;地區;巷;弄;單雙向;左向車道數;右向車道數;速限;路寬;區分級別;長度;更新年度;備註;length,臺中市政府建設局
臺中市建物_TWD97,81535,"臺中市現場地面測量,twd97",ID;圖名代碼;房屋型態碼;房屋結構碼;建物樓層數;更新年度;備註;值;TxtMemo,臺中市政府都市發展局
臺中市市區公車站牌資料,81555,該資料集提供民眾民眾各路線各站牌路線資訊，包含站牌中文名稱、站牌英文名稱、站序及站牌經緯度資訊供民眾參考使用。,路線;路線名稱;站序;中文站點名稱;經度;緯度;去回;英文站點名稱,臺中市政府交通局
臺中市長青福利服務-長青快樂學堂(日間托老所),81564,主要服務對象為設籍或實際居住於臺中市，年滿65歲以上，生活能自理或身體輕度失能、行動方便之長輩，並於每週一至週五提供每天至少6小時不同的文康休閒課程、餐飲服務、醫療保健諮詢、家庭支持性方案、創新活動等。辦理單位名冊請上社會局網站-老人福利-休閒教育-日間托老(長青快樂學堂)項下下載。,性質;單位名稱;負責人;聯絡人;連絡電話;傳真;電子郵件;地址;X坐標;Y坐標;服務時間;相關網址;備註;最後更新時間;行政區;簡介;服務對象;容納人數;機構類型,臺中市政府社會局
臺中市政府代為標售地籍清理未能釐清權屬土地開標結果清冊,81631,臺中市政府辦理神明會名義登記土地、日據時期會社或組合名義登記土地、土地總登記時登記名義人姓名、名稱或住址記載不全或不符土地之清理利主體不明土地等4類型地籍清理土地代為標售結果。,行政區;地段;地號;面積_平方公尺;權利範圍;標售底價_元;得標總價_元;開標日期,臺中市政府地政局
臺中市建物第一次登記統計,81637,統計本市經地政機關核准之所有土地建物登記資料，建物所有權之第一次登記（總登記） 案件。（截至109年8月）,機關代碼;縣市代碼;行政區域代碼;年月;棟數;建物面積,臺中市政府地政局
107年臺中市假牙裝置補助計畫合約診所名單,81719,107年臺中市假牙裝置補助計畫合約診所名單,序號;診所名稱;區別;地址;電話,臺中市政府衛生局
109年臺中市戒菸服務合約醫事機構名單(109.02),81720,提供臺中市戒菸服務合約醫事機構名單，請有戒菸需求民眾可查詢戒菸院所，就近接受戒菸治療及戒菸衛教服務，及早戒除菸癮。,ROW_NO;機構代碼;機構層級;機構名稱;機構電話;機構地址;給藥;衛教,臺中市政府衛生局
臺中市毒品防制資源表,81721,臺中市政府毒品危害防制中心所提供有關於戒癮轉介、社會福利轉介及就業轉介等相關資訊。,項目名稱;單位名稱;聯絡電話;地址;備註,臺中市政府衛生局
臺中市精神醫療資源,81722,臺中市精神醫療資源,機構名稱;聯絡電話;聯絡地址,臺中市政府衛生局
臺中市執行兒童牙齒塗氟服務院所名單,81725,臺中市執行兒童牙齒塗氟服務院所名單,編號;醫事機構名稱;地址;電話,臺中市政府衛生局
臺中市104年10-12月份夜市、傳統市場、攤販、學校及餐飲業高風險食材或原物料抽驗結果,81728,公告臺中市104年10-12月份夜市、傳統市場、攤販、學校及餐飲業高風險食材或原物料抽驗結果,序號;序號2;抽驗販售業者名稱;地址;樣品名稱;檢驗項目;檢驗結果,臺中市政府衛生局
