資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
無線上網熱點列表,6174,本資料集提供tainan與itaiwan無線上網熱點列表。,熱點類別;熱點名稱;熱點分類;建置年度;行政區;行政里;地址;熱點緯度;熱點經度,研究發展考核委員會
臺南市政府道路挖掘案件資料,6176,提供臺南市境內道路挖掘案件資料，相關資訊網站https://diggis.tainan.gov.tw/TNRoad/,TOWN_CODE;TOWN_NAME;AC_NO;CASE_ID;CONST_NAME;LOCATION;A_UN;ABE_DA;AEN_DA;ADG_DA;DACO_TI;AREA_TA;UN_NA;UR_NA;UR_DR;UR_TI;PURP;PH_URLS;DG_STATUS;CL_DA;CHG_TYPE;CBE_DA;CEN_DA;LASTMOD;POLY_LIST;StatDesc,臺南市政府工務局
臺南市政府工務局在建工程列表,6177,提供工務局在建工程基本資料。,編號;工程名稱;承辦單位;工期;開工日期;地區,臺南市政府工務局
臺南市私立托嬰中心名冊暨收費標準一覽表,6178,私立托嬰中心名冊暨收費標準一覽表,編號;區別;中心名稱;地址;電話;核准收托人數;每學期註冊費;月費;每月副食品費;每學期保險費;準公共化單位,臺南市政府社會局
臺南市兒少安置機構名冊,6179,本資料集提供臺南市兒少安置機構列表,安置機構;公/私立;立案;安置兒童數;電話;傳真;行政區;地址;緯度;經度<br>,臺南市政府社會局
公園基本資料,6182,本資料集提供公園基本資料,公園名稱;編號;里別;面積;類別;座落位置;使用分區;維護管理單位;所在轄區;X座標;Y座標;行政區;GOOLGE地圖連結;經度;緯度;期程,臺南市政府工務局
臺南景點,6183,本資料集提供臺南市景點列表。 如使用 Microsoft Excel 打開 CSV 檔案是亂碼時，是因為 Excel 無法預設讀取 UTF-8 編碼的 CSV 檔案，解決方式如下： 請參照 https://goo.gl/Jc1kQW 或 http://data.gov.tw/node/18765,id;lang;name;summary;introduction;open_time;district;address;tel;fax;lat;long;services;category;update_time;link;description;publisher;total;attraction,臺南市政府觀光旅遊局
臺南餐飲,6184,本資料集提供臺南市餐飲(含伴手禮)店家列表 如使用 Microsoft Excel 打開 CSV 檔案是亂碼時，是因為 Excel 無法預設讀取 UTF-8 編碼的 CSV 檔案，解決方式如下： 請參照 https://goo.gl/Jc1kQW 或 http://data.gov.tw/node/18765,id;lang;name;summary;introduction;open_time;district;address;tel;fax;lat;long;services;category;consume;update_time;link;description;publisher;total;shop,臺南市政府觀光旅遊局
臺南市各醫院一覽表,6832,本資料集主要提供臺南市醫療院所資訊,序號;機構名稱;地址;經度;緯度;電話;序號,臺南市政府衛生局
臺南市救護車資料,6833,本資料集主要提供臺南市救護車資料列表,設置機構名稱;區別;地址;X座標;Y座標;機構名稱;救護車字號;救護車種類;牌照號碼;廠牌;機構電話;經度;緯度,臺南市政府衛生局
