0206地震專區,['53565']
1氧化碳8小時平均值,['127303']
65歲以上長者及55歲以上原住民免費裝置全口活動假牙計劃合約醫療院所,['9372']
AED公共場所位置資訊,"['53394', '113558', '113559']"
BTEX監測小時值,['127302']
PM2.5日均值,['127301']
SIGUREC大型資源智慧回收站,['129547']
T-Bike 公共自行車租賃站資訊,['53909']
T-Bike熱門租賃站前十名,['97990']
T-Bike累計使用量,['97989']
T霸統計表,['53617']
beacon點位,['53307']
「臺南尚青」產地標章查核結果表,['114737']
一般公文處理時效統計,"['101459', '111860', '117932']"
一般地區環境音量監測不合格情形,['129548']
一般環境衛生消毒期程表,['129450']
不動產實價登錄資訊(租賃案件),"['113506', '113507', '113516', '113517', '113518', '113519', '113520', '113521', '113523', '113524', '113525', '113526', '113527', '113528', '113529', '122262', '122269', '122270', '122271', '122272', '122273', '122274', '122649', '127207', '127532', '128563', '129402', '130268']"
不動產實價登錄資訊(買賣案件),"['113508', '113509', '113510', '113511', '113512', '113513', '113514', '113515', '113530', '113531', '113532', '113533', '113534', '113535', '113536', '122261', '122263', '122264', '122265', '122266', '122267', '122268', '127206', '127521', '128564', '129401', '130269']"
不動產實價登錄資訊(預售屋案件),['53903']
不動產拍賣統計表,"['53259', '112740', '112741', '112742', '112743', '117391']"
不動產買賣統計表,"['7542', '112768', '112769', '112770', '112771', '117390']"
中程施政計畫,['99901']
事業單位違反性別工作平等法/就業服務法 公布名單,['127235']
事業廢棄物再利用機構登記資料,['53607']
交通意外30天內死亡人數及受傷人數,['103149']
交通管制公告,['53588']
交通號誌(路口紅綠燈)4G WiFi 點位資料,['79978']
交通號誌數量表,['53587']
人民團體名冊,['53472']
人民申請案件處理時限表,['53329']
人行道資訊,['121008']
人行陸橋,['130226']
他縣市稅捐機關代發本市資料統計,['53273']
休閒農場清冊,['101817']
低碳永續家園評等數量,['129456']
低碳餐廳,['7770']
住宅用火災警報器安裝數量,['53433']
住宅補貼辦理情形表,['101495']
使用分區核發資訊,['53323']
使用執照資料,['121026']
使用牌照稅稅源統計表,['79971']
偏遠地區巡迴醫療服務日程表,"['53382', '113566', '113567', '113568', '127337', '127368']"
偏遠地區移動式機車檢驗站服務行程表,['129518']
停車場即時剩餘車位資訊,['102772']
健保特約藥局名單,['116069']
健康促進醫院一覽表,['53644']
免費心理諮商服務據點,['53546']
兒少安置機構名冊,['6179']
兒童及少年福利資源點,['126515']
全功能服務櫃臺統計表,['53276']
全般竊盜案件統計資料,['127452']
公共危險物品,['85842']
公共圖書館聯絡資訊,['7543']
公共圖書館讀書會辦理情形,['53571']
公共管線圖資-一般電信管線,['122527']
公共管線圖資-交通號誌系統,['121006']
公共管線圖資-供氣系統,['122508']
公共管線圖資-共同管道管線,['122516']
公共管線圖資-寬頻管道,['122513']
公共管線圖資-有線電視系統,['122511']
公共管線圖資-污水系統,['122510']
公共管線圖資-灌排系統,['122505']
公共管線圖資-給水系統,['122507']
公共管線圖資-警訊系統,['122515']
公共管線圖資-路燈電力系統,['122512']
公共管線圖資-輸油系統,['122506']
公共管線圖資-輸電系統,['122514']
公共管線圖資-配電系統,['122529']
公共管線圖資-雨水系統,['122509']
公共藝術資料,['87294']
公共衛生藥師名冊,['6836']
公務出國報告,['101458']
公司登記清冊,['126765']
公告土地現值暨公告地價調整情形表,['53895']
公告土地現值表,"['102312', '102313', '102314', '102315', '102316', '102317', '102318', '102319', '102320', '113942']"
公告地價表,"['102322', '102323', '102324', '113933']"
公園基本資料,['6182']
公園設施資料,['53556']
公園警告標示牌救生圈座標,['53446']
公地撥用統計表,['53888']
公害陳情案件受理統計,['118123']
公害陳情案件告發裁處明細,['127728']
公廁地址,['7005']
公所原住民服務窗口連絡電話,['53538']
公所災害避難收容場所,['79597']
公有免費停車場,['102775']
公有廣告欄一覽表,['53602']
公有收費停車場,['102773']
公用天然氣導管承裝業清冊,['85860']
公私立幼兒園使用中之車輛清冊,['129831']
公立幼兒園,['53542']
公立納骨設施,['53922']
公辦市地重劃執行情形(開發中),['53421']
列管公廁評等,['129454']
加密控制點坐標檔,['53420']
加水站水源供應許可核可名單,['127595']
加油站清冊,['101818']
動物之家相關資訊,['101456']
動物醫院及診所名單,['53916']
勞動檢查概況,['130366']
勞動部評鑑私立就業服務機構結果,['126988']
勞工局職災慰問金發放統計表,['53641']
勞工領袖大學,['53320']
勞工領袖大學課程,['122530']
勞工體格及健檢認可醫療機構,['87440']
區公所區內各里發展經費運用,['87437']
區公所業務連絡窗口,['85836']
區域排水之水位站名稱及位置,['53475']
區域排水即時影像,['100218']
區域排水即時影像站名稱及位置,['53476']
區域排水水位警戒,['100219']
區域排水與集水區圖資,['53474']
區域排水警告標示位置,['53447']
區段徵收前後土地地號表,['85857']
區段徵收已出售標售地資料,['53620']
區段徵收成果統計表,['53621']
區道公路路線表,['102052']
十大肇事路口資訊,['106778']
南科特殊性工業區監測數據,"['129778', '129852', '129853']"
南門勞工育樂中心,['98698']
印花稅徵收,['53277']
即時天氣資料,['122180']
原住民社團聯絡名冊,['53540']
及其所屬機關職(教)員合計官等性別統計表,['53904']
及其所屬機關職(教)員合計年齡統計表,['53905']
及其所屬機關預算員額表,['102051']
及所屬各機關公務車輛數統計,['128262']
及所屬各機關公務車輛違規次數彙整表,['128902']
受理消費案件統計資料,['129779']
古蹟資料,['7544']
台南市主要觀光遊憩據點遊客人數,"['98800', '122526', '122531']"
台南市內各區公所沙包領放點,['79595']
台南市公有零售市場名冊,['53576']
台南市政府APP上架中清單,['88400']
台南市政府機關局處統1編號,['85856']
台南市民有市場名冊,['53577']
台南市水域遊憩限制或禁止活動範圍,['122693']
台南市身心障礙者庇護工場,['53913']
台南市醫院燒傷相關病床資料,['53403']
台南捐血中心固定捐血點,['53418']
台南捐血中心巡迴捐血點,['53417']
台南賽鴿笭統計資料,['130029']
各區中醫一般科相關之診所、醫院,['53390']
各區代碼,['53582']
各區兒科相關之診所、醫院,"['53409', '113650']"
各區內科相關之診所、醫院,"['53411', '113648']"
各區原住民族群人口統計,"['53377', '53378', '97987', '100192', '121069']"
各區各里簡易疏散避難圖,['100216']
各區外科相關之診所、醫院,"['53410', '113651']"
各區婦產科相關之診所、醫院,"['53408', '113647']"
各區家醫科相關之診所、醫院,"['53415', '113627']"
各區泌尿科相關之診所、醫院,"['53404', '113649']"
各區清潔隊聯絡資訊,['53603']
各區漁會通訊清冊,['101815']
各區牙醫一般科相關之診所、醫院,"['53393', '113626']"
各區獸醫師執業人數,['53364']
各區皮膚科相關之診所、醫院,['53392']
各區眼科相關之診所、醫院,"['53406', '113645']"
各區神經科相關之診所、醫院,"['53407', '113646']"
各區第3屆調解委員會委員名冊,['53917']
各區精神科相關之診所、醫院,['53391']
各區耳鼻喉科相關之診所、醫院,"['53413', '113628']"
各區農會產品網路購物,['53914']
各區農會通訊資料,['53354']
各區農產品介紹,['53537']
各區里活動中心基本資料表,['53902']
各區骨科相關之診所、醫院,"['53412', '113652']"
各機關學校及所屬職工員額統計,['128263']
各機關學校經管土地及建物總目錄,['53454']
各漁港最大設籍停泊漁船筏艘數,['53379']
各級學校基本資料,['53281']
各級機關學校公文線上簽核及電子交換統計,['118280']
各行政區域轄下野溪設置警告標誌牌地點座標調查表,['85872']
各行政區現有認養及代管空地設置停車場明細表,['53592']
各醫院一覽表,['6832']
各里代碼,['53581']
各項稅捐實徵淨額與預算數及上年同期比較,['53271']
各項體育成果資訊,['129834']
各類房屋折舊標準表,['53299']
各類管線數量統計,['117579']
各類食品抽驗結果,"['53367', '113583', '113584', '120427', '127523']"
合作社名冊,['53597']
合法溫泉業者,['79965']
哺(集)乳室設置機構,['6837']
商圈簡介資訊,['53630']
商業、公司、工廠異動表,['126761']
商業登記清冊,['79600']
噪音監測站基本資料,['100767']
噪音監測站監測數據,['101813']
噪音管制圖,['79599']
嚴重特殊傳染性肺炎統計表(以週為單位)-依個案研判日統計,['120805']
固定式交通違規照相設備設置地點,['53645']
國中各校人數統計,['101545']
國中各校折抵超編查詢,['98803']
國中各校男女生人數統計,['101536']
國中小學區查詢,['101538']
國中小校園開放時間,['103759']
國家賠償事件處理情形統計,['122209']
國家重要濕地,['53550']
國小單1學校年級各班人數與折抵數查詢,['101533']
國小新生報到人數,['101546']
土地增值稅查定筆數及實徵稅額統計表(按區別),['53287']
土地徵收統計表,['53887']
土地徵收補償市價查估及評議作業情形表,['53907']
土地筆數面積公告土地現值統計表,['53310']
土壤及地下水污染控制場址,['53346']
土壤及地下水污染整治場址,['53345']
土壤定期監測結果,['53321']
土壤液化潛勢圖資,['100221']
土壤液化資訊,['122721']
地下水監測資料,['53479']
地價指數漲跌幅表,['53425']
地價稅徵績,['53293']
地價稅徵績統計表(按區別),['53296']
地價稅查定表,['53295']
地價稅稅率及稅額計算表,['53269']
地價評議委員會評議案件數量統計表,['53892']
地價調查用建築改良物標準單價表,['53470']
地政士開業及異動,['53429']
地方文化館相關資訊,['79604']
地方產業創新研發推動計畫(地方型SBIR),['127548']
地方總決算-平衡表,['53483']
地方總決算-收支簡明比較分析表,['53527']
地方總決算-歲入來源別決算總表,['53526']
地方總決算-歲入歲出及餘絀簡明分析表,['53528']
地方總決算-歲出決算總表,"['53523', '53524']"
地方總預算收支簡明比較分析表,['53335']
地方總預算歲入來源別預算比較總表,['53338']
地方總預算歲入來源別預算總表,['53340']
地方總預算歲入歲出性質及餘絀簡明比較分析表,['53342']
地方總預算歲入歲出簡明比較分析表,['53343']
地方總預算歲出預算比較總表,"['53336', '53337']"
地方總預算歲出預算總表,"['53339', '53341']"
地方總預算附屬單位預算及綜計表-作業基金收支餘絀綜計表,"['53513', '53514']"
地方總預算附屬單位預算及綜計表-作業基金現金流量綜計表,"['53509', '53510']"
地方總預算附屬單位預算及綜計表-作業基金餘絀撥補綜計表,"['53511', '53512']"
地方總預算附屬單位預算及綜計表-營業其金損益綜計表,['53521']
地方總預算附屬單位預算及綜計表-營業基金固定資產建設改良擴充資金來源綜計表,['53515']
地方總預算附屬單位預算及綜計表-營業基金損益綜計表(依分列),['53520']
地方總預算附屬單位預算及綜計表-營業基金現金流量綜計表,['53517']
地方總預算附屬單位預算及綜計表-營業基金現金流量綜計表(依分列),['53516']
地方總預算附屬單位預算及綜計表-營業基金盈虧撥補綜計表,['53519']
地方總預算附屬單位預算及綜計表-營業基金盈虧撥補綜計表(依分列),['53518']
地方總預算附屬單位預算及綜計表-營業基金財務摘要綜計表,['53522']
地方總預算附屬單位預算及綜計表-營業基金資本增減綜計表,['100199']
地方總預算附屬單位預算及綜計表-特別收入基金來源、用途及餘絀綜計表,['53508']
地方總預算附屬單位預算及綜計表-特別收入基金現金流量綜計表,"['53506', '53507']"
地籍地段屬性資料表,['103608']
地質敏感區範圍,['100220']
垃圾清運點資料,['109166']
城西掩埋場地下水檢測報告,['129807']
域圖,['98813']
培力計畫,['79987']
堆肥場地址,['53477']
報案電話量統計表,['98275']
外國人地權登記管理統計表,"['53924', '112676', '112677', '112678', '112679', '117455']"
外籍配偶訓練專班,['98806']
多目標系統報表資料集,['129340']
多點跨區據點服務件數統計,['98795']
大台南公車定時定位資料(A1),['85849']
大台南公車定點到離站資料(A2),['85848']
大台南公車業者資料,['53589']
大台南公車每日營運時刻表,['85853']
大台南公車站牌資料,['9531']
大台南公車路線站序,['85852']
大台南公車路線線型資料,['85854']
大台南公車路線資料,['85855']
大台南公車車輛基本資料,['85846']
大台南公車轉運站資訊,['53570']
大台南公車運量資訊,['53402']
大台南公車預估到站時間資料(N1),['85847']
大客車禁行路段,['53554']
大客車行駛應特別注意路段,['53555']
大臺南視障者按摩服務據點,['98808']
大陸地區人民及法人取得不動產權利統計表,['53441']
天然災害停止上班上課日數統計一覽表,['108279']
太陽光電業務資訊,['99903']
失智症醫療院所,['127549']
契稅徵收(按季),['53290']
契稅查定筆數及實徵稅額統計表,['53292']
契稅稅源表,['53291']
好望角專案計畫,['79988']
姊妹市暨友誼市一覽表,['118813']
娛樂稅營業細項及代碼對照表,['53619']
娛樂稅稅源月報表,['52990']
婦女福利資源點,['126516']
學校代碼列表,['101539']
學校各項專任運動教練資訊,['129835']
學習護照,['101535']
學習資源網,['52986']
安定掩埋場地下水檢測報告,['129836']
安平漁港水域安全告示牌位置表,['53444']
宗地地號屬性資料,['53431']
宗教財團法人名冊,['100209']
客家社團名冊,['53535']
家庭暴力相關統計資料,['122786']
容積移轉執行成果統計,['128628']
容積移轉申請案件數,['128626']
容積移轉申請案件核准移入容積量,['128625']
實施耕地375減租成果統計表,['53885']
少年竊盜犯罪熱點,['87438']
就業服務據點,['53473']
就業資訊,"['102776', '120169']"
居家護理機構,['7626']
屬性資料,['53432']
工務局在建工程列表,['6177']
工廠登記清冊,['102050']
工會名冊,['53642']
工業油脂流向申報廠商清冊,['102049']
工業用地簡介資訊,['101457']
巨大垃圾統計,['129453']
已備案社福類志工運用單位名單,['126576']
已公告徵收土地地籍資料,['53928']
已取得設置許可夜市名冊,['53634']
已取得許可設置夜市攤位營業項目,['128848']
已登記不動產統計表,['53440']
已登記公私有土地筆數面積,['53439']
市售抽驗計畫加水站管理(後改業者自主送驗),['85874']
市售食品抽驗不符合規定明細,"['53225', '113574', '113575', '113576', '113577', '113578', '118357']"
市地重劃前後地段對照表,['87444']
市地重劃區抵費地標售成果資料,['53312']
市政大事紀,['99898']
市民手冊,['53628']
市管抽水站與水門圖資,['53595']
市長施政總報告,['99900']
市長行程,['53388']
常備兵役役男家屬安家費及3節生活扶助金,"['101055', '122178']"
常備役役男家屬安家費暨3節生活扶助金,"['112122', '112123', '112124', '112125']"
年度施政計畫,['100212']
年度溺水地點,['85838']
廉政倫理事件登錄案件統計表,['120346']
廢棄物清除處理機構,['7004']
廢棄車輛查報移置執行情形,['129452']
廢水污染管制情形,['129829']
廢食用油清除機構基本資料,['53606']
建物第1次登記統計表,"['53261', '112736', '112737', '112738', '112739', '117388']"
建物第1次移轉統計表,"['53260', '112862', '112863', '112864', '112865', '117389']"
建築工地登革熱防疫宣導,['100268']
建築線核發資訊,['53366']
強盜案件統計資料,['127453']
復健科醫療機構,"['53416', '113653', '113654']"
復康巴士服務,['126622']
復查案件辦理情形統計表,['53572']
微型感測器基本資料,['129519']
徵收補償費屆滿或即將屆滿未領歸屬國庫案件,['100196']
心理諮商所、心理治療所,['87487']
急救責任醫院資訊,['53435']
急難救助民間資源,['127628']
應回收廢棄物回收處理業,['53280']
房地產消費糾紛原因及來源明細統計表,['53886']
房屋構造別代號表,['101557']
房屋標準單價表,['53264']
房屋用途類別及用途細類別對照表,['53268']
房屋稅徵績,['53300']
房屋稅收稅籍數及實徵數(按里別),['53297']
房屋稅查定表,['79972']
房屋稅稅籍統計表,['53267']
房屋路段等級級距表,['53298']
房屋路段等級表,['53265']
所屬機關單位主管法規數量統計,['126770']
所屬機關學校公教人員教育程度,['98693']
所屬機關學校正式職(教)員及其他員工實有員額,['98691']
所屬警察單位電話地址,['53624']
所轄管各漁港,['53461']
托育人員專業訓練課程及開辦單位資訊,['127455']
托育違法案件一覽,['130305']
抽水站位置及相關資訊,['108524']
抽驗水質(溫泉、游泳池、三溫暖)檢驗結果總表,['53311']
抽驗飲用水(自來水)水質檢驗結果,"['79601', '121027']"
拖吊保管場資訊,['98697']
採購公告資料,['122807']
採購法教育訓練參訓人員分析表,['128254']
提供國小學童臼齒窩溝封填服務之牙科診所,['53625']
提供塗氟服務之牙科診所,['53626']
搶奪案件統計資料,['127451']
政風處受理人民陳情檢舉案件數及處理結果統計資料,['122854']
政風處受理人民陳情檢舉案件類別統計資料,['122856']
政風處暨所屬政風單位協處陳情請願抗爭事件數量統計資料,['122855']
政風處暨所屬政風單位反貪活動統計資料,['123645']
政風處暨所屬政風單位維護業務宣導次數統計資料,['122841']
政風處暨所屬政風機構檢舉管道,['127753']
救災出勤資料,"['53302', '112042', '120005']"
救護車資料,['6833']
教保育機構停課通報監測報表,['53531']
教師研習課程資訊,['101541']
教育公告,['101542']
教育基金會資訊,['103758']
教育局公布違反幼兒教育及照顧法暨教保服務人員條例之名單,['130055']
教育局網站,['101537']
數位機會中心(DOC),['103756']
文化局每月藝文活動,['100197']
文化資產管理處每年各類文化資產維護經費統計資料,['129429']
文史工作室登記資料表,['53646']
新營文化中心演藝廳節目表,['130152']
新營文化中心畫廊展覽檔期表,['130054']
新聞統計週報,['129177']
施工建案明細表,['53263']
旅遊人數明細表,['53906']
早期農地重劃區農水路更新改善工程辦理地區工程進度,['53438']
易淹水地區部屬點地址,['122745']
易發生婦幼被害犯罪警示地點,['100208']
替代役役男家屬安家費及3節生活扶助金,"['53730', '112680', '112681', '112744', '112745', '122179']"
最新債務訊息,['21983']
最近土地增值稅稅源統計表,['100210']
最近地價稅稅源統計表,['98801']
最近契稅綜合統計表,['79970']
最近房屋稅綜合統計表,['53266']
有機農場資訊,['101816']
有線電視公開資料,['53385']
有線電視費率,['118562']
未受領徵收補償費保管清冊統計表,['53889']
未徵數情形,['53279']
未立案宗教場所一覽表,['53615']
本土登革熱病例數,['53946']
