資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
106年高雄市政府1999話務中心派工受理前三名機關統計表,43716,提供106年高雄市政府1999話務中心派工受理前三名機關統計表,執行機關;派工件數;受理比率;<br>執行機關,高雄市政府研究發展考核委員會
高雄市已調查設施數量統計,43756,高雄市提供已調查設施數量統計,行政區;道路基本資訊;橋梁;交叉路口;立體交叉設施;號誌;照明設施;停車設施;人行道;行道樹,高雄市政府工務局
高雄市道路長度面積統計,43759,高雄市道路長度面積統計,zoneName;longs1;area1;longs2;area2;longs3;area3;longs4;area4;totlongs;totarea;avgarea,高雄市政府工務局
高雄市地政事務所坐標資訊,43761,提供 高雄市地政事務所坐標資訊,AREANAME;TOWNSCOPE;TEL;X;Y;門牌;區碼,高雄市政府地政局
路段績效1.1版服務水準門檻分級資料,43762,"sourceid,level,levelname,index,topvalue, lowvalue,colorR,colorG,colorB, 資料格式為交通部即時交通資訊發布標準格式v1.1, http://xml11.kctmc.nat.gov.tw:8080/XML/roadlevel_threshold.xml",sourceid;level;levelname;index;topvalue;lowvalue;colorR;colorG;colorB,高雄市政府交通局
資訊可變標誌1.1版靜態資料,43765,"cmsid,roadsection,locationpath,startlocationpoint, endlocationpoint,px,py, 資料格式為交通部即時交通資訊發布標準格式v1.1,",cmsid;roadsection;locationpath;startlocationpoint;endlocationpoint;px;py,高雄市政府交通局
戶政事務所坐標資訊,43766,提供戶政事務所坐標資訊，包含戶政事務所名稱、地址、電話、Email、坐標及網址等資料,Caption;Address;Tel;Longitude;Latitude;WebSite;Email,高雄市政府民政局
車輛偵測器資料1.1版5分鐘動態資料,43767,提供車輛偵測器資料1.1版5分鐘動態資料,vdid;status;datacollecttime;lane/0/vsrdir;lane/0/vsrid;lane/0/speed;lane/0/laneoccupy;lane/0/cars/0/carid;lane/0/cars/0/volume;lane/0/cars/1/carid;lane/0/cars/1/volume;lane/0/cars/2/carid;lane/0/cars/2/volume;lane/1/vsrdir;lane/1/vsrid;lane/1/speed;lane/1/laneoccupy;lane/1/cars/0/carid;lane/1/cars/0/volume;lane/1/cars/1/carid;lane/1/cars/1/volume;lane/1/cars/2/carid;lane/1/cars/2/volume;lane/2/vsrdir;lane/2/vsrid;lane/2/speed;lane/2/laneoccupy;lane/2/cars/0/carid;lane/2/cars/0/volume;lane/2/cars/1/carid;lane/2/cars/1/volume;lane/2/cars/2/carid;lane/2/cars/2/volume;lane/3/vsrdir;lane/3/vsrid;lane/3/speed;lane/3/laneoccupy;lane/3/cars/0/carid;lane/3/cars/0/volume;lane/3/cars/1/carid;lane/3/cars/1/volume;lane/3/cars/2/carid;lane/3/cars/2/volume;lane/4/vsrdir;lane/4/vsrid;lane/4/speed;lane/4/laneoccupy;lane/4/cars/0/carid;lane/4/cars/0/volume;lane/4/cars/1/carid;lane/4/cars/1/volume;lane/4/cars/2/carid;lane/4/cars/2/volume;lane/5/vsrdir;lane/5/vsrid;lane/5/speed;lane/5/laneoccupy;lane/5/cars/0/carid;lane/5/cars/0/volume;lane/5/cars/1/carid;lane/5/cars/1/volume;lane/5/cars/2/carid;lane/5/cars/2/volume;lane/6/vsrdir;lane/6/vsrid;lane/6/speed;lane/6/laneoccupy;lane/6/cars/0/carid;lane/6/cars/0/volume;lane/6/cars/1/carid;lane/6/cars/1/volume;lane/6/cars/2/carid;lane/6/cars/2/volume;lane/7/vsrdir;lane/7/vsrid;lane/7/speed;lane/7/laneoccupy;lane/7/cars/0/carid;lane/7/cars/0/volume;lane/7/cars/1/carid;lane/7/cars/1/volume;lane/7/cars/2/carid;lane/7/cars/2/volume,高雄市政府交通局
高雄市政府消防局歷年火災統計表,43772,提供消防局歷年火災統計表,年度;發生件數;死亡人數;受傷人數;財物損失,高雄市政府消防局
高雄市商店街區行銷活動補助執行情形,43773,高雄市商店街區行銷活動補助執行情形,項次;計畫名稱;申請單位;核准日期;核定金額;備註,高雄市政府經濟發展局
