(政府捐助)財團法人社會福利慈善事業基金會,['104348']
(民間捐助)財團法人社會福利慈善事業基金會,['104347']
02各項稅捐查定數,['106097']
03各項稅捐實徵數,['106034']
04各項稅捐退還以前年度歲入款,['106016']
05各項稅捐實徵淨額,['106017']
06各項稅捐實徵淨額基比指數,['106018']
07各項稅捐實徵淨額環比指數,['106019']
08各項稅收季節變動指數,['106020']
09稅捐納庫數,['106021']
105登革熱個案資訊,['104714']
106一般旅館業查報及取締情形,['127746']
106一般旅館業督導管理,['104270']
106壽山動物園參觀人次及門票收入,['127744']
106建照核發數量,['80258']
106旅行業從業人員性別統計,['128474']
106登革熱個案資訊,['104713']
107一般旅館業查報及取締情形,['127748']
107一般旅館業督導管理,['104269']
107壽山動物園參觀人次及門票收入,['127755']
107建築物公共安全檢查申報數量,['80259']
107旅行業從業人員性別統計,['128473']
108年度養鹿場結核病檢驗合格名冊,['127490']
10地價稅課稅戶數,['106022']
10大易肇事路口肇因分析表,['87206']
10大易肇事路段肇因分析表,['87205']
11地價稅課稅面積,['106023']
12地價稅課稅地價,['106024']
12導程心電圖機配置清冊,['43798']
13地價稅減免筆數,['106025']
13條觀光型自行車道優化工程路線,['127730']
14地價稅減免課稅面積,['106026']
15地價稅減免課稅地價,['106027']
16土地增值稅移轉筆數,['106028']
17土地增值稅移轉面積,['106029']
18土地增值稅移轉現值,['106030']
18歲以上人口的吸菸率,['127041']
1999話務中心客服人員滿意度指標,"['43779', '43877', '46849', '76896']"
1999話務中心服務量趨勢圖,"['43896', '46850', '76897']"
1999話務中心派工受理前3名機關統計表,"['43716', '43776', '43800', '76895']"
1999話務中心話務中心服務量趨勢圖,['43775']
19土地增值稅調整後原規定地價或前次移轉現值,['106035']
2018打狗鳳邑文學獎得獎名單,['104422']
20土地增值稅改良土地費用,['106031']
21土地增值稅漲價總數額,['106033']
23土地增值稅增繳地價稅抵繳稅額,['106036']
24土地增值稅減徵稅額,['106037']
25土地增值稅應納稅額,['106038']
26土地增值稅移轉筆數,['106039']
27土地增值稅移轉面積,['106040']
28土地增值稅移轉現值,['106041']
29土地增值稅調整後原規定地價或前次移轉現值,['106044']
2代戒菸合約機構,['87259']
2代戒菸服務機構,"['104964', '104966', '104967', '104969', '104970', '104971', '104972', '104973', '104974', '104976', '104977', '104978', '104981', '104982', '104983', '104984']"
301及302保管專戶徵收保管清冊,['86416']
30土地增值稅改良土地費用,['106042']
31土地增值稅漲價總數額,['106043']
32土地增值稅查定稅額,['106045']
33土地增值稅增繳地價稅抵繳稅額,['106046']
34土地增值稅減徵稅額,['106048']
35土地增值稅應納稅額,['106049']
36房屋稅應稅戶數,['106050']
37房屋稅應稅面積,['106051']
38房屋稅應稅現值,['106052']
39房屋稅免稅戶數,['106053']
3民1分局路口監視器地點,"['104550', '127574']"
3民2分局路口監視器地點,"['104547', '127573']"
3民區A3交通事故資料,"['104267', '114111']"
3民區公所免費法律諮詢,['86164']
3民區轄內或鄰近避難收容所一覽表,['128458']
3民戶政事務所人口年齡層分布統計,['75653']
3民戶政事務所人口概況統計,"['128348', '128349', '128350', '128351', '128352', '128353', '128354']"
3民戶政事務所人口異動統計,['75644']
3民戶政事務所各里現住人口數,"['75645', '128347', '128500']"
3民東區垃圾清運路線及時間,['107050']
3民西區垃圾清運路線及時間,['106982']
40房屋稅免稅面積,['106054']
41房屋稅免稅現值,['106055']
42使用牌照稅稽徵件數,['106056']
43使用牌照稅實徵淨額,['106057']
44契稅查定件數,['106059']
45-69歲婦女內曾接受乳房攝影篩檢率,['127051']
45契稅查定契價,['106060']
46印花稅徵收稅額,['106061']
47娛樂稅查定及申報家數,['106062']
48娛樂稅實徵淨額,['106063']
49查核定開徵件數,['106064']
50查核定開徵金額,['106065']
51實徵件數,['106066']
52實徵金額,['106067']
53減免註銷件數,['106068']
54減免註銷金額,['106069']
55逾徵收期限件數,['106070']
56逾徵收期限金額,['106071']
57逾核課期限件數,['106072']
58逾核課期限金額,['106073']
59未徵件數,['106074']
5大刑事案件發生數破獲數破獲率,['114116']
60未徵金額,['106075']
61違章漏稅案件受理件數,['106076']
62違章漏稅案件審理件數,['106077']
63違章漏稅案件處罰後自行繳納件數,['106078']
64違章漏稅案件處罰後自行繳納金額,['106081']
65違章罰鍰案件移送執行件數,['106079']
66違章罰鍰案件移送執行金額,['106080']
67違章罰鍰案件更正註銷件數,['106083']
68違章罰鍰案件更正註銷金額,['106084']
69違章罰鍰案件移送執行繳納件數,['106085']
6都A1類交通事故統計,['114105']
6龜分局路口監視器地點,"['104546', '127569']"
6龜區A3交通事故資料,['114101']
70違章罰鍰案件移送執行繳納金額,['106086']
71違章罰鍰案件發給執行憑證件數,['106087']
72違章罰鍰案件發給執行憑證金額,['106088']
73違章罰鍰案件移送退案或撤回件數,['106089']
74違章罰鍰案件移送退案或撤回金額,['106090']
75各項稅捐徵課費用,['106091']
76各項稅捐徵課成本,['106092']
77稅捐稽徵處歲出預算數,['106093']
78稅捐稽徵處歲出決算數,['106094']
79稅捐稽徵處歲出預算執行率,['106095']
80全功能服務櫃台辦理件數,['106096']
A1交通事故,['118843']
A1交通事故地點資料,"['104579', '104582', '104584', '104586', '104588', '104590']"
A1交通事故資料,['104553']
A1類道路交通事故性別統計,['104320']
A2交通事故地點資料,"['104578', '104580', '104585', '104587', '104589', '104684']"
A2交通事故資料,"['104552', '104791']"
A3交通事故地點資料,['104683']
A3交通事故資料,"['104241', '104242', '104245', '104266']"
AED裝設地點,['128664']
AIDS發病者人數,['127054']
APPS累計下載次數資料表,"['43857', '46847', '128443', '128445']"
APP資訊,['75639']
ARM自動資源回收機器設置地點、開放時間及回收項目,['86420']
GMP動物用藥廠名冊,['100818']
HIV感染人數,['127055']
MTV現況,['75734']
TB接觸者X光免部分負擔醫院,['86400']
VOCs監測資料,['104803']
iTaiwan地點與經緯度,['43878']
「城鎮風貌型塑整體計畫」提案計畫經費核定總表,['127652']
「繁星好康」特約店家優惠資訊一覽表,['47052']
「高雄客家伴手禮」商家產品聯絡資訊一覽表,['46951']
一般旅館資料,['47018']
一般生育率,['99166']
一般空氣品質測站監測統計資料,['128462']
一般護理之家立案機構名單,['87261']
不動產估價師清冊,['87055']
不動產抵押權設定統計,"['43780', '46856', '46962', '77844', '98949', '117665']"
不動產拍賣統計,"['43808', '46857', '77845', '87197', '98950', '117666']"
不動產買賣實價登錄資料下載,"['93807', '93816', '99751', '99752', '99753', '99754', '99755', '104268']"
不動產買賣統計,"['43783', '46858', '46978', '77846', '98951', '117667']"
不同權屬土地筆數統計,['114706']
不同權屬土地面積統計,['114707']
中低收入老人特別照顧津貼領取人數,['104356']
中低收入老人生活津貼補助人數,['104355']
中小排清疏,['128322']
中程施政計畫目標體系,['87716']
中途輟學學生人數,['127113']
中階主管培訓名冊,['127871']
主要死亡原因標準化死亡率,['127037']
主要死亡原因粗死亡率,['127058']
交通事故統計,"['129218', '130294']"
交通局轄內設置計程車招呼站一覽表,['75717']
人口年增率,['127022']
人民團體-其他公益團體,['128184']
人民團體-同鄉會,['128059']
人民團體-商業團體,['128179']
人民團體-國際團體,['128178']
人民團體-學術文化團體,['128175']
人民團體-宗教團體,['128183']
人民團體-宗親會,['128182']
人民團體-工業團體,['128060']
人民團體-教育會,['128177']
人民團體-校友會,['128180']
人民團體-環保團體,['128174']
人民團體-社會服務及慈善團體,['128181']
人民團體-經濟業務團體,['128176']
人民團體-自由職業團體,['128070']
人民團體-醫療衛生團體,['128173']
人民團體-體育團體,['128172']
仁愛之家服務,['104346']
仁武分局路口監視器地點,"['104548', '127570']"
仁武區A3交通事故資料,"['104262', '114103']"
以住代護計畫說明,['104436']
休閒農場場址及聯絡電話,['87263']
低收入戶子女生活扶助辦法扶助人數,['104358']
低收入戶孕產婦及嬰幼兒營養補助辦法補助人數,['104359']
住宅補貼辦理情形表,['87256']
使用執照各區統計,['104239']
使用執照各區統計(依樓層數),['104240']
使用牌照稅實徵淨額,['86770']
使用牌照稅稽徵件數,['86771']
使用牌照稅開徵概況,['104374']
促進產業發展基金補助新增進用勞工人數,['127127']
促進產業發展自治條例獎助措施核定獎助申請案清冊,['47015']
停車場作業基金概況,['101930']
停車場資訊,['114100']
健康便利站,"['127743', '127756', '127757', '127758', '127759', '127760', '127761', '127762', '127763', '127764', '127765', '127766', '127767', '127768', '127769', '127770', '127771', '127772', '127773', '127774', '127775', '127776', '127777', '127779', '127781', '127782', '127783', '127784', '127785', '127786', '127787', '127788', '127789', '127790', '127961', '127962', '128321']"
健康便利站-那瑪夏區,['127780']
健康促進醫院名單,['106264']
傑出團隊入選團隊名單,['104456']
傳播媒體-報紙現況,['75737']
傳播媒體-廣播電台現況,['75736']
傳播媒體-電視媒體現況,['75735']
優良餐飲認證業者名冊,['87271']
優良鹿場名冊,['80807']
免費法律諮詢服務,['101645']
兒童及少年服務-兒童及少年服務機構,['128146']
兒童及少年服務-兒童及少年高風險家庭關懷輔導處遇服務單位,['128145']
兒童及少年服務-兒童福利服務中心及育兒資源中心(含據點),['128133']
兒童及少年服務-家庭寄養(服務據點),['128144']
兒童及少年服務-弱勢兒少社區照顧服務據點,['128143']
兒童及少年服務-收出養服務機構,['128147']
兒童少年刑案嫌疑犯人數,['104299']
入殮室往生者人數,['127105']
內門區A3交通事故資料,['114102']
全民督工相關統計資料,['47060']
全般刑案嫌疑犯人數,['104297']
全般刑案被害人數,['104302']
公共場所哺集乳室名冊,['106329']
公共運輸市占率,['101934']
公務人力最近訓練人次統計分析,['47049']
公務人力發展計畫,['47048']
公務人員協會年度各項活動訊息,['47041']
公務人員育嬰留職停薪人數,['127096']
公務出國報告,['79487']
公司各行政區家數及資本額(千元),['127875']
公司登記解散清冊,['104238']
公司登記設立清冊,['104237']
