105-106 年地價稅累進起點地價及課稅級距表,['94367']
107-108 年地價稅累進起點地價及課稅級距表,['94366']
13行政區各項稅收徵稽統計表,"['94302', '94318', '94330', '94343', '94348', '94361', '101228', '101269']"
13行政區各項稅收徵績統計表,"['76852', '76855', '76856', '76858', '76862', '76863', '76868', '76869', '76870', '94275']"
1999統計報表,['25936']
2017半程馬拉松-石門水庫楓半馬,['75224']
2017第1屆盃全國社區慢速壘球錦標賽,['49610']
2017第3屆盃全國3對3籃球賽,['75228']
2代戒菸合約醫療院所(藥局)名單,['33872']
33處都市計畫整併方式綜整表,['28132']
375租約資料,"['44183', '44185', '44186', '46238', '46251', '46256', '46408', '46413']"
A1及A2類道路交通事故件數,"['25903', '25943', '26066']"
A1及A2類道路交通事故統計,['25932']
A1道路交通事故-事故原因統計,"['45997', '46432']"
A1道路交通事故-受傷年齡與行動狀態統計,"['46261', '46429']"
A1道路交通事故-時間別統計,"['45882', '46364']"
A1道路交通事故-未滿14歲兒童統計,"['46263', '46384']"
A1道路交通事故-機車傷亡者與戴用安全帽關係統計,"['45880', '46420']"
A1道路交通事故-第1當事者使用行動電話分析統計,"['46041', '46284']"
A1道路交通事故-第1當事者車輛用途,"['46257', '46382']"
A1道路交通事故-第1當事者飲酒情形,"['45883', '46285']"
A1道路交通事故-路段(口)統計,"['45995', '46383']"
A1道路交通事故-車種別統計,"['45879', '45998']"
A1道路交通事故-道路型態統計,"['45884', '46396']"
A1道路交通事故-道路類別統計,"['45887', '45996']"
A1道路交通事故-駕駛人年齡分布統計,"['45885', '46000']"
A22站地區區段徵收開發案,['46428']
A2道路交通事故-事故原因統計,"['46313', '46348']"
A2道路交通事故-受傷年齡與行動狀態統計,"['46042', '46431']"
A2道路交通事故-時間別統計,"['45934', '46391']"
A2道路交通事故-未滿14歲兒童統計,"['45993', '46040']"
A2道路交通事故-機車傷亡者與戴用安全帽關係統計,"['45991', '46035']"
A2道路交通事故-第1當事者使用行動電話分析統計,"['46039', '46273']"
A2道路交通事故-第1當事者車輛用途,"['45994', '46036']"
