中部分署人民進出港口安全檢查報驗申請服務統計,['9960']
中部分署節能減碳統計,['9958']
前中部地區巡防局資源回收執行成效,['9959']
前海洋巡防總局動力小船駕駛訓練統計,['9951']
前海洋巡防總局海盜資訊,['7769']
前行政院海岸巡防署「委託研究」,['7087']
前行政院海岸巡防署「政府資料開放諮詢小組」委員名冊,['28618']
前行政院海岸巡防署「政府資料開放諮詢小組會議」會議紀錄,['41069']
前行政院海岸巡防署「施政績效」,['12031']
前行政院海岸巡防署「海洋活動資訊平台」,['7378']
前行政院海岸巡防署「資本支出-中長程個案計畫」,['5994']
前行政院海岸巡防署「重大政策」,['5993']
前行政院海岸巡防署各月會計月報,['9956']
前行政院海岸巡防署政府資料開放行動策略,['28619']
前行政院海岸巡防署海岸巡防總局及所屬各月會計報告,['28616']
前行政院海岸巡防署海岸巡防總局及所屬各月會計月報,['9998']
前行政院海岸巡防署資料開放諮詢小組會議紀錄,['27301']
北部分署AED心臟去顫器裝置地點,['9953']
北部分署新建工程基本資料,['9955']
向海致敬-臺灣海域生態環境守護計畫,['128502']
嚴重特殊傳染性肺炎防治及紓困振興特別預算執行情形,['122653']
國內商港金屬感應門及人身安全檢查性別統計,['7540']
國內海洋污染事件統計,['116107']
國內海龜擱淺事件統計,['115948']
國內鯨豚擱淺事件統計,['115994']
國家海洋研究院內部控制聲明書,['126990']
國家海洋研究院出國報告清單,['126991']
國家海洋研究院科研計畫項目,['119278']
國家賠償事件處理情形統計,['7092']
年度單位決算書,['118212']
年度廉政民意委外調查,['10002']
年度預算書,['127244']
心理諮商資料庫,['10008']
推動活力海洋與綠色港灣計畫,['128493']
會計月報,"['117541', '127392']"
本署人才招募,['12342']
本署及所屬機關現員數資料,['7379']
本署各安檢所及海巡隊地址,['7089']
本署各年度已決標採購案件,['7376']
本署整合型服務據點及鐵馬驛站一覽表,['7091']
東南沙分署「轄區特色-南沙」,['7537']
東南沙分署「轄區特色-東沙」,['7538']
東部分署整合型服務區(原海洋驛站),['12029']
查獲毒品統計,['9848']
查獲經濟犯罪之專案工作統計,['9850']
查獲非法入出國統計,['9854']
機關檔案管理結果,['7090']
海上救生救難案例,['5990']
海岸巡防機關廉政倫理事件登錄情形,['10000']
海岸巡防機關廉政宣導成果,['9999']
海岸巡防署海岸巡防總局及所屬預算案,['55321']
海岸管制區「管制區域一覽表」,['10005']
海巡服務據點資訊-1○岸巡隊介紹,['9954']
海巡機關2000噸艦艇圖片,['7786']
海巡機關車輛圖片,['7086']
海巡法規,['7785']
海巡統計年報,['5991']
海巡署1000噸艦艇資料及圖片,['9952']
海巡署內部控制制度聲明書,['30152']
海巡署其他海巡績效統計,"['9856', '13834']"
海巡署及所屬各月會計月報,['117558']
海巡署及所屬法定預算,['117555']
海巡署及所屬預算案,"['117552', '117556']"
海巡署取締非法越區捕魚統計,"['9855', '13840']"
海巡署各月會計月報,['43690']
海巡署各海巡隊暨安檢所電話表,['21423']
海巡署年度開班資訊,['7787']
海巡署志願役士兵訓練成效,['9940']
海巡署志願役專業軍官訓練成效,['9942']
海巡署暨所屬各機關端正政風防制貪污工作,['9961']
海巡署查獲人口販運統計,['9851']
海巡署查獲槍砲彈藥刀械統計,"['9847', '13833']"
海巡署查獲毒品統計,['13836']
海巡署查獲私運農林漁畜產品及其他物品統計,"['9849', '13835']"
海巡署查獲經濟犯罪之專案工作統計,['13839']
海巡署查獲非法入出國統計,['13837']
海巡署海巡服務工作,['7085']
海巡署海巡特考錄取人員訓練成效,['9941']
海巡署災難救護及服務工作統計,"['9852', '13842']"
海巡署熱點查詢,['7088']
海巡署維護海域海岸資源統計,['13841']
海巡雙月刊,['5992']
海洋保育署會計月報,['126882']
海洋保育署法定預算,['116146']
海洋保育署海洋保育計畫,['116001']
海洋保育計畫(核定版),['128494']
海洋廢棄物清理狀況統計,['116135']
海洋污染監測與應處計畫,['128495']
海洋漫波季刊,['115999']
海洋野生動保育諮詢委員會第1屆第1次定期會議紀錄,['116003']
海難資訊,['7539']
淨灘執行成效統計,['9957']
漁業巡護,['9962']
特別預算會計月報,['120252']
秀峰營區年度受贈財務總表,['10003']
維護海域海岸資源統計,['9853']
艦隊分署及各海巡隊廳舍圖片,['9949']
艦隊分署及各海巡隊聯絡資訊,['9948']
行動應用軟體服務績效調查統計表,['9803']
行政函釋,['12030']
行政院海岸巡防署各月會計月報,['29250']
行政院海岸巡防署單位決算(審定本),"['10006', '27539', '72125']"
行政院海岸巡防署查獲人口販運統計,['13838']
行政院海岸巡防署法定預算,"['12668', '26438', '43692', '117546']"
行政院海岸巡防署海岸巡防總局及所屬各月會計月報,['43667']
行政院海岸巡防署海岸巡防總局及所屬單位決算(審定本),"['20284', '28614']"
行政院海岸巡防署海岸巡防總局及所屬法定預算,"['12671', '26440', '43694']"
行政院海岸巡防署海岸巡防總局及所屬預算案,"['12673', '21414', '35347']"
行政院海岸巡防署海洋巡防總局各月會計報告,['28617']
行政院海岸巡防署海洋巡防總局各月會計月報,['43663']
行政院海岸巡防署海洋巡防總局單位決算(審定本),"['20283', '28615']"
行政院海岸巡防署海洋巡防總局會計月報,['10001']
行政院海岸巡防署海洋巡防總局法定預算,"['12670', '26439', '43693']"
行政院海岸巡防署海洋巡防總局預算案,"['12669', '21419', '35346', '55319']"
行政院海岸巡防署預算案,"['12667', '21409', '35345', '55317']"
訴願決定書,['7788']
