(中台灣排除6都)公司登記資料-A農、林、漁、牧業,['108351']
(中台灣排除6都)公司登記資料-C製造業,['108354']
(中台灣排除6都)公司登記資料-F零售、批發及餐飲業,['108390']
(中台灣排除6都)公司登記資料-H金融、保險及不動產業,['108343']
(中台灣排除6都)公司登記資料-I專業、科學及技術服務業,['108395']
(北台灣排除6都)公司登記資料-A農、林、漁、牧業,['108371']
(北台灣排除6都)公司登記資料-C製造業,['108363']
(北台灣排除6都)公司登記資料-F零售、批發及餐飲業,['108386']
(北台灣排除6都)公司登記資料-H金融、保險及不動產業,['108341']
(北台灣排除6都)公司登記資料-I專業、科學及技術服務業,['108370']
(南台灣排除6都)公司登記資料-A農、林、漁、牧業,['108374']
(南台灣排除6都)公司登記資料-C製造業,['108367']
(南台灣排除6都)公司登記資料-F零售、批發及餐飲業,['108342']
(南台灣排除6都)公司登記資料-H金融、保險及不動產業,['108347']
(南台灣排除6都)公司登記資料-I專業、科學及技術服務業,['108383']
(東台灣排除6都)公司登記資料-A農、林、漁、牧業,['108389']
(東台灣排除6都)公司登記資料-C製造業,['108385']
(東台灣排除6都)公司登記資料-F零售、批發及餐飲業,['108338']
(東台灣排除6都)公司登記資料-H金融、保險及不動產業,['108382']
(東台灣排除6都)公司登記資料-I專業、科學及技術服務業,['108336']
0-0 都市及區域發展統計彙編,['6102']
0-1 都市及區域發展指標,['6325']
0800資源回收免費服務專線-專人處理一般件問題查詢事業廢棄物統計,['45161']
0800資源回收免費服務專線-專人處理一般件問題查詢廢乾電池、照明光源統計,['45157']
0800資源回收免費服務專線-專人處理一般件問題查詢廢容器統計,['45155']
0800資源回收免費服務專線-專人處理一般件問題查詢廢機動車輛統計,['45154']
0800資源回收免費服務專線-專人處理一般件問題查詢廢資訊物品統計,['45156']
0800資源回收免費服務專線-專人處理一般件問題查詢廢輪胎、鉛蓄電池統計,['45164']
0800資源回收免費服務專線-專人處理一般件問題查詢廢電子電器統計,['45153']
0800資源回收免費服務專線-專人處理一般件問題查詢活動統計,['45159']
0800資源回收免費服務專線-專人處理一般件問題查詢非公告應回收廢棄物類統計,['45158']
0800資源回收免費服務專線-專人處理一般件問題查詢非業務範圍統計,['45160']
0800資源回收免費服務專線-整體話務達成狀況統計,['45162']
0800資源回收免費服務專線-民眾通報路邊廢車統計表,['45163']
1-1 土地面積、戶數、人口數、人口密度、年齡結構及扶養比例,['6326']
1-2 土地面積、戶數、人口數、人口密度、年齡結構及扶養比例,['6327']
1-3 人口成長,['6328']
1-4 人口成長,['6329']
1-5 農戶與非農戶人口,['6330']
102 年廉政民意調查及機關廉政評鑑工具研究案報告書,['11870']
103 年度醫療藥品基金決算審定數,['20965']
103度中央政府總決算歲入歲出簡明比較分析表,['23850']
10409-國防部公務人員預算與現有員額統計表,['21624']
104原住民族委員會法定預算,['12580']
105 年犯罪狀況及其分析—2016犯罪趨勢關鍵報告,['80191']
1051012法務部綜合規劃司組織架構,['37637']
106-井下應變儀資料處理暨地殼變形分析(1-4),['77881']
106-活動斷層帶大地測量-測量成果報告,"['77882', '77883', '77884']"
107-GNSS測量總報告,['112056']
107-活動斷層近地表構造特性調查總報告,['112059']
107-精密水準測量總報告,['112057']
107牙醫總額專業醫療服務品質指標統計報表-季報,['122743']
107年度國立故宮博物院單位決算,['102832']
10大類民生商品電子發票價格資訊,['22933']
110聽語障人士簡訊及傳真報案專線,['7916']
119聽語障人士簡訊及傳真報案專線,['7917']
12-17歲曾經飲酒率,['14482']
12-17歲第1次飲酒平均年齡,['14484']
12-17歲過去1個月飲酒率,['14483']
12-17歲過去曾經1個人去買酒之百分比,['14485']
1419條土石流潛勢溪流圖(TWD67),['28316']
1419條土石流潛勢溪流圖(TWD97),['28315']
1420條土石流潛勢溪流圖(TWD67),"['28322', '28324']"
1420條土石流潛勢溪流圖(TWD97),"['28317', '28323']"
