資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
各縣(市)警察(分)局暨所屬分駐(派出)所地址資料,5958,各縣(市)警察(分)局暨所屬分駐(派出)所地址資料,中文單位名稱;英文單位名稱;郵遞區號;地址;電話;POINT_X;POINT_Y,警政署
地政事務所轄區圖,5967,臺灣地區地政事務所轄區數值資料,EPSG:4326,內政部國土測繪中心
村里界圖(TWD97_123分帶),5968,全國村(里)界線,VILLCODE;COUNTYNAME;TOWNNAME;VILLNAME;VILLENG;COUNTYID;COUNTYCODE;TOWNID;TOWNCODE;NOTE,內政部國土測繪中心
救援與應變單位點位,5969,全國消防單位位置及災害應變中心位置，座標系統採經緯度,應變中心點位; 救援單位點位,消防署
歷年重大交通事故地點資料,6132,提供5年內死亡人數在3人以上、死亡及受傷人數在10人以上或受傷人數15人以上，以及運送之危險物品爆炸、燃燒，或有毒液(氣)體、放射性物質洩漏等重大交通事故地點資料。,ACCYMD;ACCTIME;PLACE;DEAD;HURT;CARTYPE;RSN,警政署
本期發布之預售屋買賣實價登錄批次資料,6215,本資料集主要提供全國申報人申報之預售屋買賣交易實際資訊，含實價及主要屬性，如面積、使用分區等資訊。 (提供MANIFEST.CSV、schema-main.csv、schema-build.csv、schema-land.csv、schema-park.csv) 每月1、11、21日發布1次,"name,schema,description",地政司
婦幼安全警示地點,6247,「婦幼安全警示地點」係指近三年來曾有民眾通報或曾發生兩造當事人為陌生關係婦幼被害案件（包括刑法妨害性自主罪、第234條公然猥褻罪、第315條之1妨害秘密罪、性騷擾防治法第25條性騷擾罪等性別暴力犯罪）之公共場所、路段，經警察機關依轄區特性評估確為應提醒婦女、兒童及少年等弱勢族群注意安全，防範被害之地點。,<br>No;Address;DeptNm;BranchNm;Contact,警政署
欖仁溪生態資料,6997,內含欖仁溪魚類、沼蝦類、米蝦類、螃蟹類、螺貝類之生物特徵與生態分布。,name;description,內政部營建署
殯葬設施,7052,全國殯葬設施資料,類別;名稱;公私立;縣市;鄉鎮市區;地址;經度;緯度;聯絡電話;管轄所屬;facilityId;facilityName;facilityClass;facilityType;belongCityId;phone;fax;url;email;address;設施名稱;公/私立,民政司
禮儀服務業合法業者,7053,禮儀服務業合法業者,公司立案名稱;電話;管轄所屬;placeId;placeName;belongCityId;phone,民政司
縣市議員,7054,現任縣市議員,"electname:選舉年，cityname:市縣別，orgname:機關別，idname:姓名,posiname:職稱，sex:性別，partymship:黨籍，officeadress:辦公地址，officetelphone:辦公電話，educatio:學歷，profession:簡歷，id2name:身分別，photograph:照片，upddate:最後更新日期",民政司
直轄市議員,7055,現任直轄市議員,"electname:選舉年，cityname:市縣別，orgname:機關別，idname:姓名,posiname:職稱，sex:性別，partymship:黨籍，officeadress:辦公地址，officetelphone:辦公電話，educatio:學歷，profession:簡歷，id2name:身分別，photograph:照片，upddate:最後更新日期",民政司
鄉鎮市民代表,7056,鄉鎮市民代表,"electname:選舉年，cityname:市縣別，townname:鄉鎮市別，orgname:機關別，idname:姓名,posiname:職稱，sex:性別，partymship:黨籍，officeadress:辦公地址，officetelphone:辦公電話，educatio:學歷，profession:簡歷，id2name:身分別，photograph:照片，upddate:最後更新日期",民政司
