1眼看天下,一眼看天下-亞洲新聞,100064,"新聞讀報網站,摘譯當日即時國際間發生之重要新聞供民眾閱讀。",title;link;pubDate;description,外交部
1眼看天下,一眼看天下-美加新聞,100065,"新聞讀報網站,摘譯當日即時國際間發生之重要新聞(美加新聞)供民眾閱讀。",,外交部
1眼看天下,一眼看天下-中南美洲新聞,100066,"新聞讀報網站,摘譯當日即時國際間發生之重要新聞(中南美洲新聞)供民眾閱讀。",,外交部
1眼看天下,一眼看天下-歐洲新聞,100067,"新聞讀報網站,摘譯當日即時國際間發生之重要新聞(歐洲新聞)供民眾閱讀。",,外交部
1眼看天下,一眼看天下-非洲新聞,100068,"新聞讀報網站,摘譯當日即時國際間發生之重要新聞(非洲新聞)供民眾閱讀。",,外交部
1眼看天下,一眼看天下-全球新聞,100069,"新聞讀報網站,摘譯當日即時國際間發生之重要新聞(全球新聞)供民眾閱讀。",,外交部
1眼看天下,一眼看天下-兩岸新聞,100070,"新聞讀報網站,摘譯當日即時國際間發生之重要新聞(兩岸新聞)供民眾閱讀。",,外交部
Application Directions for a Second ROC Passport,Application Directions for a Second ROC Passport,30746,Application Directions for a Second ROC Passport,,外交部領事事務局
Apply for a Passport,Apply for a Passport,30735,Apply for a Passport/Passports for Newborn Babies/Renew a Passport/Passports for Male Nationals/Lost or Stolen Passports,,外交部領事事務局
NGO公共政策,NGO公共政策,42794,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,,外交部
NGO國際事務會補助民間團體案件統計表,外交部NGO國際事務會補助民間團體案件統計表,101561,外交部NGO國際事務會補助民間團體案件統計表,性<br>質;申請件數;補助件數;申請補助案件佔總件數比率;同意補助案件佔總件數比率;申請補助案件佔總申請件數比率;同意補助案件佔總同意件數比率;金<br>額;補助金額佔總金額比率;同意補助案件佔申請案件比率,外交部
NGO學術文化,NGO學術文化,45700,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,,外交部
NGO經濟工商,NGO經濟工商,45699,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,,外交部
NGO農業環保,NGO農業環保,80919,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,,外交部
NGO醫療衛生,NGO醫療衛生,80918,公共資訊: 係指各種財政統計報表、政策新聞、資訊服務、法律等相關資料集,,外交部
NGO雙語網站電子報,NGO雙語網站電子報,30356,NGO雙語網站電子報提供每月NGO國際事務會最新消息、NGO消息、國際交流、專題報導、NGO簡介等,,外交部
New Southbound Policy Portal,New Southbound Policy Portal,45347,外交部新南向政策資訊平台-提供政策綱領、領務簽證、國際合作、經貿交流、臺灣獎助金、城市外交、活動與報導、政府要聞及其他部會專區等資訊,標題 連結 文章代碼 發佈日期 圖片 文章內容,外交部
News & Events,News & Events,30734,"Due to Becoming a Special Municipality, Taoyuan City Is Listed as the Place of Birth in ROC Passports Issued on or after December",,外交部領事事務局
Noticias de Taiwan (Español),Noticias de Taiwan (Español),45412,今日台灣電子報西文版,標題連結文章代碼發佈日期圖片文章內容,外交部
Passport Application Form,Passport Application Form,30733,Ordinary Passport Application Form (For Nationals residing overseas or Nationals without an I.D. Number)、Diplomatic and Official Application From、Ordinary Passport Application Form( For use by ROC Nationals in the ROC only),,外交部領事事務局
Taipanorama (Pусский),Taipanorama (Pусский),45416,今日台灣電子報俄文版,標題連結文章代碼發佈日期圖片文章內容,外交部
Taiwan Heute (Deutsch),Taiwan Heute (Deutsch),45414,今日台灣電子報德文版,標題連結文章代碼發佈日期圖片文章內容,外交部
Taiwan Info(Francais),Taiwan Info(Francais),45351,今日台灣電子報法文版,標題連結文章代碼發佈日期圖片文章內容,外交部
Taiwan Today (日本語),Taiwan Today (日本語),45417,今日台灣電子報日文版,標題連結文章代碼發佈日期圖片文章內容,外交部
Taiwan Today(English),Taiwan Today(English),45349,今日台灣電子報英文版,標題連結文章代碼發佈日期圖片文章內容,外交部
下載文件證明申請書,下載文件證明申請書,87780,提供文件證明申請表、授權書及委託書等有關文件證明事務用之申請書表,,外交部領事事務局
下載簽證申請書,下載簽證申請書,30850,提供辦理中華民國簽證保證審核通知書、申請中華民國簽證保證書、英國籍人士申請來台青年交流核准函申請表及選擇性落地簽證申請表等表格下載。,,外交部領事事務局
下載護照申請書,下載護照申請書,30721,提供普通、外交、G類公務護照、加簽、加頁及加持第2本普通護照申請書,,外交部領事事務局
中國阻撓我國際空間事例,中國阻撓我國際空間事例,116034,中國阻撓我國際空間事例,年度;季別;檔案格式;檔案連結,外交部
中華民國國民適用以免簽證或落地簽證前往之國家或地區,中華民國國民適用以免簽證或落地簽證前往之國家或地區,30749,提供予我國人免簽證、落地簽證或電子簽證等國家或地區資料,,外交部領事事務局
中華民國外交及國際事務學院單位概算,中華民國105年外交部外交及國際事務學院單位概算,31983,中華民國105年外交部外交及國際事務學院單位預算,中華民國105年外交部外交及國際事務學院單位概算,外交部外交及國際事務學院
