1眼看天下,"['100064', '100065', '100066', '100067', '100068', '100069', '100070']"
Application Directions for a Second ROC Passport,['30746']
Apply for a Passport,['30735']
NGO公共政策,['42794']
NGO國際事務會補助民間團體案件統計表,['101561']
NGO學術文化,['45700']
NGO經濟工商,['45699']
NGO農業環保,['80919']
NGO醫療衛生,['80918']
NGO雙語網站電子報,['30356']
New Southbound Policy Portal,['45347']
News & Events,['30734']
Noticias de Taiwan (Español),['45412']
Passport Application Form,['30733']
Taipanorama (Pусский),['45416']
Taiwan Heute (Deutsch),['45414']
Taiwan Info(Francais),['45351']
Taiwan Today (日本語),['45417']
Taiwan Today(English),['45349']
下載文件證明申請書,['87780']
下載簽證申請書,['30850']
下載護照申請書,['30721']
中國阻撓我國際空間事例,['116034']
中華民國國民適用以免簽證或落地簽證前往之國家或地區,['30749']
中華民國外交及國際事務學院單位概算,['31983']
中華民國外交及國際事務學院單位決算,"['21329', '27965', '43562', '100102', '117723']"
中華民國外交及國際事務學院單位法定預算,"['43564', '86817', '100103']"
中華民國外交及國際事務學院單位預算,"['21331', '27966']"
中華民國外交及國際事務學院單位預算書,"['35640', '76498']"
中華民國外交及國際事務學院會計報告,"['27894', '43217', '86818', '100150', '118408']"
中華民國建國1百年 非政府組織國際參與成果彙編,['34221']
中華民國會計報告,"['24751', '24752', '26180', '27893']"
中華民國簽證介紹,['30750']
中華民國駐外單位聯合網站最新消息,['30099']
中華民國駐外單位聯合網站活動訊息,['5956']
主管財團法人行政監督報告,['99229']
主管預算案,"['23944', '40265']"
亞太經濟合作商務旅行卡,['30855']
停留簽證,['30845']
僑居及各項加簽規定,['30716']
全球資訊網新聞參考資料,['30145']
全球資訊網新聞稿,['30143']
全球資訊網新聞說明會紀要,['104829']
全球資訊網最新消息RSS,['7668']
全球資訊網求才公告,['97382']
全球資訊網聲明RSS,['30144']
全球資訊網英文版新聞參考資料(Background Information),['32223']
全球資訊網英文版新聞稿(Press Releases),['32221']
全球資訊網英文版最新消息,['86238']
全球資訊網英文版聲明(Statements),['32222']
北美地區各國承認我國駕照免試換照一覽表,['85332']
即時新聞澄清專區,['116033']
及駐外館處辦理外國人與我國國民結婚申請來臺面談作業要點,['30849']
各國中英文名稱對照表,['106680']
單位決算,"['10361', '33386', '45738', '80548', '106563', '128651']"
單位決算表件,['20413']
單位預算,"['10358', '28603', '77867']"
單位預算案,"['23947', '40264', '40447', '54395', '90747', '107487', '129785']"
國人加持第2本護照相關規定,['30712']
國內(外)學校及民間團體參訪統計簡表,['45453']
國內文件驗證說明,['99934']
國內申請護照相關資訊,['33914']
國外文件驗證說明,['99937']
國外旅遊警示分級表,['116026']
國外申請護照相關規定,['30702']
國際合作發展事務報告,['32953']
在台有戶籍之中華民國國民之外籍配偶依親申請居留簽證手續說明,['30847']
外交人員赴校園及機關團體宣講簡表,['128788']
外交及國際事務學院單位預算書,['90807']
外交及國際事務學院法定預算,"['12433', '118566']"
外交學院會計月報,"['21385', '21386', '21388', '24750']"
外交統計年報,['10371']
外國人免簽證暨落地簽證規定,['30753']
外國學歷、國外文件驗證事項,['30884']
外籍人士來台探親申請停留簽證手續說明,['30848']
對國內團體補捐助情形季報表,['101059']
居留簽證,['30846']
度假打工(青年交流),['32894']
我參與之政府間國際組織一覽表,['94772']
我國政府開發援助統計資料,['8685']
我國駐外機構數,['33333']
所屬各委員會女性比例數據,['98711']
推動性別主流化工作成果,['78174']
政府英文入口網最新消息,['77865']
文件證明法規,['77894']
文件證明流程圖,['30880']
新住民(外籍配偶),['87783']
新南向,['78681']
新南向政策資訊平台,"['45345', '79627', '79628']"
旅外國人動態登錄統計表,['11145']
旅外國人急難救助,['122777']
旅外國人急難救助事件統計表,['11140']
旅外安全資訊,['122775']
旅外救助指南APP服務績效表,['11146']
旅遊警訊發布統計表,['11143']
晶片護照相片規格,['30715']
會計月報,['21280']
條約協定資料庫,['30355']
檔案開放應用公告機關季年統計總表,['28948']
歐洲國家青年度假打工計畫資訊,['102286']
法定預算,['12168']
潮台灣影音頻道數據分析,['33416']
申請調閱護照申請書須知,['30719']
申請護照Q＆A,['30726']
申辦文件證明Q&A,['30856']
申辦簽證Q＆A,['30852']
申辦護照規費及速件處理費,['30708']
簽證申辦流程圖,['30752']
緊急聯絡中心處理急難救助案件統計表,['11142']
聲明及公報彙編,['97383']
臺北賓館開放參觀人數統計,['45418']
臺北賓館開放參觀管理要點,['97381']
