資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
衛教資訊,6180,當前流行傳染病預防及國人常見生理、心理疾病的防範與治療。,項目;內容;編號;醫院名稱;主題,國防部
國軍鳥擊防制資料,6185,國軍現行鳥擊防制均依「要塞堡壘地帶法」及民航局等相關規定辦理，有關機場鳥擊防制權責，除空軍松山機場、陸軍恆春機場(因直升機特性於所屬營區停機坪起降，未使用民航局跑道)2處與民航局各自負責所屬營區外，餘均為國軍業管。,,國防部
各縣市國軍英雄館基本資料表,6191,提供民眾各縣市國軍英雄館地址、電話，以利民眾旅遊住宿使用。,站(館)名;地址;電話;軍用電話,國防部
國軍協助災害防救,6195,本資料係將國軍協助災害防救之政策摘要及說明，以及蒐錄98年1月至102年2月止臺灣地區所發生之災害類別、天數及國軍投入救災資源(含兵力、車輛、飛機、舟艇等)之數據統計資料，提供民眾參考運用。,,國防部
國軍文藝活動中心活動檔期,6202,本資料集主要提供國軍文藝活動中心所在地址、聯絡方式、場地利用等資訊，並公布每月份藝術廳展覽檔期表，以利民眾運用。,廳別;日期;上午;下午;晚間,國防部
國軍加強河川野溪疏濬,6206,依據行政院救災協調指示：國軍可依石門水庫疏濬模式，配合經濟部規劃，以「寓訓練於建設」方式，全力協助國內河川、水庫清淤作業。,一;政策摘要二;統計數據,國防部
國軍醫院基本資料,6210,提供國防部軍醫局所屬國軍醫院名稱、地址、電話。,國軍醫院名稱;地址;電話;電話掛號;人工預約掛號;編號;序號,國防部
國防譯粹,7791,提供國防部編印刊物《國防譯粹》出版資訊,刊物名稱;期別;主題;內容簡介;發行日期;發行單位;獲取方式;展覽資訊;展期;時間;地點;費用,國防部
新書介紹,7792,提供國防部軍事史籍出版資訊,書籍;內容簡介;作者;出版單位;出版日期;定價;展售地點;書名;發行日期;發行單位;展售處,國防部
展覽資訊,7801,提供國防部展覽資訊,展覽資訊;內容簡介;展期;時間;地點;費用,國防部
主計季刊資料集,7818,提供為因應建立「小而精、小而強、小而巧」國防武力政策，國軍主財組織亦應醒思未來發展與定位，就主財服務使命、願景，究應如何積極主動貫徹「法定職掌專業化、管理功能效益化」的策略目標？然歲月磋跎面臨環境變遷加劇，主財人員所憑仗的法規、專業及垂直整合組織優勢，在組織精簡調整過程中，不斷遭到挑戰，甚至逐漸弱化，唯有儘速採取具體行動予以變革再造，方能降低衝擊。吾人以空軍司令部主計處為例，從現況環境分析，運用策略管理之矩陣與地圖思維，結合前人智慧綜整為空軍主財願景與策略暨工作項目，並據以設計後續行動計畫分期落實國軍主財願景及策略指導，為國軍主財及空軍財務管理開創新思維與管理綜合效益。,期數;卷號;發行日期;標題;作者,國防部
財務單位基本資料集,7820,本資料集提供各地區財務單位基本資料、連絡方式等資訊。,單位名稱;地址;電話;傳真,國防部
後備軍人及補充兵召集類別,7833,後備軍人及補充兵動員、勤務、教育、臨時、點閱等5大召集類別及說明,依據;公發布日;文號;內容,國防部後備指揮部
國軍傷亡官兵撫卹,7837,申辦現役期間死亡官兵死亡撫卹及傷殘官兵傷殘撫卹,撫卹類別;死亡撫卹;申請單位;檢附資料;承辦單位,國防部
傷患空中醫療後送執行概況,7841,提供97-102年傷患空中醫療後送執行概況。,,國防部
行動應用軟體服務績效調查表,7848,提供下載使用成效、顆星評等或其他能佐證說明App使用成效之描述。,,國防部
執行兵役法第四十三條免除本次教育勤務點閱召集範圍基準,7911,兵役法第四十三條免除本次教育勤務點閱召集之適用條款、免召基準及相關應檢具證明文件。,項次;項目;免召基準;檢具證件,國防部後備指揮部
國軍各類眷屬身分證,7912,國軍現（備）役軍人、文職人員眷屬身分證及現役軍人眷屬特准證申辦對象、檢附資料及承辦單位。,項次;類別;申辦對象;檢附資料;承辦單位,國防部後備指揮部
後備指揮部服務臺各項申辦作業,7913,官兵及眷屬等各項補助介紹。,服務類別;服務對象;檢附資料;辦理單位;其他說明,國防部後備指揮部
國軍在臺遺族身心障礙官兵及無依軍眷照護金發給作業程序,7915,旨揭對象照護金發給作業程序。,發布機關;公發布日;法規名稱;內容,國防部後備指揮部
國防大學申請國防部「補助教師（官）從事學術研究」專題研究計畫清單,8048,國防大學102年期間，各教學單位人員申請國防部「補助教師（官）從事學術研究」專題研究計畫項目及研究單位。,序號;研究計畫名稱;研究單位,國防部
國防大學申請非國科會專題研究計畫清單,8049,國防大學102年期間，各教學單位人員參與非國科會各類專題研究計畫項目清單及執行狀況。,序號;委託單位;計畫名稱;申請學院;開始執行;結束執行,國防部
流行性感冒防治執行概況,8050,提供流行性感冒防治執行成效,編號;項次;年度;接種人數,國防部
國防部公務人員職缺徵才,8100,本部公務人員外補職缺公告,,國防部
「戰略安全研析」雙月刊稿件清單,8121,國防大學與政治大學合作出刊「戰略安全研析」月刊各期稿件清單。,序號;期別;篇名,國防部
國科會研究計畫清單,8122,國防大學申請國科會專題研究計畫清單,序號;單位系所;計畫名稱;狀　態,國防部
愛滋病防治宣教成效,8194,愛滋病防治宣教成效-辦理場次及宣導人次。,編號;項目;項次;年度;場次;宣導人次,國防部
尿液篩檢執行成效,8195,歷年尿液篩檢執行成效-篩檢人次,,國防部
國防部公務人員預算與現有員額統計表,8252,本部公務人員預算與現有員額狀況,,國防部
國防部內購財物、勞務採購契約通用條款暨投標須知,8255,提供購案之契約通用條款暨投標須知,,國防部
國防部年度委託研究計畫一覽表,8256,各單位年度委託研究計畫,,國防部
國防部業務研究成果統計,8257,各單位年度業務研究成果統計,,國防部
軍事學校正期班報考資料,8399,軍事學校正期班成效統計,,國防部
飛行常備軍官班報考資料,8400,飛行常備軍官班成效統計,,國防部
大學儲備軍官團報考資料,8427,大學儲備軍官團成效統計,,國防部
空軍二技班報考資料,8428,空軍二技班成效統計,,國防部
士官二專班報考資料,8429,士官二專班成效統計,,國防部
中正預校高中部報考資料,8430,中正預校高中部成效統計,,國防部
專業志願士兵報考資料,8431,專業志願士兵成效統計,,國防部
專業預備軍士官班報考資料,8435,專業預備軍士官班成效統計,,國防部
大專預官預士報考資料,8436,大專預官預士成效統計,,國防部
募兵政策,8439,本資料內容包含「募兵制答客問」(文宣說帖)、「一次瞭解募兵制」(文宣說帖)、「募兵制的效益與展望」(文宣說帖)及「募兵制」推動規劃及執行情形等。,,國防部
漢聲電臺收聽頻率及各分臺節目表,8440,提供漢聲電臺收聽頻率及各分臺每日節目表,頻道;星期;播出時間;節目名稱;主持人,國防部
國防部福利事業管理處各福利（分）站資料表,8441,提供福利事業管理處各福利（分）站資料表,區分;單位名稱;地址;電話;營業時間,國防部
國軍醫院系列講座,8485,提供國軍醫院各項醫療衛教等系列講座訊息。,編號;醫院名稱;主講者;地點;年度;時間;主題,國防部
國軍醫院學術研討會訊息,8486,提供國軍醫院學術研討會訊息,編號;醫院名稱;研討會名稱;地<br>點;主辦單位;主講教官;日<br>期,國防部
邦交國駐華武官處,8544,提供本國邦交國駐華武官辦公室住址及電話聯絡資料,國家;辦公室住址;電話,國防部
海軍陸戰隊主要單位特色簡介,8545,提供本軍陸戰隊各主要單位特色介紹,單位;特色介紹;加入陸戰隊理由,國防部
海軍陸戰隊各類專長內容一覽表,8546,提供本海軍陸戰隊各類專長內容,序號;項目;軍官;士官;士兵,國防部
公務人員甄審暨考績委員會性別比例統計,8547,本部公務人員年度甄審暨考績委員會委員性別統計,,國防部
離島建設條例購回土地,8548,實施戰地政務終止前，或實施戰地政務期間被占用於終止後，因徵收、價購或徵購後登記為公有土地，土地管理機關已無使用或事實已廢棄使用者，原土地所有人或其繼承人並得於公告之日起五年內，向該管土地管理機關申請按收件日當年度公告地價計算之地價購回其土地。,,國防部
國軍武獲接裝,8550,國軍主要武器系統獲得及接裝情形,,國防部
中正預校歷任校長任期,8554,中正預校第一任迄今之校長任期,,國防部
國防部施政滿意度調查,8798,歷年國防部施政滿意度調查,,國防部
「Strategic Vision（戰略視野）」英文期刊年稿件清單,8858,國防大學與政治大學合作出刊「Strategic Vision（戰略視野）」英文期刊各期稿件清單。,序號;期別;篇名,國防部
中正預校圖書館現有性別藏書,8859,本校圖書館性別相關議題藏書,,國防部
中正國防幹部預備學校現有栽植樹木種類一覽表,8860,本校校園樹木種類及花期,,國防部
中正預校高、國中部各年班畢業總成績第一名學生,8861,本校高、國中部各年班畢業總成績第一名學生。高中部自68年班;國中部自83年班迄今,,國防部
中正國防幹部預備校101學年度校外學藝競賽成果,8862,本校校外學藝競賽成果,,國防部
自殺防治宣教成效,9426,提供101-103年自殺防治宣教成效,編號;項目;項次;年度;場次或計畫編號;宣導人次或對象或內容,國防部
空軍航空技術學院二技招生統計資料,9427,空軍航空技術學院二技歷年招生錄取統計資料,,國防部
空軍航空技術學院二專招生統計資料,9428,空軍航空技術學院二專招生歷年招生錄取情形,,國防部
空軍航空技術學院創校第一任至現任校長任期,9429,22年-103年空軍航空技術學院歷任校長資訊,,國防部
空軍軍官學校歷年錄取情況表,9430,空軍軍官學校歷年招生錄取情況,,國防部
空軍軍官學校歷任校長一覽表,9431,17年-103年空軍軍官學校歷任校長任期一覽表,,國防部
