(本部)單位決算,"['41636', '41637']"
(本部)單位預算書表,['41632']
(本部)單位預算案書表,['41634']
(本部)會計月報,"['40017', '46739']"
10409-公務人員預算與現有員額統計表,['21624']
1985諮詢服務專線,['31690']
3軍大學至國防大學歷任校長,['15973']
3軍軍官俱樂部,['33427']
3軍陳展裝備列表,['72435']
「Strategic Vision(戰略視野)」英文期刊年稿件清單,['8858']
「依申請提供政府資訊(資料)」盤點表,['112353']
「戰略安全研析」雙月刊稿件清單,['8121']
「政府資料開放諮詢小組」會議紀錄,['24665']
中正國防幹部預備學校現有栽植樹木種類一覽表,['8860']
中正國防幹部預備校101學年度校外學藝競賽成果,['8862']
中正幹部預備學校沿革史校風校訓,['9527']
中正預校「幸福音樂Box」演奏申請辦法,['41132']
中正預校「蚊媒傳染病防治」注意事項,['41124']
中正預校圖書館利用教育服務,['41131']
中正預校圖書館現有性別藏書,['8859']
中正預校學生員額統計表,['13287']
中正預校教師學歷統計表,['13288']
中正預校歷任校長任期,['8554']
中正預校流感注意事項,['41123']
中正預校重申「茲卡病毒傳染病」防治注意事項,['41125']
中正預校高、國中部各年班畢業總成績第1名學生,['8861']
中正預校高中部報考資料,['8430']
中華民國忠烈將士資料,['26417']
中華民國期國防總檢討,['13255']
中華民國燈表,['15965']
主管及所屬決算資料(公開部分),['20502']
主計季刊資料集,['7818']
促參案件辦況一覽表,['20487']
傷患空中醫療後送執行概況,['7841']
優惠專案,['30916']
內購財物、勞務採購契約通用條款暨投標須知,['8255']
全國文獻傳遞服務(NDDS)統計表,['103796']
全民國防南沙研習營,['33470']
全民國防教育-「國防知性之旅-營區開放」活動成效,['20485']
全民國防教育傑出貢獻獎,['33468']
全民國防教育寒、暑期戰鬥營,['33467']
全民國防教育工作計畫,['33465']
全民國防教育考核評鑑計畫,['33466']
全民防衛動員業務執行主管講習,['41394']
全民防衛動員業務幹部巡迴講習,['41395']
公務人員甄審暨考績委員會性別比例統計,['8547']
公務人員職缺徵才,"['8100', '21619']"
公務人員預算與現有員額統計表,['8252']
公務出國報告目錄,['31689']
利益衝突迴避法宣導情形,['36749']
募兵政策,['8439']
各乙級單位新聞業務聯繫電話表,['10067']
各縣市國軍英雄館基本資料表,['6191']
各軍事校院性別平等教育實施統計,['41307']
單位預算,['12513']
國定假日暨連續假期開診原則,['46737']
國家賠償事件處理會相關資訊,['34068']
國科會研究計畫清單,['8122']
國軍人員財產申報專區,['13385']
國軍傷亡官兵撫卹,['7837']
國軍加強河川野溪疏濬,['6206']
國軍協助災害防救,['6195']
國軍各類眷屬身分證,['7912']
國軍在臺遺族身心障礙官兵及無依軍眷照護金發給作業程序,['7915']
國軍官兵各項給與應(免)所得稅項目表,['40016']
國軍官兵權益保障相關資訊,['41641']
國軍延役人員統計,['41308']
國軍所屬軍用機場航空噪音改善經費執行情形,['20483']
國軍支援外離島疏運統計,['72436']
國軍文藝活動中心活動檔期,['6202']
國軍文藝金像獎得獎人員名冊,['10066']
國軍檔案管理手冊,['31697']
國軍武獲接裝,['8550']
國軍歷史文物館,['31691']
國軍營舍及設施改建基金審定決算,['21614']
國軍營舍及設施改建基金會計月報,['23087']
國軍營舍及設施改建基金預(決)算,['41326']
國軍生產及服務作業基金會計月報,['40015']
國軍生產及服務作業基金決算書表,['21663']
國軍生產及服務作業基金附屬單位預算(非營業部分),['21659']
國軍申請育嬰留職人員復職統計,['41310']
國軍申請育嬰留職統計,['41309']
國軍老舊眷村改建基金會計月報,['34076']
國軍老舊眷村改建基金附屬單位決算,['34075']
國軍菸害暨檳榔防制成果,['20509']
國軍軍事訓練機構證照培訓統計,['41306']
國軍軍醫志願役衛勤人員緊急救護技術證照持照率統計表,['24851']
國軍農漁產品促銷成效,['72437']
國軍退除役官兵輔導委員會承接退除給付業務事宜,['20501']
國軍醫院基本資料,['6210']
國軍醫院學術研討會訊息,['8486']
國軍醫院就醫收費標準,['37783']
國軍醫院杏林溫情,['37785']
國軍醫院榮譽事蹟,['37790']
國軍醫院系列講座,['8485']
國軍醫院計程車行叫車服務電話,['37784']
國軍醫院醫療新知,['37789']
國軍鳥擊防制資料,['6185']
國防報告書,['28166']
國防大學入學須知,['37913']
國防大學參與元旦升旗典禮,['37917']
國防大學復興崗學報,['37924']
國防大學德行考核,['37923']
國防大學招生、考選簡章,['37911']
國防大學教育課程,['37922']
國防大學文宣投稿活動,['37919']
國防大學施政績效(自評)報告,['94602']
國防大學校園參訪辦法,['37918']
國防大學生活須知,['37914']
國防大學申訴評議,['37921']
國防大學申請「補助教師(官)從事學術研究」專題研究計畫清單,['8048']
國防大學申請非國科會專題研究計畫清單,['8049']
國防大學社團活動,['37920']
國防大學空權與國防學術研討,['37925']
國防大學考選規定,['37912']
國防大學莒光日教學,['37915']
國防大學衛教宣導,['91888']
國防大學軍人武德與品格教育學術研討,['37927']
國防大學軍歌競賽,['37916']
國防大學通識教育期刊,['37926']
國防業務報告,['24440']
國防自主,['41666']
國防譯粹,['7791']
國防資源釋商執行成果,['20486']
國防雜誌,['94604']
地區戰綜會報定期會議,['41397']
執行兵役法第4十3條免除本次教育勤務點閱召集範圍基準,['7911']
執行搜救任務執行成效,['45053']
