資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
公益彩券盈餘分配及銷售量簡表,6038,公益彩券(不含運動彩券)盈餘分配及銷售量簡表,項目;盈餘分配數_地方政府_社會福利;盈餘分配數_地方政府_社會福利_可分配數;盈餘分配數_地方政府_社會福利_實撥數;盈餘分配數_衛生福利部社會保險司_國民年金;盈餘分配數_衛生福利部中央健康保險署_全民健保準備;公益彩券銷售金額,財政部國庫署
綜合所得稅結算申報人工申報案件統計表,6039,97-107年度五地區國稅局綜合所得稅結算申報書人工建檔件數統計表,年度;稽徵機關;機關代碼;人工申報第一次退稅;人工申報第二次退稅;人工申報非退稅,財政部財政資訊中心
海關進出口貿易統計,6053,提供海關進出口通關貨物統計數值,年度;月份;出口總值;出口;復出口;進口總值;進口;復進口;出入超;備註,財政部關務署
國有非公用土地提供綠美化資訊公開,6054,國有非公用土地綠美化成果資訊,單位;土地標示縣市;土地標示鄉鎮市區;土地標示地段;土地標示地號;面積_平方公尺;土地所在位置;Google_Map網址,財政部國有財產署
全國財產稅籍持有人數統計表,6172,依稅捐稽徵機關提供之財產稅課稅資料，分別統計各縣市土地、房屋、車輛及投資資料，財產稅籍持有人數量,縣市名稱;性別;房屋_人數（A）;房屋_筆數（B）;房屋_平均（B/A）;土地_人數（C）;土地_筆數（D）;土地_平均（D/C）;車輛_人數（E）;車輛_筆數（F）;車輛_平均（F/E）;營所稅申報之投資人資料_人數（G）;營所稅申報之投資人資料_筆數（H）;營所稅申報之投資人資料_平均（H/G）,財政部財政資訊中心
財政部頒訂製造業原物料耗用通常水準最新適用年度,6631,彙整製造業原物料耗用通常水準最新適用年度,項次;行業別;最新適用年度,財政部南區國稅局
全國賦稅收入實徵淨額日曆年別-按稅目別分,6671,全國各稅捐稽徵機關直接徵起或委託代徵之賦稅收入實徵淨額，內容包含各項稅課收入、金融保險業營業稅、健康福利捐、特種貨物及勞務稅等，並按日曆年進行年度合計。,稅目別;<b>總計</b>;關稅;所得稅小計;營利事業所得稅;房地合一稅(營利事業);綜合所得稅;房地合一稅(個人);遺產及贈與稅;遺產稅;遺產稅(未指定用途);遺產稅(撥入長照基金);贈與稅;贈與稅(未指定用途);贈與稅(撥入長照基金);貨物稅;證券交易稅;期貨交易稅;菸酒稅;菸酒稅(未指定用途);菸酒稅(撥入長照基金);特種貨物及勞務稅;營業稅;營業稅(未指定用途);金融業營業稅(撥入金融業特別準備金);礦區稅;土地稅小計;田賦;地價稅;土地增值稅;房屋稅;使用牌照稅;契稅;印花稅;娛樂稅;特別及臨時稅課,財政部統計處
關務署轄區報關業者名冊,6704,提供關務署轄區報關業者名冊,關別;報關箱號;業者名稱;地址;連絡電話;備註,財政部關務署
關務署轄區運輸業者名冊,6705,提供關務署轄區運輸業者名冊,關別;執照號碼;業者名稱;業者地址;連絡電話;備註,財政部關務署
關稅及代徵收入,6706,提供關務署關稅及代徵收入,會計年度;貨物稅（新臺幣億元）;營業稅（新臺幣億元）;推廣貿易服務費（新臺幣億元）;菸酒稅（新臺幣億元）;健康福利捐（新臺幣億元）;專賣利益（新臺幣億元）;特種貨物及勞務稅（新臺幣億元）;商港建設費及其他（新臺幣億元）;備註,財政部關務署
