21類貨物出口價值排行統計(按年),['17055']
21類貨物進口價值排行統計(按年),['17054']
3角貿易空運出口統計表,['24152']
3角貿易空運進口統計表,['24151']
5至十年內達成財政收支平衡方案之研擬,['11794']
Customs Administration news and events,['95229']
ECFA早收清單台方對照陸方稅則8位碼對照表,['17061']
ECFA早收清單陸方對照台方稅則8位碼對照表,['17064']
ECFA早期收穫減讓關稅統計表,['6707']
Guide to ROC Taxes,['22861']
HS委員會第54次會議分類決定案例,['38743']
HS委員會第55次會議分類決定案例,['32049']
HS委員會第56次會議分類決定案例,['32050']
HS委員會第57次會議分類決定案例,['38744']
HS版與HS版海關進口稅則新舊稅號對照表,['17056']
「強化國有財產管理及運用效益方案」執行成果考評績優機關頒獎典禮照片目錄,['24082']
「日據時代株式會社台灣銀行海外分行分支機構存款及匯款處理條例」墊還款案統計表,['41140']
「財政改革方案執行成效檢討及落實財政平衡之策略研擬」研究報告,['11420']
一般優質企業名冊,['17077']
不受理報關原因,['8276']
世界主要國家政府債務管理政策之研究,['11491']
中區國稅局人民陳情案件處理情形檢討分析報告,['30105']
中區國稅局使用B2C電子發票營業人清冊,['25446']
中區國稅局使用電子發票績優營業人名冊,['25654']
中區國稅局保有個人資料檔案公開項目彙整表,['29986']
中區國稅局全功能櫃台Easy速利得免下車服務作業要點,['30100']
中區國稅局全功能櫃台作業處理件數統計表,['32915']
中區國稅局公司及獨資合夥工商家數統計表,['118849']
中區國稅局公文保存年限統計表,['62536']
中區國稅局及所屬單位決算,['12648']
中區國稅局及所屬會計報表,['19813']
中區國稅局各項國稅多元繳稅方式統計表,['41164']
中區國稅局員額與素質,['28954']
中區國稅局國稅統計年報,['12652']
中區國稅局土地明細清冊,['32820']
中區國稅局執行業務暨其他所得者申報家數統計表,['119707']
中區國稅局外僑綜合所得稅結算申報案件統計表,['25483']
中區國稅局年度重要施政計畫,['30078']
中區國稅局復查案件處理情形統計表,['32930']
中區國稅局復查決定書案例,['29882']
中區國稅局扣免繳(外僑人工建檔部分)統計表,['46007']
中區國稅局扣免繳申報收件統計表,['32907']
中區國稅局招標及決標資訊,['27954']
中區國稅局提升服務品質執行計畫,['30091']
中區國稅局政風室受理公職人員財產申報人數及抽籤比例統計表,['32931']
中區國稅局暨所屬各分局、稽徵所聯絡方式及服務時間,['30106']
中區國稅局最近國家賠償事件處理情形統計表,['30188']
"中區國稅局期貨商家數統計表 Statistics of the Number of Futures Commission Merchants, National Taxation Bureau of the Central Area (NTBCA), Ministry of Finance",['30050']
中區國稅局業務績效與榮譽,['30079']
中區國稅局業務職掌,['30080']
中區國稅局歷年支付或接受之補助,['12806']
中區國稅局法定預算,['15636']
中區國稅局為民服務意見調查分析報告,['30097']
中區國稅局為民服務白皮書,['30098']
中區國稅局營利事業單位數統計表,['37054']
中區國稅局營利事業所得稅受理災害損失報備情形統計表,['119456']
中區國稅局營利事業按收入級距核定情形統計表,['37059']
中區國稅局營業稅申報家數統計表,['32516']
中區國稅局營業稅籍登記申請收件統計表,['29974']
中區國稅局納稅人申訴中心及申訴熱線電話設置補充事項,['30103']
中區國稅局組織架構,['30081']
中區國稅局綜合所得稅結算申報人工申報案件件數比較表,['122476']
中區國稅局綜合所得稅結算申報人工申報案件統計表,['31759']
中區國稅局線上申辦案件辦理情形統計表,['32916']
中區國稅局臨櫃查詢所得及扣除額件數統計表,['119321']
中區國稅局菸酒稅廠商家數統計表,['32936']
中區國稅局處理人民陳情案件作業要點,['30104']
中區國稅局記帳及報稅代理人名冊,['25515']
中區國稅局記帳及報稅代理人專業訓練單位名冊,['25517']
中區國稅局記帳士名冊,['25513']
中區國稅局訴願以上處理情形統計表,['32932']
"中區國稅局證券商家數統計表 Statistics of the Number of Securities Transaction Tax Applicants, National Taxation Bureau of the Central Area, Ministry of Finance",['30051']
中區國稅局貨物稅申報家數及稅額級距件數統計表,['30065']
中區國稅局贈與稅收件統計表,['25486']
中區國稅局贈與稅核定徵免件數統計表,['36918']
中區國稅局轄區內人口數、工商家數及各項申報統計,['12805']
中區國稅局辦理政策宣導相關廣告費用統計表,['62471']
中區國稅局近年公告採購案件數,['25455']
中區國稅局違章漏稅案件處理情形表,['25630']
中區國稅局遺產稅收件統計表,['25484']
中區國稅局遺產稅核定徵免件數統計表,['32908']
中區國稅局電子公文統計彙總表,['32580']
中區國稅局電子發票服務窗口一覽表,['30140']
中區國稅局預算案,['12632']
中區國稅局首長會見民眾實施要點,['30101']
中國輸出入銀行中小企業單1服務窗口,['93207']
中國輸出入銀行作業風險應計提資本表,['41404']
中國輸出入銀行信用風險抵減表,['41405']
中國輸出入銀行信用風險暴險額與應計提資本表,['41406']
中國輸出入銀行員工學歷分布表,['93204']
中國輸出入銀行對民間團體補(捐)助執行情形,['42528']
中國輸出入銀行市場風險應計提資本表,['41359']
中國輸出入銀行平均服務年資表,['93206']
中國輸出入銀行捐助作業要點,['44882']
中國輸出入銀行會計報表,['38625']
中國輸出入銀行會計報表起,['77040']
中國輸出入銀行理事名單,['40050']
中國輸出入銀行監察人名單,['40648']
中國輸出入銀行總經理副總經理各部門主管名單,['41358']
中國輸出入銀行總行及分行表,['93202']
中國輸出入銀行資本適足率表,['93203']
中國輸出入銀行附屬單位決算,['38890']
中國輸出入銀行附屬單位預算,['38968']
中央各機關經管眷屬宿舍戶數,['30572']
中央政府債務基金會計報表,['20197']
中央政府債務基金決算,"['20420', '28247', '43335']"
中央政府債務基金附屬單位決算,"['77337', '99422', '117698']"
中央政府債務基金附屬單位預算,"['53003', '75064', '98016', '114017', '128330']"
中央政府債務基金附屬單位預算案,"['12621', '90641', '107345', '129809']"
中央政府債務基金預算,"['21328', '21333', '35334', '43212']"
中央政府債務未償餘額占國內生產毛額百分比,['6748']
中央政府公債發行制度之檢討與改進,['13315']
中央政府各年度債務舉借概況,['12131']
中央政府各機關(機構)徵收或購置已逾未完成產權移轉登記土地處理情形彙整統計表,['8322']
中央政府各機關學校公務用及公共用珍貴財產數量價值總表,['46808']
中央政府各機關學校公務用及公共用財產數量價值總表,['46807']
中央政府各機關辦理財產折舊攤銷說明會課程簡報,['24120']
中央政府嚴重特殊傳染性肺炎防治及紓困振興特別預算執行狀況月報表及會計月報,['126767']
中央政府建設公債標售概況表,['8224']
中央政府機關資料集,['44806']
中央政府特別預算庫款支付表,['30953']
中央政府納入集中支付之特種基金及保管款餘額,['41137']
中央政府總預算案近歲入明細表,['25031']
中央政府總預算歲出主管別庫款支付表,['41142']
中央政府總預算歲出庫款支付表,['41143']
中央政府總預算近歲入審決數統計表,['25029']
中央政府總預算近歲入院編決算數明細表,['25033']
中央政府總預算近歲入預算數統計表,['25032']
中央政府總預算近預決算數比較分析表,['25030']
中央政府財政收支狀況,['6940']
中央政府近年投資收益繳庫數,['8229']
中央政府近年營業基金盈餘繳庫數,['8230']
中央政府近年行政及財產收入統計表,['8571']
中央政府近年非營業特種基金賸餘繳庫數,['8228']
中央政府近庫款領取方式統計表,['6941']
中央政府近期公共債務概況表,['12146']
中央政府近總預算財政收支結構分析表,['6745']
中央普通統籌分配稅款(含地方政府統籌分配稅款短少補助)分配金額表,['6746']
中央機關經管單房間職務宿舍戶數,['30571']
中央機關經管單房間職務宿舍統計表,['46812']
中央機關經管多房間職務宿舍戶數,['30570']
中央機關經管多房間職務宿舍統計表,['46811']
中央機關經管宿舍統計表,['46814']
中央機關經管眷屬宿舍統計表,['46813']
中央機關經管首長宿舍戶數,['30569']
中央機關經管首長宿舍統計表,['46810']
中央特別統籌分配稅款撥付明細表(按地區別),['31110']
中央特別統籌分配稅款支出明細,['8223']
中央特別統籌分配稅款支應地方政府招商獎勵金經費明細表,['31113']
中央特別統籌分配稅款支應社會福利津貼調整經費明細表,['31112']
中央特別統籌分配稅款支應重大天災及公共設施復建經費明細表,['31111']
中央統籌分配稅款分配制度改進之研究,['11426']
中央統籌分配稅款實徵情形表,['8332']
中央統籌分配稅款撥付及墊借歸扣情形表,['12147']
中央統籌分配稅款收入情形估測表,['12150']
中央統籌分配稅款收入比較分析表,['31114']
中央統籌分配稅款收支月報表,['12189']
中央財政與預算收支問題及改進之探討,['11559']
中獎落點統計-B2C電子發票統計_依鄉鎮市區-資料集,['24838']
中獎落點統計-中獎電子發票統計_依行業別-資料集,['24839']
中獎落點統計-中獎電子發票統計_依鄉鎮市區-資料集,['24840']
中程施政計畫,['11773']
中華民國財政,['22860']
主管國營事業董事及監事性別統計,['31115']
人民申請使用國有財產業務問答,['24107']
人身保險相關課稅問題之檢討,['11770']
使用牌照稅稅額級距表(依排氣量),['31791']
使用牌照稅稅額級距表(依馬達馬力數),['31792']
促參教育訓練統計表,['45809']
保稅卡車名冊,['8273']
保稅工廠清冊,['8263']
個人出售房屋未申報或已申報而未能提出證明文件之財產交易所得標準,['25480']
健全社會保險財務之研究,['11805']
優質企業安全審查項目及驗證基準,['8279']
優質企業認證合格業者名冊,['17074']
先放後稅申請業者家數,['24047']
免稅商店及離島免稅購物商店業者名冊,['8275']
入境旅客不隨身後送行李(寵物類)就地通關服務窗口案件數,['24049']
入境旅客人數,['38749']
入境旅客攜帶自用農畜水產品菸酒限量表,['6711']
全功能櫃台查詢作業應附證明文件一覽表,['25354']
全功能櫃台申辦作業應附證明文件一覽表,['25355']
全功能櫃台發證作業應附證明文件一覽表,['25353']
全國各級學校統1編號資料集,['75136']
全國營業(稅籍)登記(停業)資料集,['75140']
全國營業(稅籍)登記(停業以外之非營業中)資料集,['75141']
全國營業(稅籍)登記資料集,['9400']
全國財產稅籍持有人數統計表,['6172']
全國財產稅總歸戶財產類別代碼檔,['54261']
全國賦稅收入實徵淨額日曆年別,"['6671', '6741', '6742', '6743']"
全國賦稅收入實徵淨額與預算數之比較,['16910']
全國賦稅預算數,['6740']
全面提升國庫支付作業效能之研究,['11515']
公債發行明細表,['41147']
公債發行計畫表,['25297']
公務人員特種考試關務人員考試錄取及實際報到人數,['32052']
公務行銷成果統計分析,['38706']
公司及獨資合夥工商家數統計表,['102004']
公庫支出,['8474']
公庫支出淨額,['8472']
公庫收入,['8473']
公庫收入淨額,['8471']
公庫結存,['8475']
公營事業機構占用國有非公用土地處理結案彙整表,['30577']
