資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
幼兒園名錄,6086,全臺灣幼兒園通訊資料,代碼;學校名稱;公/私立;縣市名稱;鄉鎮市區名稱;地址;電話;學校代碼;學校地址;學校電話;鄉鎮市區<br>名稱,教育部統計處
國民小學名錄,6087,全臺灣國民小學通訊資料,代碼;學校名稱;縣市名稱;地址;電話;網址;公/私立;備註,教育部統計處
國民中學名錄,6088,全臺灣國民中學通訊資料,學校代碼;學校名稱;縣市名稱;地址;電話;網址;學校地址;學校電話;學校網址;代碼;公/私立,教育部統計處
一般高級中等學校名錄,6089,全臺灣一般高級中等學校通訊資料,代碼;學校名稱;縣市名稱;地址;電話;網址;備註;公/私立;公私立別;公私立,教育部統計處
獨立高級中等進修學校名錄,6090,全臺灣獨立高級中等進修學校通訊資料,代碼;學校名稱;縣市名稱;地址;電話;網址;公/私立,教育部統計處
大專校院名錄,6091,全臺灣大專校院通訊資料,代碼;學校名稱;縣市名稱;地址;電話;網址;體系別;公/私立,教育部統計處
學生體重平均值(6歲-15歲),6229,本資料集主要提供全臺灣6歲-15歲學生體重平均值。,學年度;年齡;總計;男;女,教育部國民及學前教育署
十二年國民基本教育-適性輔導影片,6230,愛學網之子資料集-適性輔導,名稱;說明;網址,教育部國民及學前教育署
大專院校校別學生數,6231,全臺灣大專校院校別學生數,學校代碼;學校名稱;日間∕進修別;等級別;一年級男生;一年級女生;二年級男生;二年級女生;三年級男生;三年級女生;四年級男生;四年級女生;五年級男生;五年級女生;六年級男生;六年級女生;七年級男生;七年級女生;延修生男生;延修生女生;縣市名稱;體系別;總計;男生計;女生計,教育部統計處
大專院校校別專任教師數,6232,全臺灣大專院校校別專任教師數,學校代碼;學校名稱;日間∕進修別;教授男;教授女;副教授男;副教授女;助理教授男;助理教授女;講師男;講師女;其他男;其他女;助教男;助教女;縣市名稱;體系別;專業技術人員及教師男;專業技術人員及教師女;專案教學人員男*;專案教學人員女*;教官、護理教師及護理實習臨床指導男;教官、護理教師及護理實習臨床指導女;一般教師(含客座及講座)-教授-男;一般教師(含客座及講座)-教授-女;一般教師(含客座及講座)-副教授-男;一般教師(含客座及講座)-副教授-女;一般教師(含客座及講座)-助理教授-男;一般教師(含客座及講座)-助理教授-女;一般教師(含客座及講座)-講師-男;一般教師(含客座及講座)-講師-女;專業技術人員及教師-教授-男;專業技術人員及教師-教授-女;專業技術人員及教師-副教授-男;專業技術人員及教師-副教授-女;專業技術人員及教師-助理教授-男;專業技術人員及教師-助理教授-女;專業技術人員及教師-講師-男;專業技術人員及教師-講師-女;專案教學人員-教授-男;專案教學人員-教授-女;專案教學人員-副教授-男;專案教學人員-副教授-女;專案教學人員-助理教授-男;專案教學人員-助理教授-女;專案教學人員-講師-男;專案教學人員-講師-女;其他教師-教官-男;其他教師-教官-女;其他教師-護理教師-男;其他教師-護理教師-女;其他教師-護理臨床指導教師-男;其他教師-護理臨床指導教師-女;其他教師-運動教練-男;其他教師-運動教練-女;其他教師-助教-男;其他教師-助教-女,教育部統計處
大專校院校別專任教師數－學歷別,6233,全臺灣大專校院校別專任教師數－學歷別,學校代碼;學校名稱;日間∕進修別;教師學歷;教授男;教授女;副教授男;副教授女;助理教授男;助理教授女;講師男;講師女;其他男;其他女;助教男;助教女;縣市名稱;專業技術人員及教師男;專業技術人員及教師女;專案教學人員男*;專案教學人員女*;教官、護理教師及護理實習臨床指導男;教官、護理教師及護理實習臨床指導女;一般教師(含客座及講座)-教授-男;一般教師(含客座及講座)-教授-女;一般教師(含客座及講座)-副教授-男;一般教師(含客座及講座)-副教授-女;一般教師(含客座及講座)-助理教授-男;一般教師(含客座及講座)-助理教授-女;一般教師(含客座及講座)-講師-男;一般教師(含客座及講座)-講師-女;專業技術人員及教師-教授-男;專業技術人員及教師-教授-女;專業技術人員及教師-副教授-男;專業技術人員及教師-副教授-女;專業技術人員及教師-助理教授-男;專業技術人員及教師-助理教授-女;專業技術人員及教師-講師-男;專業技術人員及教師-講師-女;專案教學人員-教授-男;專案教學人員-教授-女;專案教學人員-副教授-男;專案教學人員-副教授-女;專案教學人員-助理教授-男;專案教學人員-助理教授-女;專案教學人員-講師-男;專案教學人員-講師-女;其他教師-教官-男;其他教師-教官-女;其他教師-護理教師-男;其他教師-護理教師-女;其他教師-護理臨床指導教師-男;其他教師-護理臨床指導教師-女;其他教師-運動教練-男;其他教師-運動教練-女;其他教師-助教-男;其他教師-助教-女;體系別,教育部統計處
大專院校校別班級數,6234,全臺灣大專院校校別班級數,學校代碼;學校名稱;日夜別;等級別;一年級;二年級;三年級;四年級;五年級;六年級;七年級;縣市名稱;體系別,教育部統計處
大專校院校別畢業生人數(上學年度),6235,全臺灣大專校院校別畢業生人數,學校代碼;學校名稱;日間_進修別;等級別;上學年畢業生男;上學年畢業生女;縣市名稱;體系別;日間∕進修別,教育部統計處
宗教研修學院概況－按校別分,6236,全臺灣宗教研修學院概況－按校別分,學校代碼;學校名稱;專任教師數男;專任教師數女;職員數男;職員數女;學生數學士;學生數碩士;學生數博士;上學年畢業生數學士;上學年畢業生數碩士;上學年畢業生數博士;縣市別,教育部統計處
空大及大專進修學校概況,6237,全臺灣空大及大專進修學校概況,學校代碼;學校名稱;專任教師(不含助教)男;專任教師(不含助教)女;兼任教師男;兼任教師女;助教男;助教女;職員男;職員女;二專學生數;二技(大學)學生數;二專上學年畢業生數;二技(大學)上學年畢業生數;學制;1年級男;1年級女;2年級男;2年級女;3年級(二技1年級)男;3年級(二技1年級)女;4年級(二技2年級)男;4年級(二技2年級)女;5年級以上(二技3年級)男;5年級以上(二技3年級)女;延修生男;延修生女;上學年畢業生男;上學年畢業生女,教育部統計處
高級中等學校校別資料(含進修部(學校)),6238,全臺灣高級中等學校校別資料(含進修部(學校)),學校代碼;學校名稱;專任教師數男;專任教師數女;兼任教師數男;兼任教師數女;職員數男;職員數女;班級數;學生數男;學生數女;上學年畢業生數男;上學年畢業生數女;縣市代碼;縣市名稱,教育部統計處
