(含所屬機關)辦理人民申請提供政府資訊案件統計,['41676']
Schools for International Residents in ROC,['32958']
《臺灣學通訊》主題列表,['39053']
「公共圖書館研究」電子期刊各期全文網址連結清單,['31663']
〔國立臺灣圖書館〕文化創意商品販售處,['52729']
一般高級中等學校名錄,['6089']
世界各主要國家之我國留學生人數統計,['33004']
世界各國與我國教育合作協定及備忘錄統計表,['42112']
中央政府嚴重特殊傳染性肺炎防治及紓困振興特別預算執行狀況月報表,['122863']
中央機關一般職稱雙語詞彙,['6320']
中央與地方政府機關體育運動經費相關國民所得毛額、國內生產毛額、中央政府總預算比例,['104905']
中央與地方政府歷年體育運動經費比較表,['104900']
中央與地方政府體育行政主管機關年度預算概況,['11304']
中央與地方政府體育行政主管機關組織人力性別統計,['11302']
中央與地方政府體育行政主管機關組織人力概況,['11303']
中小學及幼兒園教師參與進修活動在進修時數與教育階段之情況,['27193']
中小學及幼兒園教師參與進修活動平均研習時數在教育階段與年齡層之情況,['27274']
中小學暨幼兒園各師資類科教師資格檢定情況,['43732']
中小學暨幼兒園在職教師任教學校所屬縣市、公私立別與教育階段之情況,['43733']
中小學暨幼兒園在職教師學歷、公私立別與教育階段之情況,['43734']
中小學暨幼兒園在職教師學歷與任教學校所屬縣市之情況,['43735']
中小學暨幼兒園在職教師年齡層與各教育階段公私立別人數之情況,['43736']
中小學磨課師課程創新教學應用計畫通過名單(104-105學年),['48685']
中小學資訊素養教學教材,['41560']
中文主題編目規範,['27190']
中程施政計畫,['42604']
中等以下各級學校僑生、港澳生及畢業生人數,"['33506', '33507']"
中等以下學校僑生人數,['40116']
中等學校師資類科師資生完成學科專門課程之情況,['78597']
中華職棒大聯盟歷年比賽場次,['11273']
中華職棒大聯盟歷年現場觀眾總人次、平均單場人次,['11284']
主管國立社教機構作業基金法定預算主要表,['18211']
主管學產基金法定預算主要表,['18176']
主管教育財團法人基本資料,['117679']
亞奧運動競賽種類團體核發A級(國家級)教練證數量及性別統計,['41644']
亞奧運動競賽種類團體核發A級(國家級)裁判證數量及性別統計,['41645']
亞奧運運動單項協會,['6673']
亞奧運運動競賽種類協會組織年度工作計畫經費概況,['44095']
亞奧運運動競賽種類協會組織年度經費概況,['41893']
交通安全教育評鑑得獎名單,['46720']
人文及社會科學知識跨界應用能力培育計畫歷年獲補助清單,['91552']
人文及社會科學知識跨界應用能力培育計畫通過名單,['32270']
人文社會與科技前瞻人才培育計畫歷年獲補助名單,['107803']
偏遠地區國中小名錄,['28582']
全國中等學校運動會運動項目及參賽人數,['38889']
全國公私立游泳池查核情形,['9947']
全國原住民族運動會各縣市參賽人數統計,['41365']
全國原住民族運動會各縣市獎牌統計,['41366']
全國國民中小學可上網電腦設備數量,['25628']
全國圖書書目資訊網(NBINet),['7502']
全國大學校院及校長名錄,['27929']
全國大學校院名錄(含學校英文名稱),['33207']
全國大專校院學生社團評選暨觀摩活動得獎名單,['14145']
全國大專校院運動會運動項目及參賽人數,['38891']
