102 年廉政民意調查及機關廉政評鑑工具研究案報告書,102 年廉政民意調查及機關廉政評鑑工具研究案報告書,11870,102 年廉政民意調查及機關廉政評鑑工具研究案報告書,名稱;連結,法務部廉政署
105 年犯罪狀況及其分析—2016犯罪趨勢關鍵報告,105 年犯罪狀況及其分析—2016犯罪趨勢關鍵報告,80191,自1973年（民國62年）起，法務部「犯罪研究中心」每年編印「犯罪狀況及其分析」乙書，彙整政府處理犯罪案件之各項重要統計資料並附加文字說明，因歷史悠久以及內容詳實，一直為學術界從事刑事政策與犯罪研究之重要參考書，亦是實務界瞭解國內整體犯罪問題，研擬犯罪防治相關對策之重要參考依據。為精進「犯罪狀況及其分析」研究分析內涵之深度與廣度，逐步與國際之犯罪防治研究接軌，本研究參酌先進國家犯罪統計制度與內涵，針對2016年（民國105年）我國犯罪狀況，從刑事政策與犯罪學專業觀點，透過有系統的政府統計資料蒐集與分析，達成本研究四項主要目的：（1）加強國際導向與傳播面向；（2）加深研究分析深度，並切合社會需求；（3）強化數據與圖表解讀工具，促進研究分析功能；（4）提出具體政策建議，作為政府施政參考。,名稱;下載位置,法務部司法官學院
1051012綜合規劃司組織架構,1051012法務部綜合規劃司組織架構,37637,1051012法務部綜合規劃司組織架構,編號;資料名稱;檔案,法務部綜合規劃司
1審支援檢察官辦案系統-重要應用系統簡介,一審支援檢察官辦案系統－重要應用系統簡介,13023,一審支援檢察官辦案系統－重要應用系統簡介,系統名稱;系統簡介,法務部資訊處
2010加拿大人權學者專家專題演講,法務部2010加拿大人權學者專家專題演講,57187,法務部2010加拿大人權學者專家專題演講,標題;連結,法務部法制司
2011國際人權公約研討會,法務部2011國際人權公約研討會,57186,2011國際人權公約研討會,標題;連結,法務部法制司
2013離島論文集,2013離島論文集,13508,2013離島論文集,2013「離島地區司法保護業務觀摩研討會」論文集目錄及下載網址,福建高等檢察署金門檢察分署
2審支援檢察官辦案系統 -重要應用系統簡介,二審支援檢察官辦案系統 - 重要應用系統簡介,13239,二審支援檢察官辦案系統-重要應用系統簡介,系統名稱;系統簡介,法務部資訊處
78點結論性意見與建議,78點結論性意見與建議,120351,78點結論性意見與建議,78點結論性意見與建議;連結網址,法務部法制司
99年「台灣地區廉政指標民意調查」報告書,法務部 99 年「台灣地區廉政指標民意調查」報告書,13997,法務部 99 年「台灣地區廉政指標民意調查」報告書,名稱;連結,法務部廉政署
