102 年廉政民意調查及機關廉政評鑑工具研究案報告書,['11870']
105 年犯罪狀況及其分析—2016犯罪趨勢關鍵報告,['80191']
1051012綜合規劃司組織架構,['37637']
1審支援檢察官辦案系統-重要應用系統簡介,['13023']
2010加拿大人權學者專家專題演講,['57187']
2011國際人權公約研討會,['57186']
2013離島論文集,['13508']
2審支援檢察官辦案系統 -重要應用系統簡介,['13239']
78點結論性意見與建議,['120351']
99年「台灣地區廉政指標民意調查」報告書,['13997']
《聯合國反貪腐公約》,['13769']
「修復式正義理念運用於刑事司法制度之探討」委託研究成果報告書,['13208']
「偵查中被告與辯護人之閱卷」公聽會會議紀錄資料集,['90973']
"「勞委會政風單位積極提供廉政興革建議，節省公帑達4,600餘萬元」說明資料",['14615']
「台灣地區廉政指標民意調查」報告書,['13999']
「地方政府廉政狀況調查地方政府廉政狀況調查」報告書,['14001']
「如何建構全民反貪網絡促進廉能政治」報告書,['14002']
「廉嚮-矯正好幫手」廉政系列宣導,['99524']
「強化國際參與-人權公約在德國之實踐」專題演講會議資料,['14409']
「強化國際參與-人權公約在歐盟之實踐」專題演講會議資料,['14410']
「意定監護制度之研究」委託研究案,['14298']
「我國公益信託法制修正之研議」委託研究案研究報告,['14650']
「我國獎勵保護檢舉貪瀆制度改進之研究」委託研究案成果報告書,['13996']
「提升本部公職人員財產申報網路系統上線率宣導作業暨獎勵計畫」,['14091']
「新進公務人員專案法紀宣導」成果 (節錄),['85656']
「更生人就業狀況調查」成果報告書,['13186']
「替代役廉政宣導」(節錄),['90318']
「本國律師人數」資料集,['90965']
「民法債編商品責任及定型化契約規範之檢討-以交易地位的不對等及消費者保護的發展趨勢」委託研究案,['14147']
「洗錢防制及打擊資恐-法規彙編」資料集,['90970']
「海峽兩岸共同打擊犯罪及司法互助協議」案件統計,['72060']
「海峽兩岸服務貿易協議」公聽會報告,['14907']
「炎夏『漫』活，創意說『畫』」 2019 年暑期青少年兒童犯罪預防4格漫畫徵件活動得獎者名冊,['120824']
「炎夏『漫』活，創意說『畫』」暑期青少年兒童犯罪預防及服務利他4格漫畫徵件活動,['77757']
「特定營業場所執行毒品防制措施辦法」資料集,['90975']
「研商重大矚目及刑事案件被害人保護聯繫機制會議」決議事項摘要,['70598']
「行政院及所屬機關機構請託關說登錄查察作業要點」教學宣導資料,['39477']
「調降民法成年年齡之民意調查報告書」,['120445']
「財產申報查核平臺」教育訓練會議資料,['14086']
「通姦罪應否除罪化」公聽會紀錄,['70602']
一般行政業務概況,['95686']
上海文化生活出版社出版書籍,['86228']
世界人權宣言,['23037']
中央廉政委員會召集人、副召集人及委員名冊(第4屆),['13775']
中央廉政委員會會議資料(歷次),['23008']
中央政府前瞻基礎建設計畫特別預算會計報告,['99341']
中央機關國家賠償實施概況統計表,['32409']
中央機關國家賠償概況,['10073']
中央機關辦理國家賠償事件收結情形表,['15184']
